I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14
8080.000000,3.020000,1.996278,6.551820,0.000000,0.000000,6.551820,-1.252534,1.790000,4.307185,-15.103108,0.000000,0.000000,-15.103108,1.168593
8082.000000,3.020000,2.003263,6.507114,0.000000,0.000000,6.507114,0.613191,1.790000,4.310949,-15.125696,0.000000,0.000000,-15.125696,2.306163
8084.000000,3.020000,2.011589,6.453830,0.000000,0.000000,6.453830,0.979219,1.790000,4.317301,-15.163808,0.000000,0.000000,-15.163808,3.053838
8102.000000,3.180000,2.040386,7.293530,0.000000,0.000000,7.293530,-1.815659,3.950000,4.319474,-2.216844,0.000000,0.000000,-2.216844,-0.833481
8104.000000,3.180000,2.035984,7.321706,0.000000,0.000000,7.321706,-1.539151,3.950000,4.316976,-2.201858,0.000000,0.000000,-2.201858,-0.206045
8106.000000,3.180000,2.032220,7.345790,0.000000,0.000000,7.345790,-0.817481,3.950000,4.313313,-2.179882,0.000000,0.000000,-2.179882,-1.566225
8108.000000,3.180000,2.030940,7.353986,0.000000,0.000000,7.353986,0.565521,3.950000,4.306994,-2.141965,0.000000,0.000000,-2.141965,-2.948327
8111.000000,3.180000,2.031337,7.351447,0.000000,0.000000,7.351447,0.377445,3.950000,4.301209,-2.107255,0.000000,0.000000,-2.107255,-1.735791
8112.000000,3.180000,2.029900,7.360643,0.000000,0.000000,7.360643,-0.887219,3.950000,4.296015,-2.076093,0.000000,0.000000,-2.076093,-2.193104
8114.000000,3.180000,2.027114,7.378471,0.000000,0.000000,7.378471,-0.966957,3.950000,4.287304,-2.023828,0.000000,0.000000,-2.023828,-4.128062
8116.000000,3.180000,2.026843,7.380208,0.000000,0.000000,7.380208,1.066600,3.950000,4.279080,-1.974483,0.000000,0.000000,-1.974483,-3.407294
8118.000000,3.180000,2.032233,7.345711,0.000000,0.000000,7.345711,2.861446,3.950000,4.274932,-1.949593,0.000000,0.000000,-1.949593,-0.905503
8120.000000,3.180000,2.036072,7.321140,0.000000,0.000000,7.321140,1.152262,3.950000,4.276719,-1.960316,0.000000,0.000000,-1.960316,2.047478
8122.000000,3.180000,2.036668,7.317325,0.000000,0.000000,7.317325,-0.264985,3.950000,4.279509,-1.977053,0.000000,0.000000,-1.977053,1.210392
8124.000000,3.180000,2.034555,7.330847,0.000000,0.000000,7.330847,-1.146533,3.950000,4.281540,-1.989241,0.000000,0.000000,-1.989241,1.321483
8126.000000,3.180000,2.036007,7.321558,0.000000,0.000000,7.321558,1.121641,3.950000,4.287832,-2.026992,0.000000,0.000000,-2.026992,3.656218
8128.000000,3.180000,2.040229,7.294538,0.000000,0.000000,7.294538,1.402286,3.950000,4.295693,-2.074159,0.000000,0.000000,-2.074159,3.865366
8131.000000,3.180000,2.040792,7.290930,0.000000,0.000000,7.290930,-0.755768,3.950000,4.299968,-2.099811,0.000000,0.000000,-2.099811,1.108603
8132.000000,3.180000,2.036264,7.319913,0.000000,0.000000,7.319913,-2.803023,3.950000,4.297019,-2.082118,0.000000,0.000000,-2.082118,-2.704845
8134.000000,3.180000,2.030346,7.357785,0.000000,0.000000,7.357785,-1.670801,3.950000,4.290211,-2.041265,0.000000,0.000000,-2.041265,-3.647293
8136.000000,3.180000,2.031447,7.350737,0.000000,0.000000,7.350737,2.784483,3.950000,4.281413,-1.988477,0.000000,0.000000,-1.988477,-5.189851
8138.000000,3.180000,2.034982,7.328116,0.000000,0.000000,7.328116,2.365646,3.950000,4.269051,-1.914308,0.000000,0.000000,-1.914308,-6.262604
8140.000000,3.180000,2.033283,7.338989,0.000000,0.000000,7.338989,-0.235497,3.950000,4.265233,-1.891399,0.000000,0.000000,-1.891399,-0.278701
8142.000000,3.180000,2.029902,7.360625,0.000000,0.000000,7.360625,0.270030,3.950000,4.273445,-1.940672,0.000000,0.000000,-1.940672,4.185694
8144.000000,3.180000,2.030978,7.353738,0.000000,0.000000,7.353738,3.690014,3.950000,4.280607,-1.983642,0.000000,0.000000,-1.983642,1.967114
8146.000000,3.180000,2.036437,7.318803,0.000000,0.000000,7.318803,4.221587,3.950000,4.284149,-2.004896,0.000000,0.000000,-2.004896,1.288265
8148.000000,3.180000,2.038658,7.304590,0.000000,0.000000,7.304590,3.012847,3.950000,4.293710,-2.062263,0.000000,0.000000,-2.062263,4.664148
8151.000000,3.180000,2.046789,7.252548,0.000000,0.000000,7.252548,6.879733,3.950000,4.301679,-2.110076,0.000000,0.000000,-2.110076,1.912261
8152.000000,3.180000,2.063339,7.146629,0.000000,0.000000,7.146629,9.031439,3.950000,4.307739,-2.146437,0.000000,0.000000,-2.146437,1.631865
8154.000000,3.180000,2.079384,7.043944,0.000000,0.000000,7.043944,7.169597,3.950000,4.327895,-2.267369,0.000000,0.000000,-2.267369,8.481749
8156.000000,3.180000,2.096742,6.932854,0.000000,0.000000,6.932854,9.061687,3.950000,4.362401,-2.474407,0.000000,0.000000,-2.474407,12.311324
8158.000000,3.180000,2.124699,6.753926,0.000000,0.000000,6.753926,13.939017,3.950000,4.392507,-2.655044,0.000000,0.000000,-2.655044,6.365536
8160.000000,3.180000,2.155297,6.558103,0.000000,0.000000,6.558103,12.343179,3.950000,4.407226,-2.743358,0.000000,0.000000,-2.743358,-0.441630
8162.000000,3.180000,2.181114,6.392871,0.000000,0.000000,6.392871,8.597414,3.950000,4.413025,-2.778151,0.000000,0.000000,-2.778151,-6.446684
8164.000000,3.180000,2.210318,6.205966,0.000000,0.000000,6.205966,10.954887,3.950000,4.404536,-2.727219,0.000000,0.000000,-2.727219,-13.673413
8166.000000,3.180000,2.249857,5.952915,0.000000,0.000000,5.952915,14.659778,3.950000,4.386188,-2.617129,0.000000,0.000000,-2.617129,-16.884279
8168.000000,3.180000,2.286894,5.715878,0.000000,0.000000,5.715878,11.743504,3.950000,4.374938,-2.549632,0.000000,0.000000,-2.549632,-10.105017
8171.000000,3.180000,2.320464,5.501033,0.000000,0.000000,5.501033,11.952337,3.950000,4.381712,-2.590276,0.000000,0.000000,-2.590276,-2.658128
8172.000000,3.180000,2.355413,5.277359,0.000000,0.000000,5.277359,14.151878,3.950000,4.391420,-2.648520,0.000000,0.000000,-2.648520,-0.314934
8174.000000,3.180000,2.384704,5.089894,0.000000,0.000000,5.089894,11.789471,3.950000,4.403331,-2.719989,0.000000,0.000000,-2.719989,3.252898
8176.000000,3.180000,2.402778,4.974222,0.000000,0.000000,4.974222,8.321183,3.950000,4.420042,-2.820253,0.000000,0.000000,-2.820253,7.578885
8178.000000,3.180000,2.423216,4.843419,0.000000,0.000000,4.843419,13.379045,3.950000,4.430467,-2.882801,0.000000,0.000000,-2.882801,3.496621
8180.000000,3.180000,2.458349,4.618570,0.000000,0.000000,4.618570,19.715366,3.950000,4.421824,-2.830948,0.000000,0.000000,-2.830948,-4.318309
8182.000000,3.180000,2.499549,4.354889,0.000000,0.000000,4.354889,20.056419,3.950000,4.407030,-2.742182,0.000000,0.000000,-2.742182,-4.360291
8184.000000,3.180000,2.539357,4.100113,0.000000,0.000000,4.100113,19.484709,3.950000,4.391577,-2.649462,0.000000,0.000000,-2.649462,-4.459761
8186.000000,3.180000,2.586928,3.795659,0.000000,0.000000,3.795659,23.697832,3.950000,4.366721,-2.500328,0.000000,0.000000,-2.500328,-9.709741
8188.000000,3.180000,2.636842,3.476212,0.000000,0.000000,3.476212,21.292822,3.950000,4.342566,-2.355397,0.000000,0.000000,-2.355397,-5.916563
8191.000000,3.180000,2.673174,3.243685,0.000000,0.000000,3.243685,14.783109,3.950000,4.333555,-2.301332,0.000000,0.000000,-2.301332,1.467854
8192.000000,3.180000,2.702621,3.055226,0.000000,0.000000,3.055226,13.281645,3.950000,4.330614,-2.283686,0.000000,0.000000,-2.283686,4.235991
8194.000000,3.180000,2.727983,2.892911,0.000000,0.000000,2.892911,11.652472,3.950000,4.334593,-2.307558,0.000000,0.000000,-2.307558,9.364471
8196.000000,3.180000,2.744100,2.789758,0.000000,0.000000,2.789758,7.932279,3.950000,4.346635,-2.379810,0.000000,0.000000,-2.379810,12.392260
8198.000000,3.180000,2.759410,2.691774,0.000000,0.000000,2.691774,10.793432,3.950000,4.358900,-2.453402,0.000000,0.000000,-2.453402,9.074903
8200.000000,3.180000,2.788741,2.504057,0.000000,0.000000,2.504057,18.127466,3.950000,4.358811,-2.452869,0.000000,0.000000,-2.452869,2.291639
8202.000000,3.180000,2.825504,2.268773,0.000000,0.000000,2.268773,20.643581,3.950000,4.346887,-2.381321,0.000000,0.000000,-2.381321,-2.892227
8204.000000,3.180000,2.864538,2.018958,0.000000,0.000000,2.018958,22.388332,3.950000,4.326212,-2.257273,0.000000,0.000000,-2.257273,-5.223375
8206.000000,3.180000,2.903563,1.769199,0.000000,0.000000,1.769199,22.526941,3.950000,4.303872,-2.123231,0.000000,0.000000,-2.123231,-5.326090
8208.000000,3.180000,2.938594,1.545000,0.000000,0.000000,1.545000,21.883230,3.950000,4.277809,-1.966856,0.000000,0.000000,-1.966856,-8.085587
8211.000000,3.180000,2.972669,1.326921,0.000000,0.000000,1.326921,22.416607,3.950000,4.251171,-1.807028,0.000000,0.000000,-1.807028,-6.062173
8212.000000,3.180000,3.000284,1.150185,0.000000,0.000000,1.150185,18.434021,3.950000,4.239460,-1.736758,0.000000,0.000000,-1.736758,2.198514
8214.000000,3.180000,3.018600,1.032964,0.000000,0.000000,1.032964,14.648450,3.950000,4.237666,-1.725998,0.000000,0.000000,-1.725998,4.637652
8216.000000,3.180000,3.031989,0.947273,0.000000,0.000000,0.947273,12.894965,3.950000,4.233830,-1.702981,0.000000,0.000000,-1.702981,2.870509
8218.000000,3.180000,3.046620,0.853632,0.000000,0.000000,0.853632,14.580185,3.950000,4.230560,-1.683363,0.000000,0.000000,-1.683363,3.976285
8220.000000,3.180000,3.067984,0.716902,0.000000,0.000000,0.716902,17.170986,3.950000,4.231527,-1.689165,0.000000,0.000000,-1.689165,5.494118
8222.000000,3.180000,3.090206,0.574681,0.000000,0.000000,0.574681,16.402826,3.950000,4.233176,-1.699056,0.000000,0.000000,-1.699056,4.743929
8224.000000,3.180000,3.111631,0.437563,0.000000,0.000000,0.437563,16.160507,3.950000,4.232379,-1.694275,0.000000,0.000000,-1.694275,3.596597
8226.000000,3.180000,3.135542,0.284532,0.000000,0.000000,0.284532,16.795465,3.950000,4.234179,-1.705072,0.000000,0.000000,-1.705072,5.680981
8228.000000,3.180000,3.158230,0.139328,0.000000,0.000000,0.139328,14.919474,3.950000,4.242891,-1.757346,0.000000,0.000000,-1.757346,8.141421
8231.000000,3.180000,3.178134,0.011942,0.000000,0.000000,0.011942,13.819392,3.950000,4.251726,-1.810358,0.000000,0.000000,-1.810358,7.142819
8232.000000,3.180000,3.195967,-0.102191,0.000000,0.000000,-0.102191,12.994585,3.950000,4.255206,-1.831235,0.000000,0.000000,-1.831235,5.129162
8234.000000,3.180000,3.208051,-0.179527,0.000000,0.000000,-0.179527,9.733229,3.950000,4.255859,-1.835155,0.000000,0.000000,-1.835155,4.079200
8236.000000,3.180000,3.214161,-0.218633,0.000000,0.000000,-0.218633,7.274268,3.950000,4.251257,-1.807546,0.000000,0.000000,-1.807546,1.166557
8238.000000,3.180000,3.224082,-0.282121,0.000000,0.000000,-0.282121,10.478703,3.950000,4.242843,-1.757060,0.000000,0.000000,-1.757060,1.179359
8240.000000,3.180000,3.243433,-0.405969,0.000000,0.000000,-0.405969,13.949471,3.950000,4.240382,-1.742291,0.000000,0.000000,-1.742291,5.181723
8242.000000,3.180000,3.264741,-0.542342,0.000000,0.000000,-0.542342,13.470845,3.950000,4.242377,-1.754262,0.000000,0.000000,-1.754262,6.018075
8244.000000,3.180000,3.286458,-0.681334,0.000000,0.000000,-0.681334,14.043128,3.950000,4.241637,-1.749825,0.000000,0.000000,-1.749825,4.712615
8246.000000,3.180000,3.313826,-0.856483,0.000000,0.000000,-0.856483,16.152620,3.950000,4.242023,-1.752139,0.000000,0.000000,-1.752139,5.824513
8248.000000,3.180000,3.341360,-1.032701,0.000000,0.000000,-1.032701,14.568118,3.950000,4.245461,-1.772770,0.000000,0.000000,-1.772770,6.038390
8251.000000,3.180000,3.365018,-1.184116,0.000000,0.000000,-1.184116,13.024269,3.950000,4.244434,-1.766604,0.000000,0.000000,-1.766604,2.922851
8252.000000,3.180000,3.388288,-1.333043,0.000000,0.000000,-1.333043,13.171053,3.950000,4.242042,-1.752254,0.000000,0.000000,-1.752254,3.313426
8254.000000,3.180000,3.408508,-1.462450,0.000000,0.000000,-1.462450,11.238110,3.950000,4.248301,-1.789807,0.000000,0.000000,-1.789807,6.663725
8256.000000,3.180000,3.426151,-1.575366,0.000000,0.000000,-1.575366,10.350629,3.950000,4.255396,-1.832376,0.000000,0.000000,-1.832376,4.850071
8258.000000,3.180000,3.448107,-1.715886,0.000000,0.000000,-1.715886,13.335281,3.950000,4.257998,-1.847989,0.000000,0.000000,-1.847989,3.050644
8260.000000,3.180000,3.476764,-1.899290,0.000000,0.000000,-1.899290,15.706218,3.950000,4.261949,-1.871693,0.000000,0.000000,-1.871693,4.282744
8262.000000,3.180000,3.506237,-2.087915,0.000000,0.000000,-2.087915,15.397280,3.950000,4.266344,-1.898063,0.000000,0.000000,-1.898063,3.344130
8264.000000,3.180000,3.534956,-2.271719,0.000000,0.000000,-2.271719,15.943246,3.950000,4.264843,-1.889059,0.000000,0.000000,-1.889059,1.309754
8266.000000,3.180000,3.567439,-2.479608,0.000000,0.000000,-2.479608,17.946415,3.950000,4.265812,-1.894876,0.000000,0.000000,-1.894876,4.591115
8268.000000,3.180000,3.598932,-2.681162,0.000000,0.000000,-2.681162,16.109209,3.950000,4.274169,-1.945018,0.000000,0.000000,-1.945018,6.723975
8271.000000,3.180000,3.625453,-2.850899,0.000000,0.000000,-2.850899,14.193918,3.950000,4.274748,-1.948488,0.000000,0.000000,-1.948488,1.058924
8272.000000,3.180000,3.652941,-3.026824,0.000000,0.000000,-3.026824,15.348638,3.950000,4.265862,-1.895170,0.000000,0.000000,-1.895170,-2.454561
8274.000000,3.180000,3.680347,-3.202223,0.000000,0.000000,-3.202223,14.538927,3.950000,4.262010,-1.872062,0.000000,0.000000,-1.872062,0.513083
