I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13
397435.000000,-0.150859,-4.525461,0.000000,0.000000,0.000000,-0.069628,3.303932,0.000000,0.000000,0.000000,2.992253,4.000985,25.774744
397438.000000,-0.134972,-4.525461,0.000000,0.000000,0.000000,-0.037285,3.303932,0.000000,0.000000,0.000000,2.992097,4.000990,25.774733
397439.000000,-0.126822,-4.525461,0.000000,0.000000,0.000000,-0.021462,3.303932,0.000000,0.000000,0.000000,2.992063,4.001025,25.774738
397440.000000,-0.116649,-4.525461,0.000000,0.000000,0.000000,-0.013797,3.303932,0.000000,0.000000,0.000000,2.992038,4.001066,25.774738
397441.000000,-0.104762,-4.525461,0.000000,0.000000,0.000000,-0.013140,3.303932,0.000000,0.000000,0.000000,2.992025,4.001108,25.774733
397442.000000,-0.092650,-4.525461,0.000000,0.000000,0.000000,-0.016562,3.303932,0.000000,0.000000,0.000000,2.992025,4.001148,25.774742
397443.000000,-0.082198,-4.525461,0.000000,0.000000,0.000000,-0.024638,3.303932,0.000000,0.000000,0.000000,2.992035,4.001179,25.774733
397444.000000,-0.074853,-4.525461,0.000000,0.000000,0.000000,-0.036241,3.303932,0.000000,0.000000,0.000000,2.992052,4.001199,25.774733
397445.000000,-0.069272,-4.525461,0.000000,0.000000,0.000000,-0.045316,3.303932,0.000000,0.000000,0.000000,2.992076,4.001211,25.774733
397447.000000,-0.063692,-4.525461,0.000000,0.000000,0.000000,-0.047313,3.303932,0.000000,0.000000,0.000000,2.992107,4.001221,25.774733
397449.000000,-0.070967,-4.525461,0.000000,0.000000,0.000000,-0.038750,3.303932,0.000000,0.000000,0.000000,2.992193,4.001276,25.774733
397450.000000,-0.078784,-4.525461,0.000000,0.000000,0.000000,-0.038029,3.303932,0.000000,0.000000,0.000000,2.992208,4.001299,25.774733
397451.000000,-0.085168,-4.525461,0.000000,0.000000,0.000000,-0.039122,3.303932,0.000000,0.000000,0.000000,2.992215,4.001322,25.774734
