tick_ms,gx_dps,gy_dps,gz_dps,ax_g,ay_g,az_g,imu_shock_flag
2480.000000,0.006597,0.035152,-0.707114,-0.018555,-0.028320,-0.995605,0
2481.000000,-0.000054,-0.000005,-0.005300,-0.000023,-0.000033,-0.001200,0
2482.000000,-0.000441,-0.000281,-0.033864,-0.000113,-0.000157,-0.005737,0
2483.000000,-0.001753,-0.001923,-0.103069,-0.000285,-0.000387,-0.014299,0
2484.000000,-0.004656,-0.006745,-0.209428,-0.000540,-0.000717,-0.026772,0
2485.000000,-0.009590,-0.016262,-0.338521,-0.000888,-0.001150,-0.043388,0
2486.000000,-0.016753,-0.031204,-0.481627,-0.001328,-0.001678,-0.064039,0
2487.000000,-0.026157,-0.051840,-0.629684,-0.001852,-0.002280,-0.088040,0
2488.000000,-0.037585,-0.077986,-0.767529,-0.002443,-0.002925,-0.114451,0
2489.000000,-0.050569,-0.108760,-0.882356,-0.003090,-0.003593,-0.142562,0
2490.000000,-0.064544,-0.142747,-0.972112,-0.003790,-0.004275,-0.172112,0
2491.000000,-0.079045,-0.178545,-1.044302,-0.004543,-0.004969,-0.203110,0
2492.000000,-0.093800,-0.215207,-1.108487,-0.005351,-0.005673,-0.235496,0
2493.000000,-0.108695,-0.252300,-1.169968,-0.006207,-0.006376,-0.268948,0
2494.000000,-0.123669,-0.289666,-1.228822,-0.007103,-0.007064,-0.302973,0
2495.000000,-0.138648,-0.327160,-1.283175,-0.008032,-0.007725,-0.337138,0
2496.000000,-0.153544,-0.364560,-1.332762,-0.008988,-0.008352,-0.371222,0
2497.000000,-0.168296,-0.401651,-1.379829,-0.009972,-0.008944,-0.405181,0
2498.000000,-0.182748,-0.437814,-1.426201,-0.010983,-0.009500,-0.438984,0
2499.000000,-0.196292,-0.470839,-1.468253,-0.012021,-0.010017,-0.472501,0
2500.000000,-0.207884,-0.497035,-1.496636,-0.013085,-0.010488,-0.505502,0
2501.000000,-0.216638,-0.513304,-1.502384,-0.014174,-0.010908,-0.537759,0
2502.000000,-0.222113,-0.518131,-1.480783,-0.015287,-0.011274,-0.569141,0
2503.000000,-0.224143,-0.510928,-1.430415,-0.016427,-0.011585,-0.599617,0
2504.000000,-0.222830,-0.492041,-1.352738,-0.017596,-0.011842,-0.629187,0
2505.000000,-0.218711,-0.463325,-1.252600,-0.018794,-0.012044,-0.657819,0
2506.000000,-0.212650,-0.427790,-1.136998,-0.020020,-0.012192,-0.685430,0
2507.000000,-0.205503,-0.388436,-1.012495,-0.021272,-0.012281,-0.711925,0
