I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
2114.000000,1.470012,-1.001433,-6.987602,-0.190918,-0.202148,-0.952637,5.000000,-7.926829,-6.646342,0.092285,-0.120605,-0.755859,0.584979,-1.867879,0.526709
2227.000000,-0.359256,0.279055,1.244105,-0.027344,0.003418,-0.999023,0.853659,1.768293,3.109756,-0.125000,0.040039,-1.325684,0.524265,-2.336527,-0.388381
2340.000000,0.189524,-0.147775,-3.146139,-0.038086,-0.029297,-0.991699,-0.426829,-1.524390,-1.646341,-0.012695,-0.059570,-0.953613,0.680605,-2.357675,-0.260224
2453.000000,0.067573,0.644908,1.183130,-0.052246,0.001953,-1.007813,0.060976,0.243902,1.280488,-0.076172,0.029785,-1.052734,0.611582,-2.558160,-0.663066
2480.000000,0.006597,0.035152,-0.707114,-0.018555,-0.028320,-0.995605,0.060976,-0.304878,0.548781,-0.032227,-0.043457,-1.054199,0.585500,-2.528859,-0.583853
2497.000000,-0.237305,-0.574604,-1.621749,-0.033203,-0.012695,-0.995605,-0.121951,-0.792683,-1.219512,-0.050293,-0.008789,-1.050293,0.597297,-2.512214,-0.603904
2514.000000,-0.115354,0.096128,0.512398,-0.062012,0.003418,-1.001953,0.060976,-0.304878,0.548781,-0.077148,0.030273,-1.055176,0.607501,-2.503632,-0.631331
2531.000000,-0.054378,0.583933,1.975813,-0.062988,-0.003906,-1.003906,0.121951,0.060976,2.682927,-0.074219,0.007324,-1.044922,0.602931,-2.507931,-0.619763
2548.000000,0.067573,0.096128,-0.036383,-0.042969,-0.020996,-0.998535,-0.121951,-0.304878,1.280488,-0.041992,-0.037109,-1.000977,0.593461,-2.519262,-0.592073
2565.000000,-0.115354,-0.452653,-2.292480,-0.036621,-0.020508,-0.997070,-0.304878,-1.036585,-1.768293,-0.037598,-0.029785,-0.987793,0.596778,-2.526892,-0.604104
2582.000000,0.006597,-0.147775,-1.316870,-0.046875,-0.004883,-0.999023,-0.182927,-0.792683,-1.097561,-0.050781,0.018555,-1.026367,0.607555,-2.529903,-0.648253
2599.000000,0.067573,0.583933,1.488008,-0.045898,-0.003418,-1.000977,0.000000,-0.304878,1.707317,-0.047852,0.024902,-1.008789,0.609533,-2.526628,-0.662046
2616.000000,0.067573,0.461981,1.670934,-0.041016,-0.012207,-0.999512,0.000000,-0.182927,2.256098,-0.044922,-0.020020,-0.991699,0.602346,-2.520569,-0.636018
2633.000000,0.006597,-0.147775,-0.768090,-0.047363,-0.017090,-0.997070,0.000000,-0.731707,-0.121951,-0.047363,-0.036621,-0.990234,0.600670,-2.514788,-0.621088
2651.000000,-0.054378,-0.269726,-1.560773,-0.057129,-0.009277,-0.997559,-0.182927,-0.792683,-1.402439,-0.064453,-0.006348,-1.001953,0.606843,-2.517852,-0.644448
2667.000000,0.006597,0.218079,0.207520,-0.054688,-0.006836,-0.998047,-0.121951,-0.365854,0.182927,-0.062500,0.018555,-1.003906,0.610603,-2.528937,-0.670379
2685.000000,0.128549,0.461981,1.061178,-0.039063,-0.008789,-0.997559,0.121951,-0.121951,1.646341,-0.045410,-0.004395,-0.997070,0.607646,-2.537166,-0.665900
2701.000000,0.067573,0.096128,-0.219309,-0.028320,-0.016113,-1.000977,-0.121951,-0.426829,0.426829,-0.037598,-0.027344,-1.002441,0.606235,-2.534001,-0.654399
2719.000000,-0.054378,-0.269726,-1.194919,-0.041992,-0.010742,-0.998047,-0.182927,-0.731707,-0.853659,-0.048828,-0.008301,-1.009766,0.610225,-2.524617,-0.666361
2736.000000,0.006597,0.096128,0.085569,-0.058594,-0.004883,-1.002930,0.000000,-0.487805,0.060976,-0.068359,0.015137,-1.019043,0.614914,-2.521491,-0.687558
2753.000000,-0.054378,0.401006,1.183130,-0.054688,-0.010254,-0.998047,0.000000,-0.060976,1.524390,-0.064941,0.000488,-1.017578,0.613810,-2.526219,-0.685358
2770.000000,-0.054378,0.157103,0.024593,-0.039063,-0.015625,-0.996582,-0.121951,-0.243902,0.731707,-0.052246,-0.025879,-1.007324,0.610906,-2.532729,-0.671667
2787.000000,-0.054378,-0.147775,-1.377846,-0.036621,-0.012207,-1.001465,-0.182927,-0.731707,-0.914634,-0.045898,-0.015137,-1.010254,0.613382,-2.534930,-0.680153
2804.000000,0.006597,-0.147775,-0.646139,-0.047363,-0.006836,-0.998047,-0.182927,-0.670732,-0.670732,-0.049805,0.010742,-1.015137,0.617910,-2.534081,-0.707070
2821.000000,0.067573,0.340030,1.000203,-0.051758,-0.007813,-1.000000,-0.121951,-0.243902,0.975610,-0.057129,0.011719,-1.018066,0.617707,-2.532790,-0.714741
2838.000000,0.067573,0.340030,1.061178,-0.045410,-0.015625,-0.999023,0.000000,-0.121951,1.524390,-0.051758,-0.017090,-1.010742,0.614456,-2.530351,-0.699516
2855.000000,-0.054378,0.035152,-0.524188,-0.043457,-0.013672,-0.999023,-0.060976,-0.487805,0.000000,-0.051758,-0.023926,-1.009277,0.616274,-2.529354,-0.692922
2860.000000,-0.054378,-0.086799,-0.951017,-0.046875,-0.014648,-1.000488,-0.060976,-0.548781,-0.487805,-0.052246,-0.017578,-1.008789,0.617816,-2.529687,-0.696607
2863.000000,-0.054378,-0.147775,-1.072968,-0.048828,-0.013672,-1.000000,-0.121951,-0.670732,-0.670732,-0.054199,-0.012695,-1.006348,0.618676,-2.530053,-0.699587
2864.000000,-0.054378,-0.147775,-1.072968,-0.048828,-0.013672,-1.000000,-0.060976,-0.731707,-0.548781,-0.053711,-0.011719,-1.009766,0.618976,-2.530210,-0.700713
2865.000000,0.006597,-0.208750,-1.194919,-0.048828,-0.010254,-0.998535,-0.121951,-0.609756,-0.731707,-0.057129,-0.011230,-1.014648,0.619279,-2.530384,-0.701889
2866.000000,-0.054378,-0.025823,-1.133944,-0.048340,-0.010254,-1.001465,-0.121951,-0.670732,-0.792683,-0.054199,-0.005371,-1.010742,0.619581,-2.530576,-0.703107
2867.000000,-0.054378,-0.086799,-1.072968,-0.050781,-0.010254,-0.997559,-0.182927,-0.731707,-0.670732,-0.053223,-0.005371,-1.011719,0.619881,-2.530782,-0.704362
2868.000000,0.006597,-0.208750,-1.194919,-0.048828,-0.009766,-0.999023,-0.182927,-0.609756,-0.853659,-0.056152,-0.006348,-1.011230,0.620173,-2.531000,-0.705647
2869.000000,-0.115354,-0.147775,-1.133944,-0.049316,-0.009766,-1.001465,-0.121951,-0.609756,-0.731707,-0.055176,0.000000,-1.017090,0.620454,-2.531230,-0.706952
2872.000000,-0.054378,-0.086799,-0.951017,-0.052246,-0.007813,-1.001953,-0.060976,-0.670732,-0.853659,-0.057129,-0.001465,-1.012695,0.620721,-2.531474,-0.708272
2874.000000,0.006597,-0.025823,-0.951017,-0.052734,-0.006348,-0.999023,-0.060976,-0.731707,-0.670732,-0.056152,0.003418,-1.014648,0.621585,-2.532556,-0.713436
2875.000000,0.006597,-0.086799,-0.890041,-0.048828,-0.006836,-1.001465,-0.121951,-0.609756,-0.670732,-0.060547,0.005371,-1.012207,0.621747,-2.532844,-0.714650
2876.000000,0.006597,-0.086799,-0.951017,-0.052246,-0.005371,-1.000488,-0.060976,-0.670732,-0.609756,-0.058594,0.007813,-1.012207,0.621890,-2.533138,-0.715829
2877.000000,0.067573,-0.086799,-0.951017,-0.052734,-0.006348,-1.000977,-0.121951,-0.548781,-0.670732,-0.059570,0.006836,-1.012207,0.622020,-2.533437,-0.716976
2878.000000,-0.054378,-0.086799,-0.829066,-0.050293,-0.005859,-0.999023,-0.121951,-0.670732,-0.426829,-0.059082,0.009277,-1.014160,0.622139,-2.533744,-0.718098
2879.000000,-0.054378,-0.025823,-0.768090,-0.051758,-0.006836,-1.000977,-0.060976,-0.609756,-0.426829,-0.059082,0.010254,-1.017090,0.622246,-2.534061,-0.719198
2882.000000,0.006597,0.096128,-0.524188,-0.051270,-0.007324,-1.000977,-0.121951,-0.609756,-0.365854,-0.061035,0.007813,-1.012207,0.622339,-2.534387,-0.720274
2883.000000,0.006597,0.096128,-0.341261,-0.051270,-0.003906,-1.000000,-0.121951,-0.487805,-0.121951,-0.059570,0.009277,-1.014648,0.622491,-2.535364,-0.723208
2884.000000,0.006597,0.096128,-0.341261,-0.053711,-0.008789,-1.001465,-0.060976,-0.548781,0.000000,-0.059570,0.008789,-1.015137,0.622495,-2.535668,-0.724037
2885.000000,0.067573,0.035152,-0.280285,-0.050781,-0.007813,-1.000000,-0.121951,-0.487805,0.060976,-0.060059,0.009277,-1.013672,0.622478,-2.535958,-0.724778
2886.000000,0.006597,0.096128,-0.219309,-0.052246,-0.007324,-1.000977,-0.060976,-0.426829,0.121951,-0.059082,0.012207,-1.016602,0.622442,-2.536236,-0.725432
2887.000000,-0.054378,0.096128,-0.097358,-0.050781,-0.006836,-1.000000,0.000000,-0.426829,0.060976,-0.055176,0.013184,-1.014160,0.622392,-2.536510,-0.726008
2888.000000,-0.054378,0.157103,0.146544,-0.050781,-0.006836,-1.002441,-0.060976,-0.426829,0.304878,-0.059082,0.010254,-1.011230,0.622326,-2.536784,-0.726507
2889.000000,0.006597,0.035152,0.024593,-0.048828,-0.005859,-1.000488,0.000000,-0.426829,0.426829,-0.056641,0.012695,-1.014648,0.622240,-2.537061,-0.726930
2892.000000,-0.054378,0.279055,0.329471,-0.049316,-0.007813,-1.000977,-0.060976,-0.365854,0.487805,-0.056152,0.007324,-1.016602,0.622130,-2.537343,-0.727274
2894.000000,0.067573,0.218079,0.390447,-0.046875,-0.007324,-0.998535,0.000000,-0.365854,0.792683,-0.055176,0.007813,-1.016113,0.621490,-2.538431,-0.727508
2895.000000,0.067573,0.157103,0.451422,-0.047363,-0.009766,-1.000977,0.000000,-0.365854,0.975610,-0.054199,0.006348,-1.012207,0.621319,-2.538690,-0.727499
2896.000000,0.067573,0.279055,0.512398,-0.047852,-0.007813,-1.000977,-0.060976,-0.304878,0.792683,-0.056152,0.005371,-1.014160,0.621154,-2.538940,-0.727489
2897.000000,0.006597,0.279055,0.634349,-0.047852,-0.009277,-1.000488,0.000000,-0.182927,0.975610,-0.056152,0.003906,-1.016113,0.620987,-2.539179,-0.727277
2898.000000,0.006597,0.279055,0.695325,-0.046387,-0.009277,-1.000000,0.060976,-0.182927,0.914634,-0.054199,0.002930,-1.006836,0.620824,-2.539399,-0.727013
2899.000000,0.067573,0.279055,0.695325,-0.042969,-0.011230,-0.999023,0.000000,-0.182927,0.975610,-0.051758,-0.000977,-1.010254,0.620658,-2.539593,-0.726695
2902.000000,0.067573,0.461981,0.695325,-0.043945,-0.009766,-0.999512,0.060976,-0.243902,1.036585,-0.052734,-0.001465,-1.013184,0.620488,-2.539755,-0.726322
2903.000000,0.006597,0.340030,0.695325,-0.044434,-0.011719,-0.998535,-0.060976,-0.243902,1.158537,-0.050781,-0.006836,-1.013184,0.619972,-2.539971,-0.724903
2904.000000,-0.054378,0.340030,0.756300,-0.042480,-0.009766,-1.000000,0.000000,-0.182927,1.036585,-0.049805,-0.004883,-1.014160,0.619805,-2.539946,-0.724358
2905.000000,0.067573,0.279055,0.756300,-0.041504,-0.013672,-0.998535,0.000000,-0.304878,1.036585,-0.051270,-0.006836,-1.014160,0.619639,-2.539883,-0.723794
2906.000000,0.067573,0.340030,0.695325,-0.041016,-0.011719,-0.999512,0.060976,-0.243902,1.158537,-0.050293,-0.008301,-1.012207,0.619476,-2.539792,-0.723216
2907.000000,0.067573,0.340030,0.756300,-0.040527,-0.013184,-0.999512,-0.060976,-0.243902,1.158537,-0.048828,-0.008301,-1.008789,0.619316,-2.539681,-0.722630
2908.000000,-0.054378,0.279055,0.634349,-0.038574,-0.012695,-0.999512,0.000000,-0.304878,1.219512,-0.047363,-0.011230,-1.007324,0.619165,-2.539555,-0.722038
2909.000000,-0.054378,0.218079,0.634349,-0.039063,-0.013184,-0.998535,0.060976,-0.243902,1.036585,-0.047852,-0.011230,-1.010254,0.619021,-2.539421,-0.721447
2912.000000,0.006597,0.340030,0.573373,-0.037598,-0.016602,-0.999512,0.000000,-0.243902,1.097561,-0.049316,-0.016113,-1.012695,0.618882,-2.539284,-0.720862
2914.000000,0.067573,0.218079,0.451422,-0.039063,-0.017090,-1.000488,0.000000,-0.243902,0.853659,-0.045898,-0.014648,-1.005859,0.618422,-2.538621,-0.718746
2915.000000,0.006597,0.218079,0.451422,-0.039551,-0.014648,-0.995117,0.000000,-0.304878,0.975610,-0.047363,-0.019531,-1.005859,0.618339,-2.538419,-0.718289
2916.000000,0.067573,0.279055,0.512398,-0.036621,-0.017090,-0.998047,0.000000,-0.243902,0.914634,-0.044922,-0.019043,-1.008301,0.618275,-2.538209,-0.717863
2917.000000,0.006597,0.218079,0.329471,-0.039551,-0.016113,-0.999023,0.000000,-0.365854,0.853659,-0.045898,-0.020508,-1.006836,0.618240,-2.537986,-0.717468
2918.000000,-0.054378,0.218079,0.207520,-0.038574,-0.020020,-0.999512,-0.060976,-0.365854,0.670732,-0.045410,-0.019043,-1.008301,0.618236,-2.537747,-0.717105
2919.000000,-0.054378,0.157103,0.146544,-0.038086,-0.017090,-0.998047,-0.060976,-0.365854,0.670732,-0.042480,-0.020508,-1.008789,0.618261,-2.537491,-0.716781
2922.000000,0.006597,0.096128,0.024593,-0.037109,-0.015625,-0.998535,-0.060976,-0.304878,0.548781,-0.042969,-0.019043,-1.007813,0.618312,-2.537221,-0.716510
2924.000000,0.006597,0.096128,-0.219309,-0.040527,-0.016602,-0.998535,0.000000,-0.426829,0.243902,-0.046387,-0.023438,-1.008789,0.618737,-2.536067,-0.716314
2925.000000,-0.115354,0.035152,-0.158334,-0.038574,-0.016113,-0.998535,-0.060976,-0.487805,0.243902,-0.046875,-0.021973,-1.008301,0.618894,-2.535778,-0.716319
2926.000000,-0.054378,-0.025823,-0.280285,-0.039063,-0.016602,-0.998047,-0.060976,-0.365854,0.182927,-0.042969,-0.022461,-1.007324,0.619069,-2.535492,-0.716326
2927.000000,-0.054378,-0.025823,-0.341261,-0.038574,-0.015625,-0.995605,-0.060976,-0.487805,0.182927,-0.046387,-0.020508,-1.011230,0.619266,-2.535209,-0.716554
2928.000000,-0.054378,0.035152,-0.280285,-0.039551,-0.016602,-0.996582,-0.121951,-0.487805,0.060976,-0.047852,-0.019043,-1.010254,0.619472,-2.534932,-0.716843
2929.000000,-0.054378,0.096128,-0.524188,-0.040039,-0.018066,-0.998047,-0.121951,-0.548781,0.060976,-0.047363,-0.020508,-1.006348,0.619687,-2.534659,-0.717190
2932.000000,0.006597,-0.025823,-0.585163,-0.041992,-0.016113,-0.997070,-0.060976,-0.609756,-0.060976,-0.047363,-0.019531,-1.007813,0.619906,-2.534388,-0.717594
2934.000000,0.006597,-0.025823,-0.707114,-0.041992,-0.013672,-0.998047,0.000000,-0.670732,-0.243902,-0.048340,-0.014160,-1.009766,0.620900,-2.533335,-0.719814
