I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
3518.000000,0.006597,0.218079,0.085569,-0.042969,0.004883,-1.000977,0.182927,-0.182927,0.121951,-0.018066,-0.029297,-1.007813,-0.210817,-2.209847,-0.046244
3519.000000,0.006597,0.157103,-0.036383,-0.040527,0.002441,-1.000488,0.121951,-0.243902,0.243902,-0.018066,-0.030273,-1.005371,-0.210837,-2.209878,-0.046245
3522.000000,-0.054378,0.157103,0.024593,-0.041016,0.001465,-1.002441,0.182927,-0.243902,0.304878,-0.020020,-0.031738,-1.006836,-0.210854,-2.209908,-0.046245
3524.000000,-0.054378,0.218079,-0.097358,-0.041504,0.002441,-1.002930,0.182927,-0.182927,0.182927,-0.017090,-0.027344,-1.004883,-0.210903,-2.210054,-0.046248
3525.000000,-0.054378,0.157103,-0.036383,-0.041992,0.004395,-1.001953,0.121951,-0.182927,0.182927,-0.016602,-0.029297,-1.006348,-0.210923,-2.210092,-0.046249
3526.000000,0.006597,0.157103,-0.097358,-0.039551,0.003906,-1.002441,0.000000,-0.304878,0.182927,-0.018066,-0.027344,-1.003906,-0.210949,-2.210127,-0.046251
3527.000000,0.006597,0.157103,-0.097358,-0.039551,0.003906,-1.002441,0.243902,-0.121951,0.304878,-0.017090,-0.029297,-1.005371,-0.210977,-2.210163,-0.046252
3528.000000,-0.115354,0.096128,-0.158334,-0.039063,0.003418,-1.000488,0.304878,-0.182927,0.182927,-0.019043,-0.028809,-1.006836,-0.211004,-2.210198,-0.046253
3529.000000,-0.054378,0.157103,-0.097358,-0.040039,0.001953,-1.003906,0.121951,-0.243902,0.243902,-0.018555,-0.028809,-1.009277,-0.211028,-2.210235,-0.046254
3532.000000,-0.054378,0.218079,0.085569,-0.041504,0.003906,-1.000488,0.182927,-0.243902,0.243902,-0.018555,-0.026855,-1.008789,-0.211052,-2.210272,-0.046255
3534.000000,0.006597,0.157103,-0.036383,-0.041992,0.003418,-1.001465,0.121951,-0.243902,0.182927,-0.014160,-0.028809,-1.007324,-0.211164,-2.210377,-0.046261
3535.000000,0.006597,0.096128,0.024593,-0.042969,0.003418,-1.003906,0.182927,-0.243902,0.182927,-0.019043,-0.028320,-1.007324,-0.211196,-2.210382,-0.046262
3536.000000,0.006597,0.157103,-0.097358,-0.038086,0.003418,-1.002441,0.182927,-0.243902,0.243902,-0.018066,-0.028809,-1.005859,-0.211224,-2.210384,-0.046264
3537.000000,0.006597,0.157103,-0.097358,-0.040527,0.003418,-1.002441,0.060976,-0.182927,0.243902,-0.017578,-0.029297,-1.007324,-0.211243,-2.210386,-0.046265
3538.000000,0.128549,0.157103,-0.036383,-0.039063,0.002441,-1.003906,0.243902,-0.243902,0.243902,-0.017090,-0.030762,-1.008789,-0.211251,-2.210391,-0.046267
3539.000000,0.006597,0.096128,-0.036383,-0.041992,0.002441,-1.001953,0.121951,-0.182927,0.182927,-0.015625,-0.026855,-1.008789,-0.211244,-2.210402,-0.046268
3542.000000,-0.054378,0.096128,-0.158334,-0.043457,0.003906,-1.001953,0.060976,-0.243902,0.243902,-0.016602,-0.027832,-1.008301,-0.211223,-2.210421,-0.046269
3543.000000,-0.054378,0.157103,-0.036383,-0.042969,0.002441,-1.001465,0.182927,-0.304878,0.243902,-0.018066,-0.028320,-1.006348,-0.211127,-2.210544,-0.046273
3544.000000,0.006597,0.218079,-0.036383,-0.040527,0.002441,-1.001953,0.243902,-0.121951,0.182927,-0.017578,-0.026855,-1.006836,-0.211105,-2.210597,-0.046275
3545.000000,-0.054378,0.157103,0.024593,-0.041504,0.003418,-1.001953,0.060976,-0.304878,0.304878,-0.017578,-0.027832,-1.005371,-0.211092,-2.210650,-0.046276
3546.000000,-0.054378,0.157103,0.024593,-0.040527,0.004395,-1.003906,0.121951,-0.304878,0.304878,-0.016602,-0.026367,-1.006836,-0.211089,-2.210701,-0.046277
3547.000000,-0.054378,0.157103,-0.036383,-0.041504,0.001465,-1.003418,0.182927,-0.182927,0.182927,-0.016113,-0.029297,-1.004883,-0.211095,-2.210747,-0.046279
3548.000000,-0.054378,0.035152,-0.036383,-0.041504,0.004883,-1.004395,0.060976,-0.182927,0.182927,-0.017578,-0.027344,-1.005371,-0.211108,-2.210787,-0.046280
3549.000000,0.006597,0.157103,0.024593,-0.041504,0.002441,-1.001465,0.121951,-0.243902,0.243902,-0.016602,-0.029297,-1.009277,-0.211125,-2.210825,-0.046282
3552.000000,0.006597,0.218079,-0.097358,-0.039551,0.004395,-1.004395,0.121951,-0.182927,0.182927,-0.017090,-0.029785,-1.005859,-0.211143,-2.210864,-0.046283
