I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
3951.000000,0.006597,-0.025823,0.024593,-0.041992,0.002930,-0.997559,-0.121951,-0.365854,0.121951,0.009766,-0.010254,-1.007324,-0.124350,-2.518738,-0.068673
3953.000000,-0.054378,-0.025823,0.085569,-0.041992,0.003418,-0.999512,0.000000,-0.243902,0.182927,0.011230,-0.013672,-1.005859,-0.124492,-2.518805,-0.068671
3954.000000,0.006597,-0.147775,0.024593,-0.042969,0.001953,-0.998535,-0.060976,-0.243902,0.000000,0.010742,-0.011719,-1.004395,-0.124535,-2.518825,-0.068671
3955.000000,-0.054378,-0.025823,0.024593,-0.045410,0.002441,-0.998047,-0.060976,-0.243902,0.121951,0.009277,-0.013184,-1.005371,-0.124575,-2.518847,-0.068670
3956.000000,0.006597,-0.025823,0.085569,-0.041504,0.002930,-0.997559,-0.060976,-0.243902,0.121951,0.010254,-0.009277,-1.005859,-0.124613,-2.518877,-0.068670
3957.000000,0.006597,-0.025823,0.024593,-0.042969,0.000977,-0.997559,0.000000,-0.304878,0.365854,0.010254,-0.011230,-1.008301,-0.124649,-2.518912,-0.068669
3958.000000,0.006597,-0.025823,0.085569,-0.043457,0.000977,-0.998535,0.060976,-0.365854,0.060976,0.010254,-0.013672,-1.008301,-0.124682,-2.518949,-0.068668
3959.000000,-0.054378,-0.025823,0.085569,-0.043457,0.000977,-0.999023,-0.060976,-0.304878,0.182927,0.009766,-0.011230,-1.005371,-0.124710,-2.518986,-0.068668
3961.000000,0.006597,-0.025823,0.207520,-0.041992,0.004395,-1.000000,-0.060976,-0.365854,0.182927,0.008301,-0.012207,-1.007324,-0.124735,-2.519020,-0.068667
3962.000000,0.067573,-0.086799,0.146544,-0.044922,0.000488,-0.999512,0.000000,-0.304878,0.182927,0.010742,-0.012695,-1.010254,-0.124779,-2.519070,-0.068666
3963.000000,0.006597,-0.086799,0.207520,-0.044434,0.000488,-0.999512,0.121951,-0.365854,0.182927,0.009766,-0.013184,-1.006836,-0.124795,-2.519088,-0.068665
3964.000000,-0.115354,-0.025823,0.207520,-0.042480,0.000488,-0.999512,0.121951,-0.365854,0.304878,0.008789,-0.012207,-1.004395,-0.124805,-2.519107,-0.068664
3965.000000,0.006597,-0.086799,0.085569,-0.041504,0.000488,-0.999023,0.000000,-0.243902,0.182927,0.007813,-0.011230,-1.008789,-0.124812,-2.519129,-0.068664
3966.000000,0.067573,-0.025823,0.024593,-0.042480,0.001465,-0.999512,0.000000,-0.182927,0.182927,0.009766,-0.011719,-1.005371,-0.124821,-2.519156,-0.068663
3967.000000,-0.054378,-0.025823,0.146544,-0.043945,0.000977,-1.000000,-0.060976,-0.365854,0.365854,0.009277,-0.010254,-1.006348,-0.124828,-2.519185,-0.068663
3968.000000,0.128549,-0.025823,0.146544,-0.043945,0.002930,-0.998047,0.121951,-0.365854,0.304878,0.008789,-0.012695,-1.003906,-0.124830,-2.519214,-0.068662
3969.000000,0.006597,-0.025823,0.146544,-0.044434,0.003906,-0.997559,-0.060976,-0.304878,0.243902,0.009277,-0.011230,-1.005859,-0.124828,-2.519242,-0.068662
