I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
7288.000000,-0.176329,-0.086799,0.146544,0.122559,0.004395,-0.995605,-0.060976,-0.121951,0.121951,-0.011230,0.007324,-1.012695,-0.380776,7.006352,-0.087493
7289.000000,-0.115354,-0.086799,0.024593,0.123535,0.001465,-0.997070,0.000000,-0.182927,0.243902,-0.009766,0.005371,-1.008301,-0.380733,7.006322,-0.087474
7292.000000,-0.176329,-0.086799,0.024593,0.120117,0.003906,-0.998047,0.000000,-0.182927,0.121951,-0.011719,0.004395,-1.011719,-0.380581,7.006248,-0.087413
7293.000000,-0.054378,-0.086799,0.024593,0.122559,0.004395,-0.995117,-0.060976,-0.243902,0.243902,-0.011230,0.006836,-1.012695,-0.380535,7.006236,-0.087392
7294.000000,-0.054378,-0.086799,0.024593,0.122559,0.004395,-0.995117,-0.121951,-0.182927,0.365854,-0.010254,0.006836,-1.012207,-0.380490,7.006231,-0.087371
7295.000000,-0.115354,-0.025823,0.085569,0.122070,0.004883,-0.997559,-0.060976,-0.243902,0.121951,-0.011230,0.007324,-1.010254,-0.380442,7.006226,-0.087349
7296.000000,-0.237305,0.035152,0.085569,0.122070,0.004395,-0.997070,-0.060976,-0.182927,0.182927,-0.014648,0.006348,-1.011719,-0.380385,7.006222,-0.087328
7297.000000,-0.176329,-0.025823,0.146544,0.122559,0.003906,-0.996094,0.000000,-0.182927,0.121951,-0.012207,0.005859,-1.010742,-0.380323,7.006223,-0.087306
7298.000000,-0.054378,-0.086799,0.146544,0.124023,0.005371,-0.994629,-0.182927,-0.304878,0.304878,-0.011719,0.005859,-1.015137,-0.380262,7.006231,-0.087285
7299.000000,-0.115354,-0.147775,0.085569,0.122559,0.003906,-0.996582,-0.060976,-0.243902,0.121951,-0.009766,0.005859,-1.011230,-0.380202,7.006245,-0.087263
7302.000000,-0.115354,-0.025823,0.024593,0.120605,0.003906,-0.995605,-0.121951,-0.243902,0.243902,-0.011230,0.005371,-1.010742,-0.380029,7.006273,-0.087200
7303.000000,-0.115354,-0.025823,0.085569,0.123535,0.004883,-0.994629,-0.060976,-0.304878,0.243902,-0.010254,0.005859,-1.011230,-0.379982,7.006273,-0.087178
7304.000000,-0.176329,-0.025823,0.085569,0.122070,0.002930,-0.995117,-0.060976,-0.304878,0.243902,-0.011719,0.007813,-1.009277,-0.379936,7.006267,-0.087158
