I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
117375.000000,0.006597,-0.025823,-0.036383,-0.032715,0.004395,-1.000977,0.017204,-0.020094,0.013514,-0.032866,0.002862,-0.999930,-0.176754,-1.876939,-0.014221
117376.000000,0.006597,-0.025823,-0.036383,-0.032715,0.000977,-0.999512,0.016972,-0.024825,0.016193,-0.032840,0.002864,-0.999947,-0.176735,-1.876958,-0.014222
117378.000000,0.006597,-0.086799,0.024593,-0.031738,0.003418,-1.000977,0.016403,-0.028377,0.013265,-0.032816,0.002863,-0.999964,-0.176717,-1.876979,-0.014222
117380.000000,-0.054378,-0.025823,0.024593,-0.032715,0.004883,-1.000488,0.005376,-0.046767,0.003817,-0.032722,0.002864,-1.000040,-0.176682,-1.877065,-0.014223
117381.000000,0.006597,0.035152,0.024593,-0.031738,0.002441,-1.000000,0.001989,-0.052326,0.005773,-0.032686,0.002877,-1.000069,-0.176679,-1.877103,-0.014223
117382.000000,0.006597,-0.025823,-0.036383,-0.033203,0.003906,-1.000488,-0.000615,-0.053260,0.008809,-0.032650,0.002895,-1.000096,-0.176680,-1.877139,-0.014223
117383.000000,-0.054378,0.035152,-0.097358,-0.032227,0.003418,-0.999512,-0.002386,-0.049589,0.010294,-0.032619,0.002918,-1.000121,-0.176683,-1.877169,-0.014224
117384.000000,0.128549,0.035152,-0.036383,-0.034668,0.002441,-1.001953,-0.003910,-0.042364,0.006845,-0.032596,0.002941,-1.000146,-0.176690,-1.877191,-0.014224
117385.000000,0.067573,0.035152,0.024593,-0.033691,0.001465,-1.001953,-0.003558,-0.031096,-0.001253,-0.032586,0.002957,-1.000176,-0.176697,-1.877201,-0.014224
117386.000000,0.006597,0.096128,-0.097358,-0.033691,0.001953,-0.998047,0.001750,-0.015613,-0.010098,-0.032587,0.002960,-1.000208,-0.176699,-1.877196,-0.014224
117388.000000,0.006597,-0.025823,-0.036383,-0.033203,0.000977,-1.000977,0.010318,0.001727,-0.018515,-0.032596,0.002952,-1.000231,-0.176691,-1.877173,-0.014224
117389.000000,0.006597,-0.025823,0.024593,-0.035156,0.002930,-1.000488,0.022965,0.022769,-0.035444,-0.032632,0.002903,-1.000279,-0.176653,-1.877096,-0.014225
117390.000000,0.067573,-0.025823,-0.036383,-0.033203,0.002930,-1.000977,0.026440,0.021767,-0.037789,-0.032664,0.002874,-1.000305,-0.176625,-1.877057,-0.014226
117391.000000,-0.054378,-0.025823,0.024593,-0.031250,0.002441,-1.000977,0.027673,0.016514,-0.035082,-0.032697,0.002845,-1.000331,-0.176595,-1.877026,-0.014226
117392.000000,-0.054378,-0.025823,-0.097358,-0.032715,0.002930,-1.002441,0.024659,0.009315,-0.030853,-0.032721,0.002817,-1.000361,-0.176566,-1.877003,-0.014227
117393.000000,0.006597,-0.086799,0.085569,-0.033203,0.004395,-1.002441,0.016418,0.000407,-0.027544,-0.032741,0.002795,-1.000400,-0.176543,-1.876990,-0.014227
117394.000000,-0.054378,-0.025823,0.024593,-0.033691,0.003906,-0.999023,0.006277,-0.010321,-0.023713,-0.032763,0.002785,-1.000444,-0.176531,-1.876989,-0.014228
117395.000000,0.006597,0.035152,-0.097358,-0.030762,0.005859,-0.998535,-0.001694,-0.020850,-0.017367,-0.032781,0.002792,-1.000479,-0.176527,-1.877000,-0.014228
117396.000000,0.006597,0.035152,0.024593,-0.033203,0.003418,-0.998535,-0.007119,-0.026678,-0.011551,-0.032791,0.002814,-1.000498,-0.176529,-1.877017,-0.014229
117398.000000,-0.054378,-0.086799,-0.036383,-0.034668,0.004395,-1.002930,-0.011332,-0.026205,-0.009537,-0.032802,0.002844,-1.000510,-0.176538,-1.877034,-0.014229
117399.000000,0.006597,-0.025823,0.024593,-0.033203,0.003418,-0.999512,-0.018881,-0.023820,-0.007925,-0.032842,0.002918,-1.000526,-0.176573,-1.877066,-0.014230
117400.000000,0.067573,0.035152,-0.036383,-0.031250,0.002441,-1.000000,-0.018993,-0.024124,-0.005878,-0.032859,0.002955,-1.000520,-0.176595,-1.877084,-0.014230
117401.000000,-0.054378,-0.025823,-0.097358,-0.033691,0.004883,-1.000000,-0.014266,-0.021908,-0.005324,-0.032872,0.002991,-1.000512,-0.176615,-1.877101,-0.014230
117402.000000,0.006597,-0.025823,-0.097358,-0.031250,0.002441,-0.999023,-0.007923,-0.018492,-0.009147,-0.032881,0.003028,-1.000502,-0.176630,-1.877115,-0.014230
117403.000000,0.006597,-0.086799,0.024593,-0.032227,0.004883,-1.000977,-0.003869,-0.017429,-0.017094,-0.032883,0.003064,-1.000490,-0.176644,-1.877127,-0.014230
117404.000000,0.067573,-0.025823,0.024593,-0.031738,0.003418,-1.000488,-0.001348,-0.020010,-0.024282,-0.032876,0.003101,-1.000477,-0.176657,-1.877142,-0.014230
117405.000000,-0.054378,0.096128,0.024593,-0.032715,0.002930,-0.998535,0.002169,-0.023187,-0.026552,-0.032862,0.003138,-1.000459,-0.176668,-1.877160,-0.014230
