I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
0.000,0.000,0.488,0.183,-0.040,-0.007,-1.003,8192.000,8192.000,1300.000,0.000,0.000,0.000,0.000,-0.002,-0.000
2082.000,1.531,-1.062,1.061,0.205,-0.186,-0.938,119.966,123.965,124.245,1.000,-0.019,-0.019,0.408,-1.526,0.379
2164.000,-0.115,-0.697,1.854,0.004,-0.041,-1.014,113.940,123.934,121.348,1.000,-0.044,-0.044,0.373,-1.827,0.316
2245.000,-1.518,0.767,-2.963,-0.034,0.033,-1.004,119.924,123.921,120.077,1.000,-0.025,-0.025,0.557,-1.969,-0.036
2316.000,0.007,-0.453,-1.012,-0.061,0.010,-1.005,119.924,123.921,121.518,1.000,0.007,0.007,0.432,-1.999,-0.366
2325.000,0.433,0.523,1.366,-0.059,0.020,-1.007,119.924,125.920,122.965,1.000,0.018,0.018,0.421,-1.998,-0.374
2334.000,-0.298,0.035,2.708,-0.043,0.014,-1.008,120.923,125.920,123.481,1.000,0.011,0.011,0.409,-2.001,-0.363
2343.000,0.860,0.035,1.854,-0.042,-0.026,-0.994,120.923,122.922,122.373,1.000,-0.008,-0.008,0.400,-2.007,-0.342
2352.000,-0.054,0.340,-0.463,-0.047,-0.021,-1.014,116.925,126.919,121.749,1.000,-0.009,-0.009,0.396,-2.014,-0.327
2361.000,-0.603,-0.331,-2.353,-0.019,-0.021,-1.000,117.924,126.918,122.099,1.000,0.001,0.001,0.398,-2.019,-0.332
2370.000,0.068,-0.087,-2.597,-0.056,-0.010,-1.004,119.922,123.920,122.134,1.000,-0.001,-0.001,0.401,-2.022,-0.355
2379.000,-0.481,0.279,-0.951,-0.042,0.016,-1.004,124.919,127.917,125.463,1.000,0.039,0.039,0.403,-2.025,-0.380
2388.000,0.250,0.401,1.122,-0.053,-0.001,-1.001,123.919,121.921,124.968,1.000,0.002,0.002,0.404,-2.027,-0.390
2397.000,0.007,0.523,2.464,-0.035,0.000,-1.005,120.921,125.918,123.299,1.000,-0.016,-0.016,0.401,-2.028,-0.381
2406.000,0.190,-0.026,1.732,-0.021,-0.022,-1.004,117.923,119.922,120.043,1.000,-0.045,-0.045,0.398,-2.029,-0.361
2415.000,0.129,0.157,-0.219,-0.038,-0.021,-1.002,120.921,121.921,119.348,1.000,-0.017,-0.017,0.399,-2.028,-0.348
2424.000,-0.481,-0.087,-1.866,-0.029,0.001,-1.003,119.922,119.922,120.091,1.000,0.000,0.000,0.400,-2.027,-0.352
2433.000,-0.176,-0.392,-1.988,-0.047,0.003,-1.002,122.920,121.921,121.065,1.000,0.015,0.015,0.402,-2.027,-0.371
2442.000,0.190,0.035,-0.646,-0.061,0.012,-1.007,116.924,123.919,121.507,1.000,0.006,0.006,0.401,-2.029,-0.389
2451.000,0.068,-0.026,1.122,-0.045,0.002,-1.003,117.923,121.920,120.685,1.000,-0.007,-0.007,0.397,-2.034,-0.396
2460.000,0.433,0.096,1.854,-0.047,-0.022,-1.003,115.924,121.920,119.464,1.000,-0.017,-0.017,0.393,-2.041,-0.388
2470.000,0.007,0.340,0.939,-0.035,-0.028,-0.999,116.923,123.918,119.593,1.000,-0.003,-0.003,0.391,-2.047,-0.373
2479.000,-0.115,0.035,-0.585,-0.034,-0.029,-1.002,120.920,121.919,119.724,1.000,0.003,0.003,0.394,-2.051,-0.366
2488.000,-0.420,0.279,-1.805,-0.041,-0.005,-1.005,118.921,121.919,121.146,1.000,0.015,0.015,0.399,-2.051,-0.373
