I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
11600.000000,1.000000,0.000000,116.244675,-1.500000,-0.163707,-3.000000,-1.897752,0.000000,0.045915,0.000000,0.115768,1.000000
11610.000000,1.000000,0.000000,116.358772,-1.500000,-0.163464,-3.000000,-1.897835,0.000000,0.018969,0.000000,0.096393,1.000000
11620.000000,1.000000,0.000000,116.604889,-1.500000,-0.163599,-3.000000,-1.897937,0.000000,-0.014094,0.000000,0.123391,1.000000
11630.000000,1.000000,0.000000,116.958817,-1.500000,-0.163596,-3.000000,-1.898068,0.000000,0.003816,0.000000,0.111069,1.000000
11640.000000,1.000000,0.000000,117.109787,-1.500000,-0.163311,-3.000000,-1.898078,0.000000,0.002711,0.000000,0.102770,1.000000
11650.000000,1.000000,0.000000,117.072685,-1.500000,-0.163405,-3.000000,-1.897804,0.000000,0.023327,0.000000,0.091490,1.000000
11660.000000,1.000000,0.000000,117.042168,-1.500000,-0.163133,-3.000000,-1.897362,0.000000,0.002987,0.000000,0.108339,1.000000
11670.000000,1.000000,0.000000,117.162437,-1.500000,-0.163194,-3.000000,-1.897253,0.000000,-0.008189,0.000000,0.082983,1.000000
11680.000000,1.000000,0.000000,117.313606,-1.500000,-0.163011,-3.000000,-1.897103,0.000000,0.012777,0.000000,0.072425,1.000000
11690.000000,1.000000,0.000000,117.344223,-1.500000,-0.163100,-3.000000,-1.896836,0.000000,-0.011346,0.000000,0.120815,1.000000
11700.000000,1.000000,0.000000,117.518845,-1.500000,-0.163165,-3.000000,-1.896808,0.000000,0.013034,0.000000,0.101190,1.000000
11710.000000,1.000000,0.000000,117.300316,-1.500000,-0.163513,-3.000000,-1.896669,0.000000,0.013795,0.000000,0.140483,1.000000
11720.000000,1.000000,0.000000,117.427895,-1.500000,-0.163314,-3.000000,-1.896603,0.000000,0.026152,0.000000,0.113758,1.000000
11730.000000,1.000000,0.000000,117.482452,-1.500000,-0.163046,-3.000000,-1.896685,0.000000,0.015999,0.000000,0.089299,1.000000
11740.000000,1.000000,0.000000,117.625603,-1.500000,-0.162988,-3.000000,-1.896731,0.000000,0.016606,0.000000,0.106088,1.000000
11750.000000,1.000000,0.000000,117.743103,-1.500000,-0.162706,-3.000000,-1.896831,0.000000,0.053576,0.000000,0.097925,1.000000
11760.000000,1.000000,0.000000,117.879242,-1.500000,-0.163176,-3.000000,-1.896694,0.000000,0.000711,0.000000,0.129929,1.000000
11770.000000,1.000000,0.000000,117.829613,-1.500000,-0.163052,-3.000000,-1.896814,0.000000,0.024302,0.000000,0.102722,1.000000
11780.000000,1.000000,0.000000,117.742813,-1.500000,-0.163046,-3.000000,-1.896524,0.000000,-0.005092,0.000000,0.097190,1.000000
11790.000000,1.000000,0.000000,117.666702,-1.500000,-0.162947,-3.000000,-1.896411,0.000000,-0.001291,0.000000,0.106175,1.000000
11800.000000,1.000000,0.000000,117.812943,-1.500000,-0.162764,-3.000000,-1.896411,0.000000,-0.010821,0.000000,0.081420,1.000000
11810.000000,1.000000,0.000000,117.636345,-1.500000,-0.162551,-3.000000,-1.896476,0.000000,0.019138,0.000000,0.096142,1.000000
11820.000000,1.000000,0.000000,117.549286,-1.500000,-0.162141,-3.000000,-1.896456,0.000000,0.022065,0.000000,0.100812,1.000000
11830.000000,1.000000,0.000000,117.429779,-1.500000,-0.162346,-3.000000,-1.896707,0.000000,-0.036455,0.000000,0.096473,1.000000
11840.000000,1.000000,0.000000,117.233101,-1.500000,-0.162289,-3.000000,-1.897070,0.000000,0.030600,0.000000,0.069208,1.000000
11850.000000,1.000000,0.000000,117.169006,-1.500000,-0.161918,-3.000000,-1.897038,0.000000,0.015877,0.000000,0.140734,1.000000
11860.000000,1.000000,0.000000,117.162148,-1.500000,-0.161667,-3.000000,-1.897207,0.000000,0.004030,0.000000,0.091304,1.000000
11870.000000,1.000000,0.000000,116.949539,-1.500000,-0.161929,-3.000000,-1.897394,0.000000,-0.018038,0.000000,0.110648,1.000000
11880.000000,1.000000,0.000000,116.882362,-1.500000,-0.161970,-3.000000,-1.897423,0.000000,0.047300,0.000000,0.090433,1.000000
11890.000000,1.000000,0.000000,116.769859,-1.500000,-0.162054,-3.000000,-1.897298,0.000000,-0.011098,0.000000,0.101317,1.000000
11900.000000,1.000000,0.000000,116.931633,-1.500000,-0.162203,-3.000000,-1.897333,0.000000,-0.013550,0.000000,0.089299,1.000000
11910.000000,1.000000,0.000000,116.921005,-1.500000,-0.161810,-3.000000,-1.897366,0.000000,0.025898,0.000000,0.074603,1.000000
11920.000000,1.000000,0.000000,116.861992,-1.500000,-0.162067,-3.000000,-1.897395,0.000000,-0.049020,0.000000,0.102988,1.000000
11930.000000,1.000000,0.000000,116.665573,-1.500000,-0.162022,-3.000000,-1.897473,0.000000,0.011800,0.000000,0.085254,1.000000
11940.000000,1.000000,0.000000,116.454697,-1.500000,-0.161697,-3.000000,-1.897311,0.000000,0.014156,0.000000,0.107338,1.000000
11950.000000,1.000000,0.000000,116.480408,-1.500000,-0.161707,-3.000000,-1.897120,0.000000,0.005238,0.000000,0.147472,1.000000
11960.000000,1.000000,0.000000,116.603760,-1.500000,-0.161494,-3.000000,-1.897224,0.000000,0.034363,0.000000,0.086520,1.000000
11970.000000,1.000000,0.000000,116.858757,-1.500000,-0.161425,-3.000000,-1.897194,0.000000,0.042667,0.000000,0.108526,1.000000
11980.000000,1.000000,0.000000,117.068069,-1.500000,-0.161427,-3.000000,-1.896820,0.000000,-0.018873,0.000000,0.140548,1.000000
11990.000000,1.000000,0.000000,117.137383,-1.500000,-0.161190,-3.000000,-1.896689,0.000000,0.008298,0.000000,0.103148,1.000000
12000.000000,1.000000,0.000000,117.394104,-1.500000,-0.160923,-3.000000,-1.896783,0.000000,0.024665,0.000000,0.084543,1.000000
12010.000000,1.000000,0.000000,117.759247,-1.500000,-0.160653,-3.000000,-1.896540,0.000000,0.012168,0.000000,0.125110,1.000000
12020.000000,1.000000,0.000000,118.107170,-1.500000,-0.160634,-3.000000,-1.896604,0.000000,0.016089,0.000000,0.101411,1.000000
12030.000000,1.000000,0.000000,118.442856,-1.500000,-0.161027,-3.000000,-1.896916,0.000000,-0.033291,0.000000,0.055921,1.000000
12040.000000,1.000000,0.000000,118.203865,-1.500000,-0.161134,-3.000000,-1.897294,0.000000,0.022815,0.000000,0.137050,1.000000
12050.000000,1.000000,0.000000,117.726677,-1.500000,-0.161313,-3.000000,-1.897029,0.000000,0.007384,0.000000,0.141208,1.000000
12060.000000,1.000000,0.000000,117.374413,-1.500000,-0.161297,-3.000000,-1.896851,0.000000,-0.006104,0.000000,0.133759,1.000000
12070.000000,1.000000,0.000000,117.239281,-1.500000,-0.161184,-3.000000,-1.896608,0.000000,-0.022057,0.000000,0.114269,1.000000
12080.000000,1.000000,0.000000,117.321358,-1.500000,-0.161640,-3.000000,-1.896530,0.000000,-0.009881,0.000000,0.091836,1.000000
12090.000000,1.000000,0.000000,117.438843,-1.500000,-0.162305,-3.000000,-1.896625,0.000000,-0.034517,0.000000,0.130020,1.000000
12100.000000,1.000000,0.000000,117.282265,-1.500000,-0.162838,-3.000000,-1.896563,0.000000,0.021744,0.000000,0.120959,1.000000
12110.000000,1.000000,0.000000,117.252869,-1.500000,-0.163218,-3.000000,-1.896762,0.000000,-0.024971,0.000000,0.084193,1.000000
12120.000000,1.000000,0.000000,117.228752,-1.500000,-0.163167,-3.000000,-1.897010,0.000000,0.026257,0.000000,0.103126,1.000000
12130.000000,1.000000,0.000000,117.464020,-1.500000,-0.163224,-3.000000,-1.896851,0.000000,0.028804,0.000000,0.117187,1.000000
12140.000000,1.000000,0.000000,117.655640,-1.500000,-0.163447,-3.000000,-1.897091,0.000000,-0.019270,0.000000,0.106645,1.000000
12150.000000,1.000000,0.000000,117.916817,-1.500000,-0.163514,-3.000000,-1.897424,0.000000,0.018449,0.000000,0.097470,1.000000
12160.000000,1.000000,0.000000,118.128342,-1.500000,-0.163381,-3.000000,-1.897482,0.000000,0.034617,0.000000,0.090913,1.000000
12170.000000,1.000000,0.000000,118.148010,-1.500000,-0.164136,-3.000000,-1.897273,0.000000,-0.064082,0.000000,0.116567,1.000000
12180.000000,1.000000,0.000000,117.967781,-1.500000,-0.164135,-3.000000,-1.897029,0.000000,0.021768,0.000000,0.104329,1.000000
12190.000000,1.000000,0.000000,117.768341,-1.500000,-0.164080,-3.000000,-1.896840,0.000000,0.011657,0.000000,0.113088,1.000000
12200.000000,1.000000,0.000000,117.555908,-1.500000,-0.163857,-3.000000,-1.896962,0.000000,0.026970,0.000000,0.065152,1.000000
12210.000000,1.000000,0.000000,117.482422,-1.500000,-0.163840,-3.000000,-1.896744,0.000000,-0.009515,0.000000,0.149564,1.000000
12220.000000,1.000000,0.000000,117.422791,-1.500000,-0.163979,-3.000000,-1.896633,0.000000,-0.014660,0.000000,0.096297,1.000000
12230.000000,1.000000,0.000000,117.075096,-1.500000,-0.163834,-3.000000,-1.896496,0.000000,-0.010969,0.000000,0.124902,1.000000
12240.000000,1.000000,0.000000,116.946213,-1.500000,-0.163818,-3.000000,-1.896263,0.000000,0.009924,0.000000,0.132359,1.000000
12250.000000,1.000000,0.000000,116.682724,-1.500000,-0.164039,-3.000000,-1.895645,0.000000,-0.004254,0.000000,0.121643,1.000000
12260.000000,1.000000,0.000000,116.665108,-1.500000,-0.164000,-3.000000,-1.895658,0.000000,0.012291,0.000000,0.073728,1.000000
12270.000000,1.000000,0.000000,116.946327,-1.500000,-0.164088,-3.000000,-1.895313,0.000000,-0.000630,0.000000,0.104032,1.000000
12280.000000,1.000000,0.000000,117.129471,-1.500000,-0.163974,-3.000000,-1.895211,0.000000,-0.012945,0.000000,0.111839,1.000000
12290.000000,1.000000,0.000000,117.136177,-1.500000,-0.164447,-3.000000,-1.894729,0.000000,0.009585,0.000000,0.123026,1.000000
12300.000000,1.000000,0.000000,116.992767,-1.500000,-0.164382,-3.000000,-1.895014,0.000000,-0.000117,0.000000,0.082729,1.000000
12310.000000,1.000000,0.000000,117.123795,-1.500000,-0.164495,-3.000000,-1.894790,0.000000,-0.019674,0.000000,0.127025,1.000000
12320.000000,1.000000,0.000000,117.131905,-1.500000,-0.164575,-3.000000,-1.894992,0.000000,-0.011140,0.000000,0.101689,1.000000
12330.000000,1.000000,0.000000,117.181969,-1.500000,-0.164910,-3.000000,-1.895395,0.000000,-0.009479,0.000000,0.055837,1.000000
12340.000000,1.000000,0.000000,117.177170,-1.500000,-0.165083,-3.000000,-1.895402,0.000000,-0.024935,0.000000,0.127867,1.000000
