I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
2000.000000,0.330000,0.545388,0.000000,-0.061185,0.000000,-0.400000,-0.032487,0.000000,0.201149,0.000000
2094.000000,0.330000,0.936869,0.000000,-0.071583,0.000000,-0.400000,-0.216269,0.000000,0.407625,0.000000
2197.000000,0.330000,0.830983,0.000000,0.167497,0.000000,-0.400000,-0.224908,0.000000,0.962406,0.000000
2300.000000,0.330000,1.000009,0.000000,-0.068575,0.000000,-0.400000,-0.226962,0.000000,-0.132234,0.000000
2403.000000,0.330000,0.951761,0.000000,0.034283,0.000000,-0.400000,-0.327771,0.000000,-0.134612,0.000000
2418.000000,0.330000,0.930162,0.000000,-0.385292,0.000000,-0.400000,-0.328791,0.000000,0.339137,0.000000
2434.000000,0.330000,0.920259,0.000000,0.133842,0.000000,-0.400000,-0.328560,0.000000,-0.326847,0.000000
2450.000000,0.330000,0.927155,0.000000,0.126129,0.000000,-0.400000,-0.332260,0.000000,-0.206519,0.000000
2466.000000,0.330000,0.919519,0.000000,-0.198438,0.000000,-0.400000,-0.331873,0.000000,0.320681,0.000000
2481.000000,0.330000,0.922080,0.000000,0.066410,0.000000,-0.400000,-0.330787,0.000000,-0.418262,0.000000
2497.000000,0.330000,0.930250,0.000000,-0.010757,0.000000,-0.400000,-0.332831,0.000000,-0.040509,0.000000
2513.000000,0.330000,0.921481,0.000000,-0.163555,0.000000,-0.400000,-0.332128,0.000000,0.156110,0.000000
2529.000000,0.330000,0.925225,0.000000,0.125068,0.000000,-0.400000,-0.333667,0.000000,-0.438129,0.000000
2544.000000,0.330000,0.930587,0.000000,-0.150904,0.000000,-0.400000,-0.334974,0.000000,0.104455,0.000000
2560.000000,0.330000,0.922682,0.000000,-0.084856,0.000000,-0.400000,-0.334048,0.000000,0.069869,0.000000
2576.000000,0.330000,0.927382,0.000000,0.183589,0.000000,-0.400000,-0.336583,0.000000,-0.340588,0.000000
2592.000000,0.330000,0.928645,0.000000,-0.211742,0.000000,-0.400000,-0.336128,0.000000,0.164024,0.000000
2607.000000,0.330000,0.923971,0.000000,0.013464,0.000000,-0.400000,-0.334034,0.000000,-0.111101,0.000000
2623.000000,0.330000,0.929534,0.000000,0.088490,0.000000,-0.400000,-0.336555,0.000000,-0.241893,0.000000
2639.000000,0.330000,0.925866,0.000000,-0.224792,0.000000,-0.400000,-0.335915,0.000000,0.246186,0.000000
2655.000000,0.330000,0.923620,0.000000,0.034010,0.000000,-0.400000,-0.334647,0.000000,-0.264076,0.000000
2670.000000,0.330000,0.929331,0.000000,0.006845,0.000000,-0.400000,-0.336601,0.000000,-0.119208,0.000000
2686.000000,0.330000,0.922733,0.000000,-0.129170,0.000000,-0.400000,-0.336063,0.000000,0.212541,0.000000
2702.000000,0.330000,0.923058,0.000000,0.028760,0.000000,-0.400000,-0.335615,0.000000,-0.358519,0.000000
2718.000000,0.330000,0.927731,0.000000,-0.098731,0.000000,-0.400000,-0.335910,0.000000,-0.011660,0.000000
2733.000000,0.330000,0.920728,0.000000,-0.083271,0.000000,-0.400000,-0.334882,0.000000,0.106461,0.000000
2749.000000,0.330000,0.922328,0.000000,0.101109,0.000000,-0.400000,-0.336125,0.000000,-0.306905,0.000000
2755.000000,0.330000,0.925385,0.000000,-0.042360,0.000000,-0.400000,-0.336495,0.000000,-0.150529,0.000000
2756.000000,0.330000,0.925562,0.000000,-0.064238,0.000000,-0.400000,-0.336468,0.000000,-0.119696,0.000000
2757.000000,0.330000,0.925676,0.000000,-0.086489,0.000000,-0.400000,-0.336426,0.000000,-0.088666,0.000000
2758.000000,0.330000,0.925728,0.000000,-0.103709,0.000000,-0.400000,-0.336371,0.000000,-0.060985,0.000000
2759.000000,0.330000,0.925723,0.000000,-0.115224,0.000000,-0.400000,-0.336307,0.000000,-0.036311,0.000000
2762.000000,0.330000,0.925663,0.000000,-0.122311,0.000000,-0.400000,-0.336236,0.000000,-0.009670,0.000000
2763.000000,0.330000,0.925176,0.000000,-0.144199,0.000000,-0.400000,-0.335936,0.000000,0.082534,0.000000
