I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
271207.000000,0.330000,0.633378,-7.484221,-0.038795,0.000000,-0.400000,0.180250,1.465675,-0.015299,0.000000
271208.000000,0.330000,0.633370,-7.484221,-0.043756,0.000000,-0.400000,0.180250,1.465675,-0.026473,0.000000
271209.000000,0.330000,0.633360,-7.484221,-0.046197,0.000000,-0.400000,0.180239,1.465675,-0.037666,0.000000
271212.000000,0.330000,0.633352,-7.484221,-0.045639,0.000000,-0.400000,0.180217,1.465675,-0.047308,0.000000
271213.000000,0.330000,0.633329,-7.484221,-0.044543,0.000000,-0.400000,0.180111,1.465675,-0.066293,0.000000
271214.000000,0.330000,0.633319,-7.484221,-0.043699,0.000000,-0.400000,0.180069,1.465675,-0.068969,0.000000
271215.000000,0.330000,0.633307,-7.484221,-0.043783,0.000000,-0.400000,0.180026,1.465675,-0.069719,0.000000
271216.000000,0.330000,0.633291,-7.484221,-0.045238,0.000000,-0.400000,0.179985,1.465675,-0.068014,0.000000
271217.000000,0.330000,0.633270,-7.484221,-0.048249,0.000000,-0.400000,0.179948,1.465675,-0.063768,0.000000
271218.000000,0.330000,0.633245,-7.484221,-0.051722,0.000000,-0.400000,0.179917,1.465675,-0.058323,0.000000
271219.000000,0.330000,0.633219,-7.484221,-0.052840,0.000000,-0.400000,0.179891,1.465675,-0.053931,0.000000
271222.000000,0.330000,0.633196,-7.484221,-0.050122,0.000000,-0.400000,0.179866,1.465675,-0.051230,0.000000
271223.000000,0.330000,0.633140,-7.484221,-0.042940,0.000000,-0.400000,0.179805,1.465675,-0.047790,0.000000
271224.000000,0.330000,0.633121,-7.484221,-0.041967,0.000000,-0.400000,0.179787,1.465675,-0.047327,0.000000
271225.000000,0.330000,0.633106,-7.484221,-0.038174,0.000000,-0.400000,0.179770,1.465675,-0.047702,0.000000
271226.000000,0.330000,0.633093,-7.484221,-0.033712,0.000000,-0.400000,0.179751,1.465675,-0.049541,0.000000
271227.000000,0.330000,0.633083,-7.484221,-0.031563,0.000000,-0.400000,0.179730,1.465675,-0.052669,0.000000
271228.000000,0.330000,0.633071,-7.484221,-0.031419,0.000000,-0.400000,0.179704,1.465675,-0.056936,0.000000
271229.000000,0.330000,0.633060,-7.484221,-0.031193,0.000000,-0.400000,0.179673,1.465675,-0.061248,0.000000
271232.000000,0.330000,0.633049,-7.484221,-0.030612,0.000000,-0.400000,0.179640,1.465675,-0.063090,0.000000
271233.000000,0.330000,0.633026,-7.484221,-0.024183,0.000000,-0.400000,0.179541,1.465675,-0.061224,0.000000
271234.000000,0.330000,0.633027,-7.484221,-0.017775,0.000000,-0.400000,0.179507,1.465675,-0.061998,0.000000
271235.000000,0.330000,0.633035,-7.484221,-0.011156,0.000000,-0.400000,0.179474,1.465675,-0.061818,0.000000
271236.000000,0.330000,0.633048,-7.484221,-0.006540,0.000000,-0.400000,0.179443,1.465675,-0.060610,0.000000
271237.000000,0.330000,0.633061,-7.484221,-0.004629,0.000000,-0.400000,0.179415,1.465675,-0.058502,0.000000
271238.000000,0.330000,0.633074,-7.484221,-0.004761,0.000000,-0.400000,0.179394,1.465675,-0.053844,0.000000
