I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
12699812883158644450826192420864.000000,198633255702021111257589874688.000000,4296498319885335015718912.000000,1125719402569558990520320.000000,270069409037192100757635072.000000,0.000000,0.000000,0.000000,4465593963329501917218638659584.000000,72053504769466283589632.000000,70066984988231667286016.000000
61007.000000,0.330000,3.037426,0.000000,-0.002923,0.000000,-0.400000,0.348508,0.000000,-0.048061,0.000000
61008.000000,0.330000,3.037430,0.000000,-0.012177,0.000000,-0.400000,0.348493,0.000000,-0.052677,0.000000
61009.000000,0.330000,3.037418,0.000000,-0.025647,0.000000,-0.400000,0.348475,0.000000,-0.055853,0.000000
61010.000000,0.330000,3.037394,0.000000,-0.036953,0.000000,-0.400000,0.348456,0.000000,-0.056363,0.000000
61011.000000,0.330000,3.037361,0.000000,-0.043043,0.000000,-0.400000,0.348440,0.000000,-0.054452,0.000000
61012.000000,0.330000,3.037325,0.000000,-0.045166,0.000000,-0.400000,0.348428,0.000000,-0.051248,0.000000
61013.000000,0.330000,3.037288,0.000000,-0.044538,0.000000,-0.400000,0.348419,0.000000,-0.047741,0.000000
61017.000000,0.330000,3.037174,0.000000,-0.029202,0.000000,-0.400000,0.348436,0.000000,-0.023025,0.000000
61018.000000,0.330000,3.037154,0.000000,-0.027130,0.000000,-0.400000,0.348457,0.000000,-0.015982,0.000000
61019.000000,0.330000,3.037133,0.000000,-0.027029,0.000000,-0.400000,0.348480,0.000000,-0.012786,0.000000
61020.000000,0.330000,3.037115,0.000000,-0.025681,0.000000,-0.400000,0.348504,0.000000,-0.012012,0.000000
61021.000000,0.330000,3.037100,0.000000,-0.021844,0.000000,-0.400000,0.348527,0.000000,-0.012604,0.000000
61022.000000,0.330000,3.037088,0.000000,-0.018614,0.000000,-0.400000,0.348546,0.000000,-0.017293,0.000000
61023.000000,0.330000,3.037078,0.000000,-0.018025,0.000000,-0.400000,0.348557,0.000000,-0.025456,0.000000
61026.000000,0.330000,3.037066,0.000000,-0.010486,0.000000,-0.400000,0.348578,0.000000,-0.029286,0.000000
61027.000000,0.330000,3.037072,0.000000,-0.005563,0.000000,-0.400000,0.348591,0.000000,-0.024900,0.000000
61028.000000,0.330000,3.037085,0.000000,-0.001551,0.000000,-0.400000,0.348611,0.000000,-0.019632,0.000000
61029.000000,0.330000,3.037099,0.000000,-0.000373,0.000000,-0.400000,0.348633,0.000000,-0.016982,0.000000
61030.000000,0.330000,3.037113,0.000000,-0.003415,0.000000,-0.400000,0.348654,0.000000,-0.019184,0.000000
61031.000000,0.330000,3.037122,0.000000,-0.009931,0.000000,-0.400000,0.348670,0.000000,-0.024684,0.000000
61032.000000,0.330000,3.037124,0.000000,-0.018219,0.000000,-0.400000,0.348681,0.000000,-0.029756,0.000000
61033.000000,0.330000,3.037120,0.000000,-0.027271,0.000000,-0.400000,0.348689,0.000000,-0.032540,0.000000
61037.000000,0.330000,3.037037,0.000000,-0.053165,0.000000,-0.400000,0.348699,0.000000,-0.044063,0.000000
