I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
163865.000000,0.330000,0.401563,-0.771923,-0.044609,0.000000,-0.400000,-0.945889,6.746580,-0.045730,0.000000
163866.000000,0.330000,0.401534,-0.771923,-0.056766,0.000000,-0.400000,-0.945902,6.746580,-0.057523,0.000000
163867.000000,0.330000,0.401496,-0.771923,-0.066459,0.000000,-0.400000,-0.945928,6.746580,-0.070882,0.000000
163868.000000,0.330000,0.401453,-0.771923,-0.072207,0.000000,-0.400000,-0.945964,6.746580,-0.080937,0.000000
163869.000000,0.330000,0.401410,-0.771923,-0.072805,0.000000,-0.400000,-0.946002,6.746580,-0.085045,0.000000
163870.000000,0.330000,0.401371,-0.771923,-0.068305,0.000000,-0.400000,-0.946039,6.746580,-0.083543,0.000000
163871.000000,0.330000,0.401339,-0.771923,-0.061439,0.000000,-0.400000,-0.946069,6.746580,-0.076899,0.000000
163874.000000,0.330000,0.401314,-0.771923,-0.055595,0.000000,-0.400000,-0.946088,6.746580,-0.065893,0.000000
163875.000000,0.330000,0.401227,-0.771923,-0.064720,0.000000,-0.400000,-0.946059,6.746580,-0.022051,0.000000
163876.000000,0.330000,0.401181,-0.771923,-0.073013,0.000000,-0.400000,-0.946021,6.746580,-0.007213,0.000000
163877.000000,0.330000,0.401128,-0.771923,-0.078500,0.000000,-0.400000,-0.945974,6.746580,0.002624,0.000000
163878.000000,0.330000,0.401071,-0.771923,-0.080425,0.000000,-0.400000,-0.945925,6.746580,0.004565,0.000000
163879.000000,0.330000,0.401014,-0.771923,-0.079234,0.000000,-0.400000,-0.945879,6.746580,0.001635,0.000000
163880.000000,0.330000,0.400958,-0.771923,-0.075738,0.000000,-0.400000,-0.945836,6.746580,-0.001373,0.000000
163881.000000,0.330000,0.400906,-0.771923,-0.071887,0.000000,-0.400000,-0.945797,6.746580,-0.004907,0.000000
163884.000000,0.330000,0.400854,-0.771923,-0.069288,0.000000,-0.400000,-0.945765,6.746580,-0.011311,0.000000
163885.000000,0.330000,0.400701,-0.771923,-0.065102,0.000000,-0.400000,-0.945700,6.746580,-0.024130,0.000000
163886.000000,0.330000,0.400651,-0.771923,-0.061532,0.000000,-0.400000,-0.945685,6.746580,-0.027151,0.000000
163887.000000,0.330000,0.400608,-0.771923,-0.054107,0.000000,-0.400000,-0.945676,6.746580,-0.032822,0.000000
163888.000000,0.330000,0.400573,-0.771923,-0.045175,0.000000,-0.400000,-0.945672,6.746580,-0.038364,0.000000
163889.000000,0.330000,0.400542,-0.771923,-0.038974,0.000000,-0.400000,-0.945669,6.746580,-0.039001,0.000000
163890.000000,0.330000,0.400512,-0.771923,-0.038021,0.000000,-0.400000,-0.945661,6.746580,-0.033531,0.000000
163891.000000,0.330000,0.400477,-0.771923,-0.042453,0.000000,-0.400000,-0.945646,6.746580,-0.026127,0.000000
163894.000000,0.330000,0.400436,-0.771923,-0.049627,0.000000,-0.400000,-0.945627,6.746580,-0.021216,0.000000
163895.000000,0.330000,0.400314,-0.771923,-0.044242,0.000000,-0.400000,-0.945585,6.746580,-0.030213,0.000000
163896.000000,0.330000,0.400297,-0.771923,-0.029876,0.000000,-0.400000,-0.945587,6.746580,-0.038860,0.000000
163897.000000,0.330000,0.400300,-0.771923,-0.014133,0.000000,-0.400000,-0.945596,6.746580,-0.046961,0.000000
163898.000000,0.330000,0.400317,-0.771923,-0.000904,0.000000,-0.400000,-0.945610,6.746580,-0.052760,0.000000
163899.000000,0.330000,0.400346,-0.771923,0.007265,0.000000,-0.400000,-0.945624,6.746580,-0.053088,0.000000
163900.000000,0.330000,0.400380,-0.771923,0.009986,0.000000,-0.400000,-0.945631,6.746580,-0.046678,0.000000
163901.000000,0.330000,0.400415,-0.771923,0.008490,0.000000,-0.400000,-0.945628,6.746580,-0.038221,0.000000
163904.000000,0.330000,0.400448,-0.771923,0.003903,0.000000,-0.400000,-0.945618,6.746580,-0.031459,0.000000
163905.000000,0.330000,0.400487,-0.771923,-0.036532,0.000000,-0.400000,-0.945556,6.746580,-0.020245,0.000000
163906.000000,0.330000,0.400474,-0.771923,-0.051596,0.000000,-0.400000,-0.945533,6.746580,-0.021297,0.000000
163907.000000,0.330000,0.400450,-0.771923,-0.064139,0.000000,-0.400000,-0.945512,6.746580,-0.023782,0.000000
163908.000000,0.330000,0.400420,-0.771923,-0.072690,0.000000,-0.400000,-0.945494,6.746580,-0.026872,0.000000
163909.000000,0.330000,0.400392,-0.771923,-0.073141,0.000000,-0.400000,-0.945478,6.746580,-0.028355,0.000000
163910.000000,0.330000,0.400372,-0.771923,-0.065319,0.000000,-0.400000,-0.945462,6.746580,-0.027788,0.000000
