I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
500406.000000,0.330000,0.757597,-2.976252,-0.042660,0.000000,-0.400000,0.160736,1.458312,-0.034756,0.000000
500407.000000,0.330000,0.757615,-2.976252,-0.015995,0.000000,-0.400000,0.160729,1.458312,-0.033268,0.000000
500408.000000,0.330000,0.757649,-2.976252,0.000172,0.000000,-0.400000,0.160735,1.458312,-0.029188,0.000000
500409.000000,0.330000,0.757695,-2.976252,0.014079,0.000000,-0.400000,0.160749,1.458312,-0.022242,0.000000
500410.000000,0.330000,0.757752,-2.976252,0.025011,0.000000,-0.400000,0.160770,1.458312,-0.015561,0.000000
500411.000000,0.330000,0.757814,-2.976252,0.031993,0.000000,-0.400000,0.160794,1.458312,-0.012975,0.000000
500412.000000,0.330000,0.757875,-2.976252,0.031468,0.000000,-0.400000,0.160819,1.458312,-0.013875,0.000000
500413.000000,0.330000,0.757925,-2.976252,0.021669,0.000000,-0.400000,0.160842,1.458312,-0.014455,0.000000
500416.000000,0.330000,0.757959,-2.976252,0.006263,0.000000,-0.400000,0.160867,1.458312,-0.014616,0.000000
500417.000000,0.330000,0.757960,-2.976252,-0.037824,0.000000,-0.400000,0.160902,1.458312,-0.036413,0.000000
500418.000000,0.330000,0.757932,-2.976252,-0.049165,0.000000,-0.400000,0.160897,1.458312,-0.043830,0.000000
500419.000000,0.330000,0.757895,-2.976252,-0.056773,0.000000,-0.400000,0.160886,1.458312,-0.048456,0.000000
500420.000000,0.330000,0.757851,-2.976252,-0.061432,0.000000,-0.400000,0.160870,1.458312,-0.051270,0.000000
500421.000000,0.330000,0.757802,-2.976252,-0.064644,0.000000,-0.400000,0.160852,1.458312,-0.052224,0.000000
500422.000000,0.330000,0.757750,-2.976252,-0.066662,0.000000,-0.400000,0.160835,1.458312,-0.049690,0.000000
500423.000000,0.330000,0.757696,-2.976252,-0.068121,0.000000,-0.400000,0.160823,1.458312,-0.042190,0.000000
500426.000000,0.330000,0.757639,-2.976252,-0.070015,0.000000,-0.400000,0.160821,1.458312,-0.030847,0.000000
500427.000000,0.330000,0.757483,-2.976252,-0.057337,0.000000,-0.400000,0.160850,1.458312,-0.010494,0.000000
500428.000000,0.330000,0.757445,-2.976252,-0.050058,0.000000,-0.400000,0.160862,1.458312,-0.009299,0.000000
500429.000000,0.330000,0.757413,-2.976252,-0.044032,0.000000,-0.400000,0.160875,1.458312,-0.007930,0.000000
500430.000000,0.330000,0.757386,-2.976252,-0.038849,0.000000,-0.400000,0.160890,1.458312,-0.005800,0.000000
500431.000000,0.330000,0.757362,-2.976252,-0.036803,0.000000,-0.400000,0.160905,1.458312,-0.005014,0.000000
500432.000000,0.330000,0.757336,-2.976252,-0.037576,0.000000,-0.400000,0.160918,1.458312,-0.008370,0.000000
500433.000000,0.330000,0.757312,-2.976252,-0.037404,0.000000,-0.400000,0.160924,1.458312,-0.014278,0.000000
500436.000000,0.330000,0.757288,-2.976252,-0.036860,0.000000,-0.400000,0.160926,1.458312,-0.019617,0.000000
500437.000000,0.330000,0.757167,-2.976252,-0.069748,0.000000,-0.400000,0.160903,1.458312,-0.037331,0.000000
500438.000000,0.330000,0.757097,-2.976252,-0.085181,0.000000,-0.400000,0.160892,1.458312,-0.038310,0.000000
500439.000000,0.330000,0.757017,-2.976252,-0.097163,0.000000,-0.400000,0.160886,1.458312,-0.036465,0.000000
500440.000000,0.330000,0.756930,-2.976252,-0.105490,0.000000,-0.400000,0.160882,1.458312,-0.035804,0.000000
500441.000000,0.330000,0.756841,-2.976252,-0.108375,0.000000,-0.400000,0.160881,1.458312,-0.036746,0.000000
500442.000000,0.330000,0.756758,-2.976252,-0.103772,0.000000,-0.400000,0.160881,1.458312,-0.036371,0.000000
500443.000000,0.330000,0.756686,-2.976252,-0.093440,0.000000,-0.400000,0.160884,1.458312,-0.034487,0.000000
500446.000000,0.330000,0.756628,-2.976252,-0.081089,0.000000,-0.400000,0.160890,1.458312,-0.033100,0.000000
500447.000000,0.330000,0.756515,-2.976252,-0.055760,0.000000,-0.400000,0.160927,1.458312,-0.025455,0.000000
500448.000000,0.330000,0.756496,-2.976252,-0.045503,0.000000,-0.400000,0.160943,1.458312,-0.025542,0.000000
500449.000000,0.330000,0.756491,-2.976252,-0.033216,0.000000,-0.400000,0.160954,1.458312,-0.030884,0.000000
500450.000000,0.330000,0.756499,-2.976252,-0.021395,0.000000,-0.400000,0.160958,1.458312,-0.038508,0.000000
500451.000000,0.330000,0.756518,-2.976252,-0.012381,0.000000,-0.400000,0.160956,1.458312,-0.044478,0.000000
500452.000000,0.330000,0.756542,-2.976252,-0.007026,0.000000,-0.400000,0.160949,1.458312,-0.048967,0.000000
500453.000000,0.330000,0.756571,-2.976252,-0.004426,0.000000,-0.400000,0.160936,1.458312,-0.053684,0.000000
500456.000000,0.330000,0.756598,-2.976252,-0.005169,0.000000,-0.400000,0.160919,1.458312,-0.056779,0.000000
500457.000000,0.330000,0.756625,-2.976252,-0.036289,0.000000,-0.400000,0.160894,1.458312,-0.038383,0.000000
500458.000000,0.330000,0.756610,-2.976252,-0.047845,0.000000,-0.400000,0.160900,1.458312,-0.030158,0.000000
500459.000000,0.330000,0.756582,-2.976252,-0.058838,0.000000,-0.400000,0.160914,1.458312,-0.021497,0.000000
500460.000000,0.330000,0.756544,-2.976252,-0.069130,0.000000,-0.400000,0.160937,1.458312,-0.013032,0.000000
500461.000000,0.330000,0.756499,-2.976252,-0.075484,0.000000,-0.400000,0.160963,1.458312,-0.009691,0.000000
500462.000000,0.330000,0.756452,-2.976252,-0.075867,0.000000,-0.400000,0.160983,1.458312,-0.014215,0.000000
500463.000000,0.330000,0.756409,-2.976252,-0.071306,0.000000,-0.400000,0.160995,1.458312,-0.022846,0.000000
