I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
499009.000000,0.330000,0.319348,7.772767,-0.079331,0.000000,-0.400000,-0.061442,7.245545,-0.038033,0.000000
499010.000000,0.330000,0.319308,7.772767,-0.095595,0.000000,-0.400000,-0.061438,7.245545,-0.033944,0.000000
499011.000000,0.330000,0.319257,7.772767,-0.104654,0.000000,-0.400000,-0.061431,7.245545,-0.031774,0.000000
499012.000000,0.330000,0.319207,7.772767,-0.104040,0.000000,-0.400000,-0.061426,7.245545,-0.034065,0.000000
499013.000000,0.330000,0.319163,7.772767,-0.096043,0.000000,-0.400000,-0.061426,7.245545,-0.039454,0.000000
499016.000000,0.330000,0.319127,7.772767,-0.086187,0.000000,-0.400000,-0.061429,7.245545,-0.042477,0.000000
499017.000000,0.330000,0.319054,7.772767,-0.066941,0.000000,-0.400000,-0.061424,7.245545,-0.036270,0.000000
499018.000000,0.330000,0.319035,7.772767,-0.063596,0.000000,-0.400000,-0.061417,7.245545,-0.033267,0.000000
499019.000000,0.330000,0.319015,7.772767,-0.064178,0.000000,-0.400000,-0.061408,7.245545,-0.031374,0.000000
499020.000000,0.330000,0.318989,7.772767,-0.068460,0.000000,-0.400000,-0.061403,7.245545,-0.033785,0.000000
499021.000000,0.330000,0.318957,7.772767,-0.072789,0.000000,-0.400000,-0.061405,7.245545,-0.041033,0.000000
499022.000000,0.330000,0.318924,7.772767,-0.073762,0.000000,-0.400000,-0.061418,7.245545,-0.050677,0.000000
499023.000000,0.330000,0.318891,7.772767,-0.070704,0.000000,-0.400000,-0.061440,7.245545,-0.059120,0.000000
499026.000000,0.330000,0.318865,7.772767,-0.063649,0.000000,-0.400000,-0.061469,7.245545,-0.063878,0.000000
499027.000000,0.330000,0.318875,7.772767,-0.012083,0.000000,-0.400000,-0.061573,7.245545,-0.068524,0.000000
499028.000000,0.330000,0.318916,7.772767,0.007890,0.000000,-0.400000,-0.061612,7.245545,-0.069928,0.000000
