flight,axis,score,act_angle_err_rms_deg,act_gyro_err_rms_dps,rapid_angle_err_rms_deg,rapid_gyro_err_rms_dps,large_angle_err_rms_deg,large_gyro_err_rms_dps,step_angle_rms,step_gyro_rms,step_t63,step_overshoot_pct
4,pitch,10.499,1.668,9.4,1.882,10.123,3.068,15.061,1.747,8.674,203.5,41.623
8,pitch,14.896,1.918,10.019,2.252,11.197,4.189,16.046,1.602,7.889,232.5,36.353
6,pitch,15.132,1.945,9.536,2.12,8.999,3.494,8.697,2.237,8.49,246.0,39.559
11,pitch,15.582,2.035,7.249,2.54,8.084,4.888,13.498,2.784,8.434,296.0,44.33
7,pitch,16.698,1.804,8.728,2.29,9.762,3.684,12.654,2.714,9.923,276.5,46.202
5,pitch,17.308,1.806,10.315,1.958,10.959,2.292,11.356,2.237,11.983,283.0,60.02
10,pitch,22.45,2.04,11.309,2.284,12.19,4.905,21.998,2.27,11.064,290.0,24.884
9,pitch,25.045,2.058,9.204,2.424,10.098,4.722,11.73,2.757,11.327,331.0,37.643
2,pitch,37.224,2.645,12.861,2.818,12.787,3.697,12.935,2.73,9.987,299.5,42.299
1,pitch,47.256,3.196,13.763,3.777,15.298,6.933,21.168,3.501,14.776,240.5,30.431
12,pitch,58.108,3.835,15.061,4.592,17.554,10.977,39.568,3.993,14.62,224.5,36.709
3,pitch,62.143,3.659,16.164,3.931,17.226,7.925,32.926,5.687,26.0,185.0,31.467
11,roll,21.409,2.17,8.79,2.353,8.721,3.883,12.297,2.094,8.825,265.0,59.749
6,roll,29.269,2.214,10.602,2.374,11.008,4.007,12.952,2.811,12.076,318.0,52.883
10,roll,35.212,2.412,13.962,2.616,14.758,4.493,21.789,1.711,11.999,253.0,53.858
4,roll,37.312,2.525,12.369,2.787,13.407,5.222,20.167,3.011,14.415,271.0,59.893
7,roll,37.548,2.57,11.527,2.81,12.625,4.552,16.313,2.508,10.857,293.0,78.608
5,roll,38.425,2.285,14.966,2.325,14.735,3.32,17.057,2.947,19.318,272.0,36.712
8,roll,40.717,2.828,13.225,3.025,13.951,4.178,17.863,2.894,12.218,292.0,25.847
2,roll,45.794,2.938,13.811,3.21,14.863,4.697,18.436,2.866,12.626,231.5,73.909
9,roll,46.696,2.943,12.12,3.12,12.665,5.029,18.812,2.849,10.864,323.0,34.107
12,roll,71.777,3.997,16.868,4.449,18.526,7.702,27.558,5.08,20.834,224.0,35.544
1,roll,74.0,3.823,17.873,4.372,20.072,7.478,27.247,4.273,20.441,229.0,78.303
3,roll,87.974,4.193,20.836,4.465,21.772,7.681,35.879,5.386,26.448,216.0,84.526
