flight,i_rms,d_rms,stable_i,stable_d,step_i,step_d,d_damping,d_opposes_p,ff_res,ff_dir,i_help,name,roll_angle_kp,roll_angle_kff,pitch_angle_kp,pitch_angle_kff,roll_gyro_kp,roll_gyro_ki,roll_gyro_kd,pitch_gyro_kp,pitch_gyro_ki,pitch_gyro_kd
1,1.065,0.0,1.046,0.0,0.583,0.0,0.0,0.0,3.716,33.852,28.591,first_baseline_ff012_no_roll_i_d,6.5,0.12,6.4,0.12,3.8,0.0,0.0,4.6,0.08,0.0
2,1.564,0.0,1.539,0.0,0.504,0.0,0.0,0.0,1.869,30.573,27.683,second_angle_ff_off,6.5,0.0,6.4,0.0,3.8,0.0,0.0,4.6,0.08,0.0
3,4.164,0.0,4.195,0.0,1.478,0.0,0.0,0.0,4.587,24.362,51.574,third_higher_angle_p_low_ff_inner_i,7.1,0.08,7.0,0.08,4.1,0.05,0.0,4.9,0.1,0.0
4,4.421,1.015,4.41,1.005,3.338,1.123,60.143,33.123,1.754,27.683,52.448,fourth_small_gyro_d,6.8,0.06,6.7,0.06,4.0,0.06,0.006,4.8,0.11,0.007
5,4.457,1.186,4.477,1.182,3.885,1.15,59.627,35.08,2.257,34.0,49.292,fifth_strong_self_level,7.6,0.1,7.4,0.1,4.2,0.06,0.006,5.0,0.12,0.008
6,7.272,1.188,7.264,1.19,7.079,1.026,59.063,33.947,1.384,33.19,52.595,sixth_heavy_smooth,6.2,0.04,6.1,0.04,4.3,0.08,0.008,5.1,0.14,0.01
7,2.712,1.244,2.703,1.248,1.732,1.179,59.225,35.384,6.378,39.152,54.154,seventh_balanced_candidate,6.5,0.05,6.7,0.05,4.2,0.07,0.007,4.9,0.12,0.008
8,5.034,0.835,5.023,0.823,2.558,0.832,59.656,32.863,3.32,37.919,51.051,eighth_more_i_less_ff,6.4,0.04,6.6,0.04,4.2,0.1,0.007,4.9,0.15,0.008
9,3.614,0.599,3.595,0.601,3.418,0.531,59.975,34.478,2.797,27.417,51.692,ninth_soft_undertuned,5.0,0.0,5.2,0.0,3.2,0.04,0.003,3.8,0.06,0.004
10,2.578,1.022,2.584,1.005,1.483,0.984,59.816,34.084,5.232,37.921,49.475,tenth_strong_angle_ff,8.2,0.14,8.0,0.14,4.2,0.08,0.006,4.9,0.12,0.007
11,5.348,1.303,5.391,1.306,3.812,1.192,59.365,30.96,2.421,25.707,49.311,eleventh_strong_inner_low_ff,6.0,0.02,6.2,0.02,5.4,0.18,0.01,6.0,0.24,0.012
12,3.322,4.944,3.339,5.138,3.139,1.318,60.654,34.668,6.5,36.032,55.78,twelfth_strong_d_damping,5.8,0.03,6.0,0.03,4.6,0.1,0.014,5.3,0.15,0.016
