flight,score,angle_rms,gyro_rms,stable_angle,stable_gyro,rapid_angle,rapid_gyro,large_angle,large_gyro,step_angle,step_gyro,angle_lag,gyro_lag,name,roll_angle_kp,roll_angle_kff,pitch_angle_kp,pitch_angle_kff,roll_gyro_kp,roll_gyro_ki,roll_gyro_kd,pitch_gyro_kp,pitch_gyro_ki,pitch_gyro_kd
11,18.496,2.103,8.02,1.543,7.494,2.446,8.402,4.386,12.897,2.439,8.63,101.5,30.5,eleventh_strong_inner_low_ff,6.0,0.02,6.2,0.02,5.4,0.18,0.01,6.0,0.24,0.012
6,22.201,2.08,10.069,1.639,9.302,2.247,10.003,3.751,10.824,2.524,10.283,103.5,39.0,sixth_heavy_smooth,6.2,0.04,6.1,0.04,4.3,0.08,0.008,5.1,0.14,0.01
4,23.905,2.096,10.884,1.429,9.126,2.334,11.765,4.145,17.614,2.379,11.544,93.0,38.0,fourth_small_gyro_d,6.8,0.06,6.7,0.06,4.0,0.06,0.006,4.8,0.11,0.007
7,27.123,2.187,10.127,1.745,8.91,2.55,11.194,4.118,14.484,2.611,10.39,92.5,38.5,seventh_balanced_candidate,6.5,0.05,6.7,0.05,4.2,0.07,0.007,4.9,0.12,0.008
8,27.807,2.373,11.622,1.648,9.527,2.639,12.574,4.183,16.954,2.248,10.053,91.5,36.5,eighth_more_i_less_ff,6.4,0.04,6.6,0.04,4.2,0.1,0.007,4.9,0.15,0.008
5,27.866,2.045,12.641,1.509,10.867,2.141,12.847,2.806,14.207,2.592,15.65,81.0,39.0,fifth_strong_self_level,7.6,0.1,7.4,0.1,4.2,0.06,0.006,5.0,0.12,0.008
10,28.831,2.226,12.635,1.413,9.897,2.45,13.474,4.699,21.894,1.99,11.531,85.5,38.0,tenth_strong_angle_ff,8.2,0.14,8.0,0.14,4.2,0.08,0.006,4.9,0.12,0.007
9,35.871,2.501,10.662,2.021,9.736,2.772,11.382,4.875,15.271,2.803,11.096,120.0,49.0,ninth_soft_undertuned,5.0,0.0,5.2,0.0,3.2,0.04,0.003,3.8,0.06,0.004
2,41.509,2.792,13.336,1.878,11.084,3.014,13.825,4.197,15.686,2.798,11.306,97.0,40.0,second_angle_ff_off,6.5,0.0,6.4,0.0,3.8,0.0,0.0,4.6,0.08,0.0
1,60.628,3.51,15.818,1.686,11.046,4.074,17.685,7.206,24.207,3.887,17.609,90.5,36.0,first_baseline_ff012_no_roll_i_d,6.5,0.12,6.4,0.12,3.8,0.0,0.0,4.6,0.08,0.0
12,64.943,3.916,15.964,1.792,9.187,4.52,18.04,9.34,33.563,4.536,17.727,102.5,38.5,twelfth_strong_d_damping,5.8,0.03,6.0,0.03,4.6,0.1,0.014,5.3,0.15,0.016
3,75.058,3.926,18.5,1.738,10.462,4.198,19.499,7.803,34.403,5.536,26.224,96.0,39.0,third_higher_angle_p_low_ff_inner_i,7.1,0.08,7.0,0.08,4.1,0.05,0.0,4.9,0.1,0.0
