flight,variant,kp,ki,accel_min_g,accel_max_g,trust_band_g,acc_used_pct,acc_weight_mean,acc_weight_p95
1,bf_gate_kp025_ki0,0.25,0.0,0.9,1.1,0.1,55.38884614288564,0.3445429663281145,0.9958585949249485
1,current_kp10_ki002,1.0,0.02,0.3,3.0,0.35,80.52064631956912,0.5752502357313007,0.9988167414071282
1,current_kp06_ki002,0.6,0.02,0.3,3.0,0.35,80.52064631956912,0.5752502357313007,0.9988167414071282
1,current_kp15_ki002,1.5,0.02,0.3,3.0,0.35,80.52064631956912,0.5752502357313007,0.9988167414071282
1,current_kp10_ki0,1.0,0.0,0.3,3.0,0.35,80.52064631956912,0.5752502357313007,0.9988167414071282
1,wide_kp10_band020,1.0,0.02,0.3,3.0,0.2,72.85201333675302,0.47467748773711915,0.9979292974624743
1,wide_kp10_band050,1.0,0.02,0.3,3.0,0.5,82.43851699866063,0.6254349404035469,0.9991717189849897
1,mid_gate_kp10,1.0,0.02,0.7,1.5,0.35,80.22142429682825,0.5750716737113029,0.9988167414071282
2,bf_gate_kp025_ki0,0.25,0.0,0.9,1.1,0.1,56.223042510080845,0.307301172958049,0.9887315784567782
2,current_kp10_ki002,1.0,0.02,0.3,3.0,0.35,81.52847714004855,0.5510861921892098,0.9967793319535614
2,current_kp06_ki002,0.6,0.02,0.3,3.0,0.35,81.52847714004855,0.5510861921892098,0.9967793319535614
2,current_kp15_ki002,1.5,0.02,0.3,3.0,0.35,81.52847714004855,0.5510861921892098,0.9967793319535614
2,current_kp10_ki0,1.0,0.0,0.3,3.0,0.35,81.52847714004855,0.5510861921892098,0.9967793319535614
2,wide_kp10_band020,1.0,0.02,0.3,3.0,0.2,75.63444139065541,0.4479980226041912,0.9943638309187324
2,wide_kp10_band050,1.0,0.02,0.3,3.0,0.5,82.30585591911247,0.5984590166325297,0.997745532367493
2,mid_gate_kp10,1.0,0.02,0.7,1.5,0.35,81.41212109053704,0.5510013917529583,0.9967793319535614
3,bf_gate_kp025_ki0,0.25,0.0,0.9,1.1,0.1,49.49327389129364,0.25677715110907334,0.9846074362305914
3,current_kp10_ki002,1.0,0.02,0.3,3.0,0.35,75.20411601565537,0.4902654436977984,0.9955856223428191
3,current_kp06_ki002,0.6,0.02,0.3,3.0,0.35,75.20411601565537,0.4902654436977984,0.9955856223428191
3,current_kp15_ki002,1.5,0.02,0.3,3.0,0.35,75.20411601565537,0.4902654436977984,0.9955856223428191
3,current_kp10_ki0,1.0,0.0,0.3,3.0,0.35,75.20411601565537,0.4902654436977984,0.9955856223428191
3,wide_kp10_band020,1.0,0.02,0.3,3.0,0.2,68.68341929965527,0.39128292201789855,0.9923015139643364
3,wide_kp10_band050,1.0,0.02,0.3,3.0,0.5,76.12425805448278,0.5364414360585481,0.996906757198277
3,mid_gate_kp10,1.0,0.02,0.7,1.5,0.35,75.01555169643088,0.4901282764737832,0.9955856223428191
4,bf_gate_kp025_ki0,0.25,0.0,0.9,1.1,0.1,63.53291658527056,0.3512724269313266,0.9934974199488811
4,current_kp10_ki002,1.0,0.02,0.3,3.0,0.35,89.36885459399623,0.6406404701593341,0.9981419741280462
4,current_kp06_ki002,0.6,0.02,0.3,3.0,0.35,89.36885459399623,0.6406404701593341,0.9981419741280462
4,current_kp15_ki002,1.5,0.02,0.3,3.0,0.35,89.36885459399623,0.6406404701593341,0.9981419741280462
4,current_kp10_ki0,1.0,0.0,0.3,3.0,0.35,89.36885459399623,0.6406404701593341,0.9981419741280462
4,wide_kp10_band020,1.0,0.02,0.3,3.0,0.2,83.55554470274143,0.5236273205974914,0.9967484547240808
4,wide_kp10_band050,1.0,0.02,0.3,3.0,0.5,90.3228169564368,0.6939626337150765,0.9986988920224897
4,mid_gate_kp10,1.0,0.02,0.7,1.5,0.35,89.19466692713421,0.6404992444183053,0.9981419741280462
5,bf_gate_kp025_ki0,0.25,0.0,0.9,1.1,0.1,58.397083432942864,0.34229173584018596,0.9974569729851791
5,current_kp10_ki002,1.0,0.02,0.3,3.0,0.35,86.14716027458078,0.5931110348073994,0.9992734208529084
5,current_kp06_ki002,0.6,0.02,0.3,3.0,0.35,86.14716027458078,0.5931110348073994,0.9992734208529084
5,current_kp15_ki002,1.5,0.02,0.3,3.0,0.35,86.14716027458078,0.5931110348073994,0.9992734208529084
5,current_kp10_ki0,1.0,0.0,0.3,3.0,0.35,86.14716027458078,0.5931110348073994,0.9992734208529084
5,wide_kp10_band020,1.0,0.02,0.3,3.0,0.2,78.85147365185615,0.4862603976781636,0.9987284864925896
5,wide_kp10_band050,1.0,0.02,0.3,3.0,0.5,87.55763122844165,0.6442973152167001,0.9994913945970358
5,mid_gate_kp10,1.0,0.02,0.7,1.5,0.35,85.87223797001468,0.5929616248107059,0.9992734208529084
6,bf_gate_kp025_ki0,0.25,0.0,0.9,1.1,0.1,69.9574052239678,0.4957945522154644,0.998534314345225
6,current_kp10_ki002,1.0,0.02,0.3,3.0,0.35,92.7503903635958,0.713112658799615,0.9995812326700643
6,current_kp06_ki002,0.6,0.02,0.3,3.0,0.35,92.7503903635958,0.713112658799615,0.9995812326700643
6,current_kp15_ki002,1.5,0.02,0.3,3.0,0.35,92.7503903635958,0.713112658799615,0.9995812326700643
6,current_kp10_ki0,1.0,0.0,0.3,3.0,0.35,92.7503903635958,0.713112658799615,0.9995812326700643
6,wide_kp10_band020,1.0,0.02,0.3,3.0,0.2,86.41640907980413,0.6204612848478742,0.9992671571726125
6,wide_kp10_band050,1.0,0.02,0.3,3.0,0.5,93.77330231668844,0.7575447229429132,0.999706862869045
6,mid_gate_kp10,1.0,0.02,0.7,1.5,0.35,92.51457888531277,0.7129370990997058,0.9995812326700643
