flight,variant,kp,ki,min_g,max_g,band_g,ref,axis,rms_diff_deg,p95_abs_diff_deg,mean_diff_deg,final_diff_deg,acc_used_pct,acc_weight_mean
1,mahony_kp0.20_ki0.00_band0.35,0.2,0,0.3,3,0.35,quat_ekf,roll,2.9663,6.01266,0.592138,1.21912,80.5206,0.57525
1,mahony_kp0.20_ki0.00_band0.35,0.2,0,0.3,3,0.35,quat_ekf,pitch,3.8502,7.94601,-2.23517,0.00793601,80.5206,0.57525
1,mahony_kp0.20_ki0.00_band0.35,0.2,0,0.3,3,0.35,madgwick_imu,roll,1.88277,3.70117,-0.0321329,0.688069,80.5206,0.57525
1,mahony_kp0.20_ki0.00_band0.35,0.2,0,0.3,3,0.35,madgwick_imu,pitch,2.18406,4.48162,-0.399695,0.094039,80.5206,0.57525
1,mahony_kp0.20_ki0.01_band0.35,0.2,0.01,0.3,3,0.35,quat_ekf,roll,2.96718,6.02095,0.574936,0.951775,80.5206,0.57525
1,mahony_kp0.20_ki0.01_band0.35,0.2,0.01,0.3,3,0.35,quat_ekf,pitch,3.67114,7.84844,-1.90414,0.0476411,80.5206,0.57525
1,mahony_kp0.20_ki0.01_band0.35,0.2,0.01,0.3,3,0.35,madgwick_imu,roll,1.87721,3.69659,-0.0493346,0.420725,80.5206,0.57525
1,mahony_kp0.20_ki0.01_band0.35,0.2,0.01,0.3,3,0.35,madgwick_imu,pitch,2.17574,4.59818,-0.0686655,0.133744,80.5206,0.57525
1,mahony_kp0.20_ki0.02_band0.35,0.2,0.02,0.3,3,0.35,quat_ekf,roll,2.96845,6.0282,0.55837,0.717221,80.5206,0.57525
1,mahony_kp0.20_ki0.02_band0.35,0.2,0.02,0.3,3,0.35,quat_ekf,pitch,3.53031,7.68461,-1.60692,-0.0278793,80.5206,0.57525
1,mahony_kp0.20_ki0.02_band0.35,0.2,0.02,0.3,3,0.35,madgwick_imu,roll,1.87318,3.7013,-0.0659011,0.186171,80.5206,0.57525
1,mahony_kp0.20_ki0.02_band0.35,0.2,0.02,0.3,3,0.35,madgwick_imu,pitch,2.21633,4.87819,0.228553,0.0582237,80.5206,0.57525
1,mahony_kp0.20_ki0.05_band0.35,0.2,0.05,0.3,3,0.35,quat_ekf,roll,2.97302,6.03829,0.512042,0.183232,80.5206,0.57525
1,mahony_kp0.20_ki0.05_band0.35,0.2,0.05,0.3,3,0.35,quat_ekf,pitch,3.28859,7.1753,-0.893875,-0.650334,80.5206,0.57525
1,mahony_kp0.20_ki0.05_band0.35,0.2,0.05,0.3,3,0.35,madgwick_imu,roll,1.86737,3.70229,-0.112229,-0.347818,80.5206,0.57525
1,mahony_kp0.20_ki0.05_band0.35,0.2,0.05,0.3,3,0.35,madgwick_imu,pitch,2.48946,5.92191,0.941601,-0.564231,80.5206,0.57525
1,mahony_kp0.25_ki0.00_band0.35,0.25,0,0.3,3,0.35,quat_ekf,roll,2.93332,6.0025,0.61346,1.01851,80.5206,0.57525
1,mahony_kp0.25_ki0.00_band0.35,0.25,0,0.3,3,0.35,quat_ekf,pitch,3.64953,7.60533,-2.08441,-0.149277,80.5206,0.57525
1,mahony_kp0.25_ki0.00_band0.35,0.25,0,0.3,3,0.35,madgwick_imu,roll,1.81949,3.59998,-0.0108114,0.487455,80.5206,0.57525
1,mahony_kp0.25_ki0.00_band0.35,0.25,0,0.3,3,0.35,madgwick_imu,pitch,1.96644,3.97337,-0.248933,-0.0631745,80.5206,0.57525
1,mahony_kp0.25_ki0.01_band0.35,0.25,0.01,0.3,3,0.35,quat_ekf,roll,2.93433,6.00805,0.599832,0.816587,80.5206,0.57525
1,mahony_kp0.25_ki0.01_band0.35,0.25,0.01,0.3,3,0.35,quat_ekf,pitch,3.51564,7.56254,-1.83649,-0.0863958,80.5206,0.57525
1,mahony_kp0.25_ki0.01_band0.35,0.25,0.01,0.3,3,0.35,madgwick_imu,roll,1.81604,3.60052,-0.0244386,0.285537,80.5206,0.57525
1,mahony_kp0.25_ki0.01_band0.35,0.25,0.01,0.3,3,0.35,madgwick_imu,pitch,1.973,4.12226,-0.00101162,-0.000292778,80.5206,0.57525
1,mahony_kp0.25_ki0.02_band0.35,0.25,0.02,0.3,3,0.35,quat_ekf,roll,2.93548,6.01495,0.586684,0.638925,80.5206,0.57525
1,mahony_kp0.25_ki0.02_band0.35,0.25,0.02,0.3,3,0.35,quat_ekf,pitch,3.40652,7.40191,-1.61295,-0.0998701,80.5206,0.57525
1,mahony_kp0.25_ki0.02_band0.35,0.25,0.02,0.3,3,0.35,madgwick_imu,roll,1.81351,3.60119,-0.0375871,0.107875,80.5206,0.57525
1,mahony_kp0.25_ki0.02_band0.35,0.25,0.02,0.3,3,0.35,madgwick_imu,pitch,2.00896,4.37204,0.222522,-0.0137671,80.5206,0.57525
1,mahony_kp0.25_ki0.05_band0.35,0.25,0.05,0.3,3,0.35,quat_ekf,roll,2.93887,6.03349,0.549857,0.232358,80.5206,0.57525
1,mahony_kp0.25_ki0.05_band0.35,0.25,0.05,0.3,3,0.35,quat_ekf,pitch,3.19678,7.05477,-1.07179,-0.412108,80.5206,0.57525
1,mahony_kp0.25_ki0.05_band0.35,0.25,0.05,0.3,3,0.35,madgwick_imu,roll,1.80968,3.60383,-0.0744142,-0.298692,80.5206,0.57525
1,mahony_kp0.25_ki0.05_band0.35,0.25,0.05,0.3,3,0.35,madgwick_imu,pitch,2.20768,5.218,0.763687,-0.326005,80.5206,0.57525
1,mahony_kp0.30_ki0.00_band0.35,0.3,0,0.3,3,0.35,quat_ekf,roll,2.90492,6.00299,0.625174,0.884746,80.5206,0.57525
1,mahony_kp0.30_ki0.00_band0.35,0.3,0,0.3,3,0.35,quat_ekf,pitch,3.51634,7.38047,-1.99593,-0.21616,80.5206,0.57525
