variant,kp,ki,min_g,max_g,band_g,axis_score_rms_deg,quat_ekf,madgwick_imu,acc_used_pct,acc_weight_mean
mahony_kp0.60_ki0.02_band0.70,0.6,0.02,0.3,3.0,0.7,1.8861287946640612,2.4475591666666667,1.0469859166666666,85.62786666666666,0.6764793333333333
mahony_kp0.80_ki0.02_band0.70,0.8,0.02,0.3,3.0,0.7,1.902103797398898,2.47876,1.0282767499999999,85.62786666666666,0.6764793333333333
mahony_kp0.50_ki0.02_band0.70,0.5,0.02,0.3,3.0,0.7,1.9121311596450574,2.4619541666666667,1.1076724166666667,85.62786666666666,0.6764793333333333
mahony_kp0.80_ki0.02_band0.50,0.8,0.02,0.3,3.0,0.5,1.9129726337882342,2.498450833333333,1.02005875,85.42040000000001,0.64269
mahony_kp0.60_ki0.02_band0.50,0.6,0.02,0.3,3.0,0.5,1.9186157168698084,2.486489166666667,1.0724510833333332,85.42040000000001,0.64269
mahony_kp0.80_ki0.05_band0.35,0.8,0.05,0.3,3.0,0.35,1.9217651730961958,2.5040858333333333,1.0417778333333334,84.25328333333333,0.5939108333333333
mahony_kp0.70_ki0.05_band0.35,0.7,0.05,0.3,3.0,0.35,1.9256627748240516,2.4968,1.0751153333333334,84.25328333333333,0.5939108333333333
mahony_kp0.90_ki0.05_band0.35,0.9,0.05,0.3,3.0,0.35,1.9302302899346486,2.521205,1.0300535,84.25328333333333,0.5939108333333333
mahony_kp0.80_ki0.02_band0.35,0.8,0.02,0.3,3.0,0.35,1.9406887550976535,2.5336616666666667,1.0366518333333332,84.25328333333333,0.5939108333333333
mahony_kp0.60_ki0.05_band0.35,0.6,0.05,0.3,3.0,0.35,1.9447254231605566,2.50187,1.13263975,84.25328333333333,0.5939108333333333
mahony_kp0.90_ki0.02_band0.35,0.9,0.02,0.3,3.0,0.35,1.9458443009514073,2.5458375,1.0247530833333334,84.25328333333333,0.5939108333333333
mahony_kp1.00_ki0.05_band0.35,1.0,0.05,0.3,3.0,0.35,1.9486808224071248,2.54609,1.03696225,84.25328333333333,0.5939108333333333
mahony_kp0.70_ki0.02_band0.35,0.7,0.02,0.3,3.0,0.35,1.9489194363727063,2.5328783333333336,1.0705508333333333,84.25328333333333,0.5939108333333333
mahony_kp0.80_ki0.01_band0.35,0.8,0.01,0.3,3.0,0.35,1.9497208426068338,2.5472275,1.035623,84.25328333333333,0.5939108333333333
mahony_kp0.90_ki0.01_band0.35,0.9,0.01,0.3,3.0,0.35,1.9530906030241808,2.55687,1.0233455,84.25328333333333,0.5939108333333333
mahony_kp0.50_ki0.02_band0.50,0.5,0.02,0.3,3.0,0.5,1.9535402676102422,2.509028333333333,1.1455455833333332,85.42040000000001,0.64269
mahony_kp0.70_ki0.01_band0.35,0.7,0.01,0.3,3.0,0.35,1.9604016131992024,2.549904166666667,1.0702351666666667,84.25328333333333,0.5939108333333333
mahony_kp0.80_ki0.02_band0.30,0.8,0.02,0.3,3.0,0.3,1.9604511303851855,2.554474166666667,1.05934625,83.21483333333333,0.5684598333333334
mahony_kp0.80_ki0.00_band0.35,0.8,0.0,0.3,3.0,0.35,1.9609782269682716,2.5635866666666667,1.0358963333333333,84.25328333333333,0.5939108333333333
mahony_kp0.55_ki0.05_band0.35,0.55,0.05,0.3,3.0,0.35,1.961018359586478,2.5100066666666665,1.1713197499999999,84.25328333333333,0.5939108333333333
mahony_kp1.00_ki0.02_band0.35,1.0,0.02,0.3,3.0,0.35,1.9617211984775533,2.5668808333333333,1.0317864166666668,84.25328333333333,0.5939108333333333
mahony_kp0.90_ki0.00_band0.35,0.9,0.0,0.3,3.0,0.35,1.961930458430524,2.5699491666666665,1.0227234166666666,84.25328333333333,0.5939108333333333
mahony_kp1.00_ki0.02_band0.50,1.0,0.02,0.3,3.0,0.5,1.964454531330486,2.5587375000000003,1.0635078333333334,85.42040000000001,0.64269
mahony_kp1.00_ki0.02_band0.30,1.0,0.02,0.3,3.0,0.3,1.9668024721740014,2.574516666666667,1.0315365,83.21483333333333,0.5684598333333334
mahony_kp1.00_ki0.01_band0.35,1.0,0.01,0.3,3.0,0.35,1.9676287157381527,2.5760025000000004,1.0302280833333333,84.25328333333333,0.5939108333333333
mahony_kp0.40_ki0.02_band0.70,0.4,0.02,0.3,3.0,0.7,1.970209928330851,2.5059975,1.2098025,85.62786666666666,0.6764793333333333
mahony_kp0.60_ki0.02_band0.35,0.6,0.02,0.3,3.0,0.35,1.9738323395334232,2.546783333333333,1.1291515,84.25328333333333,0.5939108333333333
mahony_kp1.00_ki0.00_band0.35,1.0,0.0,0.3,3.0,0.35,1.97471028561493,2.586665833333333,1.0291396666666668,84.25328333333333,0.5939108333333333
mahony_kp1.10_ki0.05_band0.35,1.1,0.05,0.3,3.0,0.35,1.9750589597466863,2.5770491666666664,1.0591005,84.25328333333333,0.5939108333333333
mahony_kp0.70_ki0.00_band0.35,0.7,0.0,0.3,3.0,0.35,1.9750902164091308,2.5708641666666665,1.072066,84.25328333333333,0.5939108333333333
mahony_kp1.00_ki0.02_band0.70,1.0,0.02,0.3,3.0,0.7,1.9760897232683685,2.5592316666666663,1.1059151666666667,85.62786666666666,0.6764793333333333
mahony_kp0.50_ki0.05_band0.35,0.5,0.05,0.3,3.0,0.35,1.9825451870201998,2.52251,1.2172205,84.25328333333333,0.5939108333333333
mahony_kp1.10_ki0.02_band0.35,1.1,0.02,0.3,3.0,0.35,1.9860664186957595,2.594794166666667,1.0542516666666666,84.25328333333333,0.5939108333333333
mahony_kp0.60_ki0.01_band0.35,0.6,0.01,0.3,3.0,0.35,1.9887938912130472,2.568700833333333,1.13005875,84.25328333333333,0.5939108333333333
