flight,variant,kp,ki,trust_band_g,acc_used_pct,acc_weight_mean
1,mahony_kp0p3_ki0p00,0.3,0.0,0.35,80.52064631956912,0.5752502357313007
1,mahony_kp0p3_ki0p02,0.3,0.02,0.35,80.52064631956912,0.5752502357313007
1,mahony_kp0p4_ki0p00,0.4,0.0,0.35,80.52064631956912,0.5752502357313007
1,mahony_kp0p4_ki0p02,0.4,0.02,0.35,80.52064631956912,0.5752502357313007
1,mahony_kp0p5_ki0p00,0.5,0.0,0.35,80.52064631956912,0.5752502357313007
1,mahony_kp0p5_ki0p02,0.5,0.02,0.35,80.52064631956912,0.5752502357313007
1,mahony_kp0p6_ki0p00,0.6,0.0,0.35,80.52064631956912,0.5752502357313007
1,mahony_kp0p6_ki0p02,0.6,0.02,0.35,80.52064631956912,0.5752502357313007
1,mahony_kp0p8_ki0p00,0.8,0.0,0.35,80.52064631956912,0.5752502357313007
1,mahony_kp0p8_ki0p02,0.8,0.02,0.35,80.52064631956912,0.5752502357313007
1,mahony_kp1p0_ki0p00,1.0,0.0,0.35,80.52064631956912,0.5752502357313007
1,mahony_kp1p0_ki0p02,1.0,0.02,0.35,80.52064631956912,0.5752502357313007
1,mahony_kp1p2_ki0p00,1.2,0.0,0.35,80.52064631956912,0.5752502357313007
1,mahony_kp1p2_ki0p02,1.2,0.02,0.35,80.52064631956912,0.5752502357313007
1,mahony_kp0p6_band0p20,0.6,0.02,0.2,72.85201333675302,0.47467748773711915
1,mahony_kp0p6_band0p50,0.6,0.02,0.5,82.43851699866063,0.6254349404035469
1,bf_gate_kp0p25_ki0,0.25,0.0,0.1,55.38884614288564,0.3445429663281145
2,mahony_kp0p3_ki0p00,0.3,0.0,0.35,81.52847714004855,0.5510861921892098
2,mahony_kp0p3_ki0p02,0.3,0.02,0.35,81.52847714004855,0.5510861921892098
2,mahony_kp0p4_ki0p00,0.4,0.0,0.35,81.52847714004855,0.5510861921892098
2,mahony_kp0p4_ki0p02,0.4,0.02,0.35,81.52847714004855,0.5510861921892098
2,mahony_kp0p5_ki0p00,0.5,0.0,0.35,81.52847714004855,0.5510861921892098
2,mahony_kp0p5_ki0p02,0.5,0.02,0.35,81.52847714004855,0.5510861921892098
2,mahony_kp0p6_ki0p00,0.6,0.0,0.35,81.52847714004855,0.5510861921892098
2,mahony_kp0p6_ki0p02,0.6,0.02,0.35,81.52847714004855,0.5510861921892098
2,mahony_kp0p8_ki0p00,0.8,0.0,0.35,81.52847714004855,0.5510861921892098
2,mahony_kp0p8_ki0p02,0.8,0.02,0.35,81.52847714004855,0.5510861921892098
2,mahony_kp1p0_ki0p00,1.0,0.0,0.35,81.52847714004855,0.5510861921892098
2,mahony_kp1p0_ki0p02,1.0,0.02,0.35,81.52847714004855,0.5510861921892098
2,mahony_kp1p2_ki0p00,1.2,0.0,0.35,81.52847714004855,0.5510861921892098
2,mahony_kp1p2_ki0p02,1.2,0.02,0.35,81.52847714004855,0.5510861921892098
2,mahony_kp0p6_band0p20,0.6,0.02,0.2,75.63444139065541,0.4479980226041912
2,mahony_kp0p6_band0p50,0.6,0.02,0.5,82.30585591911247,0.5984590166325297
2,bf_gate_kp0p25_ki0,0.25,0.0,0.1,56.223042510080845,0.307301172958049
