flight,axis,left,right,rms_diff_deg,mean_diff_deg,p95_abs_diff_deg,max_abs_diff_deg
1,roll,repo_mahony,soft_mahony,1.579969437097801,-0.09224061209351418,3.7145894178522467,5.4286819405376265
1,roll,repo_mahony,madgwick_imu,1.9803603349962835,-0.11186875460011057,4.023255887888535,10.755859729002761
1,roll,soft_mahony,madgwick_imu,1.4509321369084567,-0.019628142506596537,3.066766851630473,10.805062285786587
1,pitch,repo_mahony,soft_mahony,2.632254308267131,-1.0369357964668,5.466905808730281,7.082180536744689
1,pitch,repo_mahony,madgwick_imu,2.8276021147674255,-0.9573251190543381,5.632569863875626,8.393892365362678
1,pitch,soft_mahony,madgwick_imu,1.0818403352975605,0.07961067741246156,1.7847325278848574,8.939771709662391
2,roll,repo_mahony,soft_mahony,1.5609834063400596,0.4616509808619387,3.243147077439346,5.064403305893789
2,roll,repo_mahony,madgwick_imu,1.5475158043027752,0.4143837405724596,3.027723729319694,6.640730966233757
2,roll,soft_mahony,madgwick_imu,0.9720058078815219,-0.047267240289479116,1.8793967212733618,6.789640353251599
2,pitch,repo_mahony,soft_mahony,3.7663935184918427,-2.6530171780311766,7.332963459879591,11.910146757250677
2,pitch,repo_mahony,madgwick_imu,3.5808313606120517,-2.6760865238397504,7.048554076035057,11.969682591077436
2,pitch,soft_mahony,madgwick_imu,1.2296694982953755,-0.023069345808573772,2.167801655113616,11.483825129328544
3,roll,repo_mahony,soft_mahony,1.7621164563718834,0.723887290235564,3.4998080167015564,5.3795150029667465
3,roll,repo_mahony,madgwick_imu,2.125462395389354,0.9605544089469835,4.072956539229803,13.631918812224884
3,roll,soft_mahony,madgwick_imu,1.3786060084485428,0.2366671187114197,2.652801128836042,13.64206432664901
3,pitch,repo_mahony,soft_mahony,3.7646601833065314,-3.0948808103213854,6.63420265826301,8.886700970425776
3,pitch,repo_mahony,madgwick_imu,3.6651538857928703,-3.027343358344123,6.646674586375957,8.95358709480072
3,pitch,soft_mahony,madgwick_imu,0.7975501925500241,0.06753745197726213,1.7002931287903924,3.04367314725562
4,roll,repo_mahony,soft_mahony,1.767116244350891,0.7835801191068,3.699167647441143,8.132501605250201
4,roll,repo_mahony,madgwick_imu,1.998770403663618,0.8526790037373724,3.792959867519449,12.907599802642833
4,roll,soft_mahony,madgwick_imu,1.0938754003393982,0.06909888463057243,1.6368035623295996,13.039373678212668
4,pitch,repo_mahony,soft_mahony,1.9341380777812454,-0.9459762597671736,4.285964946868152,6.008364721400146
4,pitch,repo_mahony,madgwick_imu,1.8805574991605383,-0.6387646265051876,4.0995261663796425,5.306850936842088
4,pitch,soft_mahony,madgwick_imu,0.6349141215349059,0.30721163326198603,1.2571777241555877,4.510608532212048
5,roll,repo_mahony,soft_mahony,2.5183033635195957,1.2145461171372431,5.275826291801443,8.55612191587501
5,roll,repo_mahony,madgwick_imu,2.8069308905346326,1.4633084628577209,5.9924181548404425,13.667817954505729
5,roll,soft_mahony,madgwick_imu,1.2458035577767876,0.24876234572047737,1.9964540486562066,13.390388903002819
5,pitch,repo_mahony,soft_mahony,5.417933466890908,-4.4792256147649425,10.848530755614222,14.979647217445574
5,pitch,repo_mahony,madgwick_imu,5.525573800759331,-4.558149296877182,10.85649845371795,14.296979831814843
5,pitch,soft_mahony,madgwick_imu,0.737114589653503,-0.0789236821122402,1.6035327993736126,2.655717412893342
6,roll,repo_mahony,soft_mahony,1.216867074209123,0.17414797917587416,2.939752434715258,5.534007608261296
6,roll,repo_mahony,madgwick_imu,1.3608200047332295,0.11307274406002764,2.937600364905304,9.85502557460482
6,roll,soft_mahony,madgwick_imu,0.9368452214723192,-0.06107523511584647,1.772842158515611,9.613638689861219
6,pitch,repo_mahony,soft_mahony,1.9803216941450124,-1.412362372854083,4.593717866991265,5.892777228262615
6,pitch,repo_mahony,madgwick_imu,1.9570113660576964,-1.360079731872981,4.239474688725995,9.78842325396482
6,pitch,soft_mahony,madgwick_imu,0.8888891576680596,0.05228264098110223,1.476527146325889,9.26827951626143
