I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
2775.000000,-0.017424,-0.014897,0.071212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.316900,2.229652,0.193945,2.300000,3.000000,0.000000
2799.000000,-0.078561,-0.003296,0.007049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.331629,2.235716,0.194550,2.300000,3.000000,0.000000
2822.000000,0.012897,0.007526,-0.088531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.345560,2.243107,0.195131,2.300000,3.000000,0.000000
2846.000000,-0.079396,0.020492,0.160466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.359486,2.249135,0.193006,2.300000,3.000000,0.000000
2870.000000,-0.097590,0.013951,-0.104458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.372450,2.255488,0.193576,2.300000,3.000000,0.000000
2894.000000,-0.058317,0.044986,0.204925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.385463,2.262795,0.194133,2.300000,3.000000,0.000000
2918.000000,-0.091952,0.008565,-0.155549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.399088,2.268834,0.195137,2.300000,3.000000,0.000000
2941.000000,-0.036142,0.088505,0.122203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.412164,2.274815,0.195672,2.300000,3.000000,0.000000
2965.000000,-0.092166,0.002672,-0.067973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.424672,2.280241,0.196220,2.300000,3.000000,0.000000
2989.000000,-0.053654,0.023863,0.065895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.436791,2.285611,0.196755,2.300000,3.000000,0.000000
3013.000000,-0.100746,-0.020577,-0.004239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.448695,2.291154,0.197265,2.300000,3.000000,0.000000
3036.000000,-0.058682,-0.045457,-0.064293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.461485,2.296344,0.197782,2.300000,3.000000,0.000000
3046.000000,-0.001581,0.030398,-0.139622,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.467457,2.298988,0.198028,2.300000,3.000000,0.000000
3047.000000,0.005299,0.025797,-0.122138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.468001,2.299236,0.198048,2.300000,3.000000,0.000000
3048.000000,0.007021,0.021795,-0.103088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.468545,2.299478,0.198069,2.300000,3.000000,0.000000
3049.000000,0.003434,0.019428,-0.084610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.469086,2.299720,0.198089,2.300000,3.000000,0.000000
3053.000000,-0.004533,0.018376,-0.068460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.469619,2.299960,0.198110,2.300000,3.000000,0.000000
3054.000000,-0.022742,0.005749,-0.029104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.471682,2.300892,0.198191,2.300000,3.000000,0.000000
3055.000000,-0.020745,-0.000975,-0.024547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.472196,2.301108,0.198211,2.300000,3.000000,0.000000
