I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
56193.000000,-0.047028,0.112686,0.024517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217382,3.148067,0.457184,2.300000,3.000000,0.000000
56197.000000,-0.056048,0.111554,0.032658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217390,3.148076,0.457185,2.300000,3.000000,0.000000
56198.000000,-0.083652,0.101443,0.037000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217347,3.148078,0.457186,2.300000,3.000000,0.000000
56199.000000,-0.087382,0.095030,0.039793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217325,3.148067,0.457186,2.300000,3.000000,0.000000
56200.000000,-0.090629,0.087522,0.041459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217302,3.148049,0.457186,2.300000,3.000000,0.000000
56201.000000,-0.093710,0.079015,0.039462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217275,3.148022,0.457184,2.300000,3.000000,0.000000
56202.000000,-0.096752,0.070280,0.033969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217249,3.147988,0.457183,2.300000,3.000000,0.000000
56203.000000,-0.099331,0.063569,0.025597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217220,3.147947,0.457181,2.300000,3.000000,0.000000
56207.000000,-0.102639,0.061516,0.014613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217190,3.147904,0.457180,2.300000,3.000000,0.000000
56208.000000,-0.147700,0.095648,-0.008841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216976,3.147815,0.457177,2.300000,3.000000,0.000000
56209.000000,-0.152145,0.108064,-0.011450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216903,3.147825,0.457179,2.300000,3.000000,0.000000
56210.000000,-0.149374,0.117894,-0.014786,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216833,3.147844,0.457181,2.300000,3.000000,0.000000
56211.000000,-0.140873,0.122403,-0.018161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216773,3.147867,0.457183,2.300000,3.000000,0.000000
56212.000000,-0.128632,0.121938,-0.021165,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216725,3.147889,0.457185,2.300000,3.000000,0.000000
56213.000000,-0.116966,0.118115,-0.023680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216688,3.147907,0.457187,2.300000,3.000000,0.000000
56217.000000,-0.109729,0.111777,-0.025287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216658,3.147917,0.457188,2.300000,3.000000,0.000000
56218.000000,-0.102853,0.090780,-0.017503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216557,3.147907,0.457191,2.300000,3.000000,0.000000
56219.000000,-0.100566,0.089067,-0.018526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216538,3.147900,0.457191,2.300000,3.000000,0.000000
56220.000000,-0.097513,0.091511,-0.019342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216522,3.147897,0.457191,2.300000,3.000000,0.000000
56221.000000,-0.093368,0.099210,-0.018790,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216513,3.147904,0.457192,2.300000,3.000000,0.000000
56222.000000,-0.088797,0.108073,-0.016324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216509,3.147922,0.457194,2.300000,3.000000,0.000000
56223.000000,-0.085000,0.112865,-0.011539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216509,3.147945,0.457196,2.300000,3.000000,0.000000
56227.000000,-0.082497,0.113208,-0.004067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216513,3.147970,0.457198,2.300000,3.000000,0.000000
56228.000000,-0.089914,0.109391,0.035122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216535,3.148051,0.457205,2.300000,3.000000,0.000000
56229.000000,-0.092454,0.115836,0.044994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216538,3.148077,0.457208,2.300000,3.000000,0.000000
56230.000000,-0.094173,0.124508,0.051505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216542,3.148108,0.457211,2.300000,3.000000,0.000000
56231.000000,-0.095757,0.131972,0.052130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216545,3.148146,0.457215,2.300000,3.000000,0.000000
56232.000000,-0.097805,0.134971,0.047288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216548,3.148187,0.457219,2.300000,3.000000,0.000000
56233.000000,-0.100747,0.132567,0.038615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216549,3.148223,0.457223,2.300000,3.000000,0.000000
56237.000000,-0.104505,0.126940,0.027509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216548,3.148252,0.457226,2.300000,3.000000,0.000000
56238.000000,-0.130167,0.136032,0.022355,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216489,3.148349,0.457241,2.300000,3.000000,0.000000
56239.000000,-0.136884,0.150064,0.031520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216456,3.148392,0.457246,2.300000,3.000000,0.000000
56240.000000,-0.138679,0.165918,0.041875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216421,3.148451,0.457252,2.300000,3.000000,0.000000
56241.000000,-0.132692,0.179638,0.050907,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216391,3.148523,0.457258,2.300000,3.000000,0.000000
56242.000000,-0.121113,0.187280,0.054933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216373,3.148601,0.457265,2.300000,3.000000,0.000000
56243.000000,-0.109535,0.187233,0.052035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216366,3.148680,0.457272,2.300000,3.000000,0.000000
56247.000000,-0.102296,0.181022,0.042875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216366,3.148754,0.457279,2.300000,3.000000,0.000000
56248.000000,-0.069978,0.129403,-0.010524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216414,3.148934,0.457298,2.300000,3.000000,0.000000
56249.000000,-0.049328,0.119896,-0.013483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216462,3.148952,0.457300,2.300000,3.000000,0.000000
56250.000000,-0.028372,0.115570,-0.011861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216528,3.148969,0.457303,2.300000,3.000000,0.000000
56251.000000,-0.013380,0.115148,-0.007399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216608,3.148987,0.457305,2.300000,3.000000,0.000000
56252.000000,-0.009752,0.116126,-0.002050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216690,3.149007,0.457308,2.300000,3.000000,0.000000
56253.000000,-0.018038,0.116713,0.003641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216764,3.149029,0.457310,2.300000,3.000000,0.000000
56257.000000,-0.032862,0.116301,0.009824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216823,3.149051,0.457313,2.300000,3.000000,0.000000
56258.000000,-0.067171,0.102975,0.026748,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216950,3.149120,0.457320,2.300000,3.000000,0.000000
56259.000000,-0.066909,0.100514,0.026711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216973,3.149130,0.457322,2.300000,3.000000,0.000000
56260.000000,-0.063821,0.099669,0.026071,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.216997,3.149140,0.457323,2.300000,3.000000,0.000000
56261.000000,-0.060663,0.098791,0.026893,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217025,3.149149,0.457324,2.300000,3.000000,0.000000
56262.000000,-0.060695,0.096051,0.029549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217052,3.149155,0.457325,2.300000,3.000000,0.000000
56263.000000,-0.065494,0.093141,0.030428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217074,3.149157,0.457326,2.300000,3.000000,0.000000
56267.000000,-0.074179,0.093361,0.025808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217089,3.149159,0.457327,2.300000,3.000000,0.000000
56268.000000,-0.086850,0.121572,-0.001250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217103,3.149230,0.457335,2.300000,3.000000,0.000000
56269.000000,-0.079239,0.129512,-0.001063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217115,3.149269,0.457338,2.300000,3.000000,0.000000
56270.000000,-0.070120,0.132627,0.001813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217136,3.149311,0.457341,2.300000,3.000000,0.000000
56271.000000,-0.064841,0.129861,0.003664,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217163,3.149350,0.457344,2.300000,3.000000,0.000000
56272.000000,-0.065594,0.122196,0.003679,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217190,3.149381,0.457347,2.300000,3.000000,0.000000
56273.000000,-0.070486,0.111881,0.003205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217210,3.149402,0.457349,2.300000,3.000000,0.000000
56277.000000,-0.077400,0.100277,0.002927,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217224,3.149412,0.457351,2.300000,3.000000,0.000000
56278.000000,-0.063442,0.036616,-0.005924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217282,3.149303,0.457348,2.300000,3.000000,0.000000
56279.000000,-0.050897,0.023128,-0.011303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217322,3.149237,0.457345,2.300000,3.000000,0.000000
