I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
5095.000000,-0.214135,-0.060166,-0.001965,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.548143,2.633867,0.239375,2.300000,3.000000,0.000000
5096.000000,-0.216715,-0.072275,-0.011875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.548313,2.633876,0.239389,2.300000,3.000000,0.000000
5097.000000,-0.221230,-0.075465,-0.023090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.548479,2.633883,0.239402,2.300000,3.000000,0.000000
5098.000000,-0.228047,-0.071420,-0.032895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.548638,2.633894,0.239416,2.300000,3.000000,0.000000
5099.000000,-0.234931,-0.062692,-0.041439,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.548790,2.633912,0.239429,2.300000,3.000000,0.000000
5102.000000,-0.239959,-0.051775,-0.051088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.548936,2.633940,0.239444,2.300000,3.000000,0.000000
5103.000000,-0.242424,-0.042656,-0.061393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.549079,2.633977,0.239459,2.300000,3.000000,0.000000
5104.000000,-0.224524,-0.038178,-0.073939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.549535,2.634091,0.239503,2.300000,3.000000,0.000000
5105.000000,-0.219855,-0.035772,-0.071779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.549700,2.634130,0.239518,2.300000,3.000000,0.000000
5106.000000,-0.218421,-0.032166,-0.068146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.549865,2.634171,0.239534,2.300000,3.000000,0.000000
5107.000000,-0.217932,-0.027894,-0.064870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.550031,2.634217,0.239549,2.300000,3.000000,0.000000
5108.000000,-0.217809,-0.023076,-0.062118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.550198,2.634266,0.239564,2.300000,3.000000,0.000000
5109.000000,-0.217056,-0.018997,-0.058362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.550365,2.634321,0.239580,2.300000,3.000000,0.000000
5112.000000,-0.214119,-0.016224,-0.051916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.550535,2.634378,0.239596,2.300000,3.000000,0.000000
5113.000000,-0.203427,-0.010230,-0.030368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.550889,2.634503,0.239628,2.300000,3.000000,0.000000
5114.000000,-0.191225,0.003363,-0.006711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.551267,2.634650,0.239661,2.300000,3.000000,0.000000
5115.000000,-0.185878,0.012025,0.003727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.551463,2.634737,0.239678,2.300000,3.000000,0.000000
5116.000000,-0.181558,0.019054,0.014535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.551662,2.634831,0.239695,2.300000,3.000000,0.000000
5117.000000,-0.178014,0.023062,0.025971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.551864,2.634929,0.239713,2.300000,3.000000,0.000000
5118.000000,-0.175198,0.022901,0.036496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.552067,2.635025,0.239730,2.300000,3.000000,0.000000
5119.000000,-0.173351,0.018463,0.044459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.552271,2.635115,0.239747,2.300000,3.000000,0.000000
5123.000000,-0.173075,0.012573,0.049645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.552475,2.635199,0.239764,2.300000,3.000000,0.000000
5124.000000,-0.198784,-0.008499,0.044883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.553220,2.635474,0.239828,2.300000,3.000000,0.000000
5125.000000,-0.204302,-0.010020,0.041083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.553385,2.635533,0.239844,2.300000,3.000000,0.000000
5126.000000,-0.203358,-0.009785,0.036445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.553549,2.635592,0.239859,2.300000,3.000000,0.000000
5127.000000,-0.197583,-0.009442,0.030097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.553716,2.635652,0.239874,2.300000,3.000000,0.000000
5128.000000,-0.191879,-0.009629,0.022700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.553885,2.635711,0.239889,2.300000,3.000000,0.000000
5129.000000,-0.189062,-0.009842,0.017487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.554058,2.635770,0.239905,2.300000,3.000000,0.000000
5132.000000,-0.189681,-0.010616,0.015741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.554228,2.635828,0.239920,2.300000,3.000000,0.000000
5133.000000,-0.199643,-0.021988,0.006350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.554554,2.635931,0.239949,2.300000,3.000000,0.000000
5134.000000,-0.209914,-0.041535,-0.015083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.554864,2.635998,0.239977,2.300000,3.000000,0.000000
5135.000000,-0.214679,-0.049407,-0.025507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.555012,2.636020,0.239990,2.300000,3.000000,0.000000
5136.000000,-0.221081,-0.056444,-0.034696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.555153,2.636034,0.240003,2.300000,3.000000,0.000000
5137.000000,-0.227465,-0.062229,-0.040880,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.555288,2.636044,0.240016,2.300000,3.000000,0.000000
