I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
32160.000000,-0.158292,0.133329,0.439781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.632215,3.219303,0.270217,2.300000,3.000000,0.000000
32161.000000,-0.586383,0.246455,0.536855,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.629895,3.224454,0.271407,2.300000,3.000000,0.000000
32162.000000,-0.872786,1.217632,0.578496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.628621,3.227665,0.271931,2.300000,3.000000,0.000000
32163.000000,-1.069549,2.240263,0.667555,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.627161,3.232043,0.272591,2.300000,3.000000,0.000000
32164.000000,-1.117385,2.864093,0.769370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.625666,3.237146,0.273382,2.300000,3.000000,0.000000
32165.000000,-1.010070,2.832301,0.833553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.624295,3.242324,0.274236,2.300000,3.000000,0.000000
32166.000000,-0.771321,2.207458,0.838505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.623214,3.246949,0.275069,2.300000,3.000000,0.000000
32169.000000,-0.501690,1.209818,0.772320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.622428,3.250625,0.275792,2.300000,3.000000,0.000000
32170.000000,-0.350525,0.211554,0.645226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.621809,3.253310,0.276344,2.300000,3.000000,0.000000
32171.000000,-0.915419,0.375776,0.338781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.619060,3.260524,0.277265,2.300000,3.000000,0.000000
