I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
4646.000000,-0.138488,0.042491,-0.003191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.841406,2.556515,0.343293,2.300000,3.000000,0.000000
4647.000000,-0.141319,0.043280,0.001650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.841658,2.556587,0.343309,2.300000,3.000000,0.000000
4648.000000,-0.145570,0.042821,0.004951,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.841905,2.556657,0.343326,2.300000,3.000000,0.000000
4649.000000,-0.152086,0.041947,0.009741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.842147,2.556725,0.343342,2.300000,3.000000,0.000000
4653.000000,-0.159615,0.041331,0.016468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.842382,2.556792,0.343358,2.300000,3.000000,0.000000
4654.000000,-0.179892,0.055685,0.018620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.843278,2.557065,0.343424,2.300000,3.000000,0.000000
4655.000000,-0.184881,0.063684,0.009666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.843491,2.557144,0.343441,2.300000,3.000000,0.000000
4656.000000,-0.189870,0.071692,0.000058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.843700,2.557229,0.343458,2.300000,3.000000,0.000000
4657.000000,-0.193853,0.078504,-0.009267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.843903,2.557318,0.343476,2.300000,3.000000,0.000000
4658.000000,-0.195408,0.083381,-0.018533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.844107,2.557412,0.343494,2.300000,3.000000,0.000000
4659.000000,-0.194644,0.085639,-0.025266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.844310,2.557508,0.343511,2.300000,3.000000,0.000000
4662.000000,-0.193074,0.085005,-0.026126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.844514,2.557604,0.343529,2.300000,3.000000,0.000000
4663.000000,-0.191697,0.082713,-0.021935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.844718,2.557699,0.343547,2.300000,3.000000,0.000000
4664.000000,-0.186044,0.079064,0.002888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.845326,2.557976,0.343599,2.300000,3.000000,0.000000
4665.000000,-0.179188,0.081508,0.010530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.845534,2.558073,0.343616,2.300000,3.000000,0.000000
4666.000000,-0.169955,0.085717,0.014458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.845751,2.558176,0.343633,2.300000,3.000000,0.000000
4667.000000,-0.162532,0.089975,0.015125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.845973,2.558285,0.343650,2.300000,3.000000,0.000000
4668.000000,-0.158708,0.094011,0.014816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.846200,2.558400,0.343668,2.300000,3.000000,0.000000
4669.000000,-0.157999,0.098279,0.015719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.846427,2.558519,0.343686,2.300000,3.000000,0.000000
4673.000000,-0.159779,0.102497,0.017028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.846653,2.558642,0.343703,2.300000,3.000000,0.000000
4674.000000,-0.166021,0.107493,0.015505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.847543,2.559150,0.343775,2.300000,3.000000,0.000000
4675.000000,-0.165477,0.104777,0.014517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.847767,2.559272,0.343794,2.300000,3.000000,0.000000
4676.000000,-0.164376,0.100466,0.012672,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.847991,2.559388,0.343811,2.300000,3.000000,0.000000
4677.000000,-0.161764,0.094268,0.012167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.848218,2.559499,0.343829,2.300000,3.000000,0.000000
4678.000000,-0.156138,0.086261,0.014098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.848451,2.559602,0.343846,2.300000,3.000000,0.000000
