tick,gx_raw,gy_raw,gz_raw,ax_raw,ay_raw,az_raw,gx_f,gy_f,gz_f,ax_f,ay_f,az_f,roll_log,pitch_log,yaw_log,acc_roll,acc_pitch,gyro_mag_f,acc_mag_f,roll_cur,pitch_cur,yaw_cur,int_x_dps,int_y_dps,zbias_dps,acc_weight_final,is_static,roll_oldsim,pitch_oldsim,yaw_oldsim
0,0.0,-0.121951,0.060976,0.069336,-0.040039,-1.003906,0.0,-0.121951,0.060976,0.069336,-0.040039,-1.003906,0.002232,0.003743,0.0,2.28392947908347,3.9478004945447767,0.1363455865695696,1.0070937688482637,0.0022317383632950998,0.003742776163501428,7.289277870311324e-08,0.0,0.0,0.0,0.9797320890049608,0,0.0022317383632950998,0.003742776163501428,7.289277870311324e-08
50,-0.064692,-0.112065,0.43921,0.083984,-0.04541,-1.003418,-0.139026,-0.02645,0.401907,0.076899,-0.047313,-0.994345,1.514729,2.402256,0.028059,2.724197501817416,4.417265560847792,0.42609513940550886,0.9984357541649839,0.11522797509141977,0.20291005526945707,-0.0004309206691914295,0.0,0.0,0.0,0.9955307261856682,0,0.11522797509141977,0.20291005526945707,-0.0004309206691914295
100,-0.186644,-0.173041,0.317259,0.050781,-0.036133,-1.00293,-0.140085,-0.045976,0.336918,0.073964,-0.043794,-0.993627,1.556287,2.492796,0.030837,2.523671825163511,4.253040640378118,0.3677653307817364,0.9973380584641298,0.2231023770648792,0.3977052466999349,0.0017676598348759578,9.096382930483812e-05,0.00015300249371019922,0.001278931384,0.9923944527546567,1,0.22310225371936282,0.39770501003648406,0.0017695442116379715
150,-0.064692,0.070862,0.500186,0.079102,-0.04834,-1.009277,-0.120008,-0.032692,0.293398,0.076327,-0.044596,-0.994834,1.594784,2.583698,0.034251,2.5667127386609248,4.382944745605904,0.31867392948278656,0.9987538744360394,0.3247855482687769,0.5880797693154514,0.004596131772621281,0.00222291567976059,0.003981820492410088,0.004418802532159641,0.9964396412458267,1,0.3247297109218824,0.5879740733421559,0.004957031766014993
200,-0.125668,-0.112065,0.317259,0.061035,-0.037598,-1.003906,-0.127343,-0.071193,0.238867,0.073514,-0.043253,-0.994445,1.631005,2.664308,0.036802,2.4904880372162523,4.223901151086848,0.27989663554069383,0.9980961818532321,0.42123420530818306,0.7634163666094967,0.006862503358881234,0.004243840404127469,0.007524941092010761,0.006431905304465072,0.9945605195806632,1,0.4210254385727302,0.7630284715126211,0.007646366496114582
250,-0.125668,-0.05109,0.073356,0.075684,-0.043945,-1.005371,-0.065041,-0.025526,0.159706,0.074728,-0.043975,-0.99496,1.665141,2.743064,0.039062,2.53069792306967,4.291049810946672,0.17432129758867673,0.9987309328387701,0.5127645860378648,0.9323825169507854,0.009056561669110735,0.006171737987628292,0.010930060683355057,0.007100797913889709,0.9963740938250575,1,0.5123182253412237,0.9315557239882973,0.010427968797415683
300,-0.064692,-0.112065,0.256283,0.06543,-0.040527,-1.003906,-0.096531,-0.089238,0.175499,0.073985,-0.043565,-0.994015,1.698255,2.817248,0.041584,2.5095137225967665,4.2526352633300055,0.21927506380343387,0.997716146844883,0.600542683948579,1.092518316486507,0.01185962275635154,0.008018747284361378,0.014158073833437519,0.009002447266092686,0.9934747052710942,1,0.599781347113142,1.091109644654188,0.013954530829070364
350,-0.064692,-0.05109,0.317259,0.069336,-0.044922,-1.003906,-0.112164,-0.060805,0.186398,0.074951,-0.043673,-0.99423,1.72914,2.887909,0.04368,2.515183638833672,4.307006249454492,0.22588099814946808,0.99800715239421,0.6834668335518661,1.2448608063162245,0.014554893648717458,0.009780590359711887,0.017241335988176294,0.009518535313725561,0.9943061496977429,1,0.6823217709750364,1.2427428723792096,0.017454512025635655
400,-0.064692,-0.05109,0.195308,0.067383,-0.04248,-1.003906,-0.096475,-0.02132,0.135375,0.074171,-0.042943,-0.994011,1.759247,2.956174,0.046876,2.47373887225762,4.2634196184086655,0.16759581930943265,0.9976990060188493,0.7631145986461547,1.3910284973609783,0.018002193993103092,0.011466438923555266,0.02019665362516568,0.011593233706579996,0.9934257314824266,1,0.7615208345008018,1.3880874736940791,0.02165982631938567
450,-0.064692,-0.112065,0.195308,0.06868500000000001,-0.041015666666666666,-1.005371,-0.10393233333333333,-0.023210333333333333,0.143848,0.07444566666666666,-0.04341266666666667,-0.9938146666666667,1.7875403333333333,3.019654,0.048592666666666666,2.501253350076557,4.279902455110139,0.1789773633439591,0.997544188792824,0.8390119233182686,1.5295309392535792,0.02005571876244157,0.013085042878028514,0.022980897813323593,0.013562240310028343,0.9929833965509258,1,0.8369235015070388,1.5256601338278781,0.024941140411299228
500,-0.186644,-0.112065,0.134332,0.070801,-0.043945,-1.003906,-0.099138,-0.059082,0.127375,0.074921,-0.043062,-0.993979,1.815663,3.082197,0.050269,2.4806650964260624,4.306484644546718,0.1718819839104727,0.997728291934232,0.9117528446267087,1.6619824516527575,0.02217276622511055,0.014614811581599583,0.02564818484471343,0.012403579324042768,0.993509405526377,1,0.9090872538326278,1.6571105792831944,0.027037087727309103
550,-0.125668,-0.05109,0.073356,0.068359,-0.041992,-1.001953,-0.104154,-0.013461,0.092166,0.07434,-0.042806,-0.994571,1.841008,3.14058,0.051873,2.4644700155854777,4.270730546820692,0.1397276844186577,0.9982636241379328,0.9799854288553386,1.7877061553803415,0.024351447313808307,0.016070662280121092,0.028179367713755756,0.01433686793969494,0.9950389261083794,1,0.9766973853514184,1.7817545933163452,0.029191147076460117
600,-0.186644,-0.05109,0.317259,0.069824,-0.041504,-1.003418,-0.079198,-0.062919,0.085093,0.074717,-0.04237,-0.993825,1.866821,3.19648,0.053499,2.441227548784361,4.295592203938583,0.13218147530573263,0.9975299382043629,1.0466079128048686,1.907665802574493,0.026612621474890397,0.017478256547958742,0.03058959615848458,0.014933835675808525,0.9929426805838939,1,1.0426572557385492,1.9005662744438485,0.03142414318505608
