param,kp,ki,window,mean_abs_roll_raw_vs_filt_deg,mean_abs_pitch_raw_vs_filt_deg,mean_abs_yaw_raw_vs_filt_deg,max_abs_roll_raw_vs_filt_deg,max_abs_pitch_raw_vs_filt_deg,max_abs_yaw_raw_vs_filt_deg
inav_numeric(0.20/0.005),0.2,0.005,full_dynamic,8.903250608941544,11.315452862399493,10.935245422274065,19.683744427894776,24.401347988110324,22.875919559215106
inav_numeric(0.20/0.005),0.2,0.005,takeoff_12s,1.985999683978256,2.418184521610725,0.9245220496486257,3.6465191612999144,4.334819579219582,3.2113673613029263
inav_numeric(0.20/0.005),0.2,0.005,hover_like_8s,9.145994199203358,17.585863671741432,17.72718390159276,11.947204031115614,21.468706946592583,18.697643329851093
inav_numeric(0.20/0.005),0.2,0.005,aggressive_8s,3.7569711335130944,5.642800947784859,7.155683923720546,5.52650814342683,7.664221413822569,8.475245888380693
inav_numeric(0.20/0.005),0.2,0.005,landing_12s,9.715760915268344,21.01088566974059,17.76278942344919,13.720014041880866,23.598107874513797,18.784468625007797
soft(0.80/0.010),0.8,0.01,full_dynamic,5.328151145074167,10.104708492334249,9.831208594135093,14.496450242101925,23.009678676473552,20.654462933962527
soft(0.80/0.010),0.8,0.01,takeoff_12s,1.1075606819865675,3.5670100759282715,0.9481253675501018,3.674499797151813,7.194896023428555,3.3259545670803954
soft(0.80/0.010),0.8,0.01,hover_like_8s,0.6867580631493245,7.0628787183082915,14.854067073754884,1.9243474408619514,13.0459996618508,15.182627614329874
soft(0.80/0.010),0.8,0.01,aggressive_8s,2.114641493707518,6.5279052217789,6.704617350558626,5.335670664407476,9.792700751960023,8.13939775781404
soft(0.80/0.010),0.8,0.01,landing_12s,1.5161010217109379,12.21518707806844,14.816432400499902,6.041843698014594,17.65848346867491,15.559366067516903
current(1.00/0.020),1.0,0.02,full_dynamic,4.228883046119962,10.043038995695854,9.442346433553979,12.93480941729312,23.219251621985,19.920837846894827
current(1.00/0.020),1.0,0.02,takeoff_12s,1.1240949867486396,3.731940685859595,0.9570670498403021,3.604962236586658,7.841957068656153,3.345149431254233
current(1.00/0.020),1.0,0.02,hover_like_8s,1.1765492044282622,5.767667232728208,14.185255324957529,3.0711848110342554,11.948573789994672,14.426765521732806
current(1.00/0.020),1.0,0.02,aggressive_8s,2.2807027579200123,6.625266364496985,6.493603033884472,5.022748065652877,10.251231558678366,7.9730136741140365
current(1.00/0.020),1.0,0.02,landing_12s,1.9134640984619369,10.925209423687447,13.979127297346958,3.60563636908526,16.84601673247107,14.64661112854077
mid(1.20/0.030),1.2,0.03,full_dynamic,3.493358573459848,9.808386252413534,9.120737543243592,11.802366855962347,23.057739907530692,19.31620490830552
mid(1.20/0.030),1.2,0.03,takeoff_12s,1.2243158989057652,3.892494299784602,0.9695760439792066,3.5273685217431887,8.371862608414785,3.3670229331916413
mid(1.20/0.030),1.2,0.03,hover_like_8s,2.386117076326671,4.592534228091314,13.637092567801156,5.630662979562858,10.580703563512593,14.015532906902402
mid(1.20/0.030),1.2,0.03,aggressive_8s,2.625545373871237,6.664934198116864,6.299097960074737,4.820194373638753,10.618150211518625,7.827002454835542
mid(1.20/0.030),1.2,0.03,landing_12s,3.216331535917248,9.568345128133537,13.320283657776159,5.939488517949429,15.816109188922677,14.015532906902402
hard(1.40/0.030),1.4,0.03,full_dynamic,3.074342321423662,9.423907039802204,8.901452159287395,11.203636991417024,23.07723382801391,18.91430667214473
hard(1.40/0.030),1.4,0.03,takeoff_12s,1.3462987473314496,4.039796945694855,0.9873834801496563,3.469905986110059,8.813230442093559,3.3983398087283865
hard(1.40/0.030),1.4,0.03,hover_like_8s,3.10010140485373,3.5563734995815253,13.24193378640271,7.376728359988642,9.024036948244076,13.672329884298248
hard(1.40/0.030),1.4,0.03,aggressive_8s,3.043249461046045,6.642008030093539,6.140557805471257,5.93291210369596,11.001193279417812,7.71979355696919
hard(1.40/0.030),1.4,0.03,landing_12s,4.311311568829566,8.194290011886572,12.873731480448761,7.723044143650324,14.626273356834949,13.672329884298248
