param_name,static_err_mean_deg,yaw_tail_slope_abs_dps,start_conv_s_mean,land_conv_s,dynamic_acc_weight_mean,dynamic_rp_std_sum,score,phase,kp,ki,gate_start,gate_slope,z_alpha,fast_gain_scale,fast_gain_window_s
"kp=0.800,ki=0.010",0.059992654337369014,0.0010032152472544736,40.1935,0.9770000000000039,0.5132168522619641,5.110406677907415,67.4671584831878,kp_ki,0.8,0.01,12.0,18.0,0.002,1.0,0.0
"kp=0.800,ki=0.015",0.0558291040783445,0.0006193126512602441,13.8645,0.967000000000013,0.5132168522619641,5.1107451376245185,27.47052293808651,kp_ki,0.8,0.015,12.0,18.0,0.002,1.0,0.0
"kp=0.800,ki=0.020",0.054742912972036414,0.00042203348237033887,13.393,0.9629999999999939,0.5132168522619641,5.110998522663981,26.611197993677706,kp_ki,0.8,0.02,12.0,18.0,0.002,1.0,0.0
"kp=0.800,ki=0.030",0.054517412463700926,0.0002466987402564971,21.224,0.9590000000000032,0.5132168522619641,5.111284409717129,38.296080994421395,kp_ki,0.8,0.03,12.0,18.0,0.002,1.0,0.0
"kp=1.000,ki=0.010",0.05494733769930204,0.0012409366726036247,31.689500000000002,0.967000000000013,0.5132168522619641,5.122102428344743,54.24417110445094,kp_ki,1.0,0.01,12.0,18.0,0.002,1.0,0.0
"kp=1.000,ki=0.015",0.0502938622719312,0.000791554058891012,13.8635,0.9620000000000175,0.5132168522619641,5.122306146426809,26.94494703897134,kp_ki,1.0,0.015,12.0,18.0,0.002,1.0,0.0
"kp=1.000,ki=0.020",0.048574521067986244,0.0005465227983704442,10.687000000000001,0.9579999999999984,0.5132168522619641,5.122473963844028,21.955256666472717,kp_ki,1.0,0.02,12.0,18.0,0.002,1.0,0.0
"kp=1.000,ki=0.030",0.04783052686447141,0.0003135252678682284,7.598000000000001,0.9099999999999966,0.5132168522619641,5.122695217244131,17.152757740020782,kp_ki,1.0,0.03,12.0,18.0,0.002,1.0,0.0
"kp=1.200,ki=0.010",0.05129438792136857,0.0014646290577445906,22.2315,0.9639999999999986,0.5132168522619641,5.162884030180496,39.73361460368578,kp_ki,1.2,0.01,12.0,18.0,0.002,1.0,0.0
"kp=1.200,ki=0.015",0.046917356632387955,0.00096175557173857,13.8625,0.960000000000008,0.5132168522619641,5.162985120352785,26.63783677758652,kp_ki,1.2,0.015,12.0,18.0,0.002,1.0,0.0
"kp=1.200,ki=0.020",0.04482051340514624,0.0006767418697752206,10.685500000000001,0.9550000000000125,0.5132168522619641,5.16307618265153,21.60064971446968,kp_ki,1.2,0.02,12.0,18.0,0.002,1.0,0.0
"kp=1.200,ki=0.030",0.04353328720616981,0.00038776280732059464,4.549,0.9110000000000014,0.5132168522619641,5.163210773125578,12.165381282081102,kp_ki,1.2,0.03,12.0,18.0,0.002,1.0,0.0
"kp=1.400,ki=0.010",0.04836923881933485,0.0016733889917709462,16.206,0.9629999999999939,0.5132168522619641,5.221488614522331,30.443601680287667,kp_ki,1.4,0.01,12.0,18.0,0.002,1.0,0.0
"kp=1.400,ki=0.015",0.044441184662315635,0.0011265996085587135,12.7725,0.9590000000000032,0.5132168522619641,5.221509569275213,24.78718838794331,kp_ki,1.4,0.015,12.0,18.0,0.002,1.0,0.0
"kp=1.400,ki=0.020",0.042311239294674376,0.0008079402460869536,5.2330000000000005,0.9550000000000125,0.5132168522619641,5.221535640818811,13.197211978684843,kp_ki,1.4,0.02,12.0,18.0,0.002,1.0,0.0
"kp=1.400,ki=0.030",0.04061745689478909,0.000468984577568897,4.077,0.9110000000000014,0.5132168522619641,5.221583159381138,11.18204260499269,kp_ki,1.4,0.03,12.0,18.0,0.002,1.0,0.0
