param_name,file,window,mean_abs_roll_err_deg,mean_abs_pitch_err_deg,mean_abs_rp_err_deg,yaw_tail_slope_abs_dps,conv_time_s,acc_weight_mean
fast=1.0@0.0s,04150000.csv,first_static,0.02339851041543462,0.024087052531820842,0.023742781473627732,8.519910837325993e-05,3.212,0.9945709142802315
fast=1.0@0.0s,04150000.csv,last_static,0.04638281016349259,0.034724836811121686,0.04055382348730714,9.610912855181073e-05,,0.9950697292409005
fast=1.0@0.0s,04150000.csv,dynamic,,,,,,0.9892580660143357
fast=1.0@0.0s,04150008.csv,first_static,0.07050495932499892,0.09220839919941762,0.08135667926220827,0.002621892719631455,4.942,0.9929051779401374
fast=1.0@0.0s,04150008.csv,last_static,0.0171626945319141,0.016390292996785315,0.016776493764349705,0.0008224348107115655,0.9110000000000014,0.994341379095503
fast=1.0@0.0s,04150008.csv,dynamic,,,,,,0.5343612661810356
fast=1.5@3.0s,04150000.csv,first_static,0.022934947697499736,0.021177758589453203,0.022056353143476468,8.524521566615169e-05,5.273,0.9945709142802315
fast=1.5@3.0s,04150000.csv,last_static,0.046382869098629785,0.03472446123807716,0.04055366516835347,9.614545148345947e-05,,0.9950697292409005
fast=1.5@3.0s,04150000.csv,dynamic,,,,,,0.9892580660143357
fast=1.5@3.0s,04150008.csv,first_static,0.06445835357953415,0.06798402357438557,0.06622118857695986,0.0026762758678737487,5.192,0.9929051779401374
fast=1.5@3.0s,04150008.csv,last_static,0.018554135155497604,0.015402541807704005,0.016978338481600803,0.0008715643633331523,0.9090000000000202,0.994341379095503
fast=1.5@3.0s,04150008.csv,dynamic,,,,,,0.5343612661810356
fast=1.5@5.0s,04150000.csv,first_static,0.022912652279259198,0.02117816644618788,0.02204540936272354,8.527586990503971e-05,2.222,0.9945709142802315
fast=1.5@5.0s,04150000.csv,last_static,0.046382872916219876,0.03472446058229001,0.04055366674925494,9.616966613920428e-05,,0.9950697292409005
fast=1.5@5.0s,04150000.csv,dynamic,,,,,,0.9892580660143357
fast=1.5@5.0s,04150008.csv,first_static,0.06456257915568851,0.06797676910940828,0.06626967413254839,0.0027108200165638203,4.982,0.9929051779401374
fast=1.5@5.0s,04150008.csv,last_static,0.018646595378783846,0.015401343044259356,0.017023969211521602,0.0008814204605721155,0.9090000000000202,0.994341379095503
fast=1.5@5.0s,04150008.csv,dynamic,,,,,,0.5343612661810356
fast=2.0@3.0s,04150000.csv,first_static,0.022735196960102323,0.020191849744317404,0.021463523352209864,8.527080188279598e-05,11.545,0.9945709142802315
fast=2.0@3.0s,04150000.csv,last_static,0.04638289901538536,0.034724272851389064,0.04055358593338721,9.616561325255172e-05,,0.9950697292409005
fast=2.0@3.0s,04150000.csv,dynamic,,,,,,0.9892580660143357
fast=2.0@3.0s,04150008.csv,first_static,0.06138990445327066,0.058520944014066725,0.05995542423366869,0.002707042150077336,9.832,0.9929051779401374
fast=2.0@3.0s,04150008.csv,last_static,0.01936985045530667,0.015317737248996807,0.017343793852151738,0.0008972307443432853,0.9569999999999936,0.994341379095503
fast=2.0@3.0s,04150008.csv,dynamic,,,,,,0.5343612661810356
fast=2.0@5.0s,04150000.csv,first_static,0.02270366983090952,0.020190080683715885,0.021446875257312703,8.531724755395497e-05,1.486,0.9945709142802315
fast=2.0@5.0s,04150000.csv,last_static,0.04638290527098653,0.03472426854521071,0.04055358690809862,9.620230113653357e-05,,0.9950697292409005
fast=2.0@5.0s,04150000.csv,dynamic,,,,,,0.9892580660143357
fast=2.0@5.0s,04150008.csv,first_static,0.06157372872580149,0.05852813284619361,0.06005093078599755,0.0027582196221692477,9.832,0.9929051779401374
fast=2.0@5.0s,04150008.csv,last_static,0.019533052555270977,0.01531925723097725,0.017426154893124116,0.0009121494032554767,0.9569999999999936,0.994341379095503
fast=2.0@5.0s,04150008.csv,dynamic,,,,,,0.5343612661810356
