I0,I1,I2,I3,I4,I5,I6
20472.000000,-15.224762,16.224545,2.435284,1.352539,-0.484375,-0.821777
20473.000000,-10.590615,5.187961,2.740162,-0.924316,-0.044922,-1.513184
20474.000000,-13.639396,11.163570,4.142601,0.494141,0.359375,-2.799805
20475.000000,-11.017445,11.346498,2.984064,-0.800781,-0.614258,-2.054199
20476.000000,-13.517445,38.297718,0.301137,0.154297,0.277344,-0.790039
20477.000000,-15.712566,21.346497,0.849918,0.023438,0.323730,1.064941
20478.000000,-17.054029,3.358692,2.740162,-0.067383,-0.618652,-0.362793
20479.000000,-10.834517,15.675765,2.862113,0.185059,-0.289063,-1.584473
20480.000000,-10.834517,15.675765,2.862113,0.185059,-0.289063,-1.584473
20481.000000,-20.468664,4.822106,3.837723,-0.977539,0.898438,-1.150391
20482.000000,-12.115005,26.529423,1.642601,-0.021484,-0.212402,-0.905273
20483.000000,-19.432079,33.297718,-1.101302,-0.379883,0.879395,-0.544434
20484.000000,-9.066225,25.187960,0.910893,0.950684,-0.679199,-0.534180
20485.000000,-20.590616,9.212351,-0.125692,-0.385254,0.144531,-1.027832
20486.000000,-11.505249,14.273327,3.349918,0.482910,-0.721191,-1.689941
20487.000000,-26.017445,6.834302,3.106015,-0.435059,1.460449,-2.180176
20489.000000,-5.834517,27.078203,-2.564716,0.105469,-1.227051,1.166504
20489.000000,-5.834517,27.078203,-2.564716,0.105469,-1.227051,1.166504
20490.000000,-23.761347,14.029425,-0.918375,0.209961,0.781250,-0.989746
20491.000000,-23.761347,14.029425,-0.918375,0.209961,0.781250,-0.989746
20492.000000,-22.846712,13.968449,3.288942,0.728027,0.491699,-2.561523
20493.000000,-14.797933,8.358692,1.886503,-1.343750,-0.209961,-1.605469
20494.000000,-19.127201,30.553814,-0.369594,1.223145,-0.479980,-1.232422
20495.000000,-14.005249,28.480642,-1.528131,-1.324219,0.417969,0.094238
20496.000000,-18.029640,22.017229,-0.369594,1.935547,-0.067383,-1.497559
20497.000000,-19.249151,8.053814,-1.040326,-1.825684,0.340820,-0.710449
20498.000000,-13.517445,21.468449,3.349918,1.955078,-1.272461,-1.797852
20499.000000,-25.895494,-0.604723,1.337723,-2.223145,1.739258,-1.169922
20500.000000,-9.675981,24.212351,1.825528,1.234375,-1.199707,-0.893555
20501.000000,-28.273542,32.322105,-1.650082,-1.600586,1.892090,-0.870117
20502.000000,-6.566225,27.139179,-0.918375,1.490234,-1.425293,0.765625
20503.000000,-29.310127,8.541619,-1.040326,-1.278809,0.598145,-0.871582
20504.000000,-10.163786,17.261131,0.362113,1.104492,-0.347168,-1.276855
20505.000000,-29.675982,6.041619,2.801137,-0.126953,0.484863,-2.304688
20506.000000,-8.090615,11.651376,-0.003741,-0.677246,-0.703613,-0.863770
20507.000000,-30.224762,29.517229,1.520650,0.005859,0.654785,-0.690430
20509.000000,-26.322323,14.578205,0.971869,1.279785,-0.459961,-0.995117
20509.000000,-26.322323,14.578205,0.971869,1.279785,-0.459961,-0.995117
20510.000000,-14.066225,11.651376,-1.954960,-1.328125,0.740234,-1.434082
20511.000000,-16.322323,20.980642,3.349918,2.395508,-1.569824,-3.135742
20512.000000,-22.175982,7.078204,0.727967,-2.421387,1.957031,-1.821777
20513.000000,-12.297933,31.834301,0.971869,1.848633,-2.187988,-0.680664
20514.000000,-26.261347,29.822107,0.423089,-1.889160,2.514160,-0.477539
20515.000000,-10.346713,27.200155,-0.735448,2.433105,-1.838867,0.437500
20516.000000,-27.054029,6.712351,-1.223253,-2.177246,1.003906,-0.911133
20517.000000,-5.773542,15.431863,0.666991,0.922852,-1.254395,-0.348633
20518.000000,-1.749152,19.944057,0.057235,0.260742,-1.284668,-0.425293
20519.000000,-1.749152,19.944057,0.057235,0.260742,-1.284668,-0.425293
20520.000000,-32.480862,29.700155,0.057235,-0.192871,0.908203,-0.795410
20521.000000,-2.297932,29.090399,-0.491546,0.285156,-0.266602,0.156738
20522.000000,-33.578423,18.602594,0.240162,0.688477,0.336914,-1.538086
20523.000000,-7.175981,10.431863,-0.186668,-0.767578,0.241211,-1.283203
20524.000000,-25.651590,18.053814,3.837723,1.398926,-0.841309,-2.886230
20525.000000,-9.005249,11.529424,1.215771,-1.936523,1.315918,-2.272461
20526.000000,-22.175982,32.992840,3.959674,1.317871,-1.109863,-0.701172
20527.000000,-10.468664,28.541618,-0.430570,-1.386719,1.516113,-0.230957
20529.000000,-15.529639,9.578204,-0.491546,-1.218750,0.686523,-1.492188
20529.000000,-12.480859,21.468449,6.093821,1.003906,-2.312988,-1.103027
20530.000000,-12.480859,21.468449,6.093821,1.003906,-2.312988,-1.103027
20531.000000,-24.736958,8.602594,4.020650,-1.159180,2.204102,-1.511719
20532.000000,-6.078420,26.651375,5.910893,-0.134766,-1.738770,-0.506836
20533.000000,-28.944275,31.895279,3.715771,0.099121,1.413086,-1.222656
20534.000000,-2.541835,26.712351,0.484064,0.127930,-1.244629,0.307129
20535.000000,-30.285738,13.358692,4.081625,1.031738,1.041992,-2.246094
20536.000000,-5.224761,14.273327,2.435284,-1.587891,-0.115234,0.077637
20537.000000,-31.383299,18.053814,7.801138,2.174805,0.359375,-2.987305
20538.000000,-28.578421,36.468449,5.057235,2.102539,0.302246,-1.151367
20539.000000,-2.602810,27.566010,2.069430,-1.894531,-0.288574,0.083984
20540.000000,-2.602810,27.566010,2.069430,-1.894531,-0.288574,0.083984
20541.000000,-30.407688,18.968449,2.496259,2.145996,0.313965,0.063965
20542.000000,-7.846713,9.822107,0.788942,-1.945801,0.014160,-1.234863
20543.000000,-23.944275,24.334301,6.581625,1.951172,-0.818848,-2.325195
20544.000000,-10.590615,6.468449,1.703576,-1.590332,1.313965,-1.947754
20545.000000,-16.627201,31.346497,5.666991,0.400879,-1.270508,-0.570801
20546.000000,-15.041835,27.687960,1.703576,-0.662109,1.161621,-0.474609
20547.000000,-14.919884,27.139179,2.679186,0.544434,-1.628906,-0.060547
20549.000000,-23.822323,13.724546,6.093821,1.657227,0.279297,-2.728027
20549.000000,-23.822323,13.724546,6.093821,1.657227,0.279297,-2.728027
20550.000000,-23.822323,13.724546,6.093821,1.657227,0.279297,-2.728027
20551.000000,-8.212566,18.114790,3.288942,-2.829102,0.171875,-0.187988
20552.000000,-24.797932,32.017227,5.362113,2.299316,-0.019043,-1.357422
20553.000000,-26.627201,22.626984,2.984064,3.206055,0.074219,-1.977051
20554.000000,-26.627201,22.626984,2.984064,3.206055,0.074219,-1.977051
20555.000000,-9.005249,10.492839,0.240162,-3.021484,0.334473,-0.444824
20556.000000,-9.554029,10.126986,4.752357,-2.718262,-0.480469,-1.232910
20557.000000,-23.700371,31.773327,5.118211,1.694336,0.203613,-0.640625
