I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
35996.000000,-1.023139,-9.177716,-2.148919,-1.333496,-1.741699,-0.656738,-22.603428,-16.132776,2.922158,-0.282744,-0.203832,-1.097260
35997.000000,0.684179,-21.555767,0.838886,0.039551,-2.626465,-1.234863,-21.833115,-16.618605,2.859122,-0.280604,-0.213933,-1.102723
35998.000000,0.684179,-21.555767,0.838886,0.039551,-2.626465,-1.234863,-19.039667,-17.128386,2.462180,-0.281505,-0.240669,-1.109947
35999.000000,-36.815823,-20.092352,10.107179,-0.211426,1.654785,-1.476563,-16.296274,-17.483253,2.142437,-0.282973,-0.274422,-1.118057
36000.000000,-7.181675,-25.519180,1.326691,0.597656,-1.874023,-0.395508,-15.023017,-17.744743,2.232679,-0.281686,-0.304036,-1.123719
36001.000000,-31.937773,-10.092350,2.973032,-0.898438,1.281738,-1.623535,-14.772335,-18.066969,2.519766,-0.275745,-0.329446,-1.125905
36002.000000,-16.998747,-18.872839,3.521813,0.778320,-0.877930,0.178711,-15.192258,-18.379091,2.812229,-0.266909,-0.351223,-1.126059
36003.000000,-22.425577,-6.250887,1.936447,-1.193848,0.583984,-1.779785,-16.142925,-18.520718,3.101928,-0.257499,-0.368535,-1.125498
36004.000000,-19.376797,-28.567961,8.155959,1.788574,-0.613770,-0.511230,-17.428383,-18.366301,3.386647,-0.248224,-0.379982,-1.125910
36005.000000,-11.754847,-16.677717,3.704740,-1.831543,0.432617,-0.660645,-18.480818,-18.155237,3.661092,-0.239367,-0.385844,-1.124544
36007.000000,-30.901188,-14.177716,3.338886,2.149902,0.031250,-1.190430,-19.095345,-17.696934,3.803013,-0.229946,-0.386982,-1.119346
36007.000000,-30.901188,-14.177716,3.338886,2.149902,0.031250,-1.190430,-20.104836,-16.926680,3.865396,-0.209630,-0.383715,-1.112945
36008.000000,-8.218261,-16.555765,2.302301,-2.218262,-0.264160,0.035156,-21.006296,-16.454315,3.917587,-0.180456,-0.379118,-1.105407
36009.000000,-8.218261,-16.555765,2.302301,-2.218262,-0.264160,0.035156,-20.683325,-16.551235,3.901932,-0.160633,-0.374730,-1.094050
36010.000000,-29.559723,-19.726498,5.899862,1.370117,0.992676,-0.573242,-19.987617,-16.891777,3.864317,-0.151445,-0.366584,-1.078502
36011.000000,-0.047529,-16.189913,3.765716,-0.590820,-1.329590,-1.985840,-19.491495,-16.989195,3.806177,-0.143567,-0.354447,-1.063048
36012.000000,-31.023138,-19.787474,8.521813,0.679688,0.843262,-1.227539,-18.763540,-16.790762,3.802602,-0.135382,-0.342395,-1.051304
36013.000000,-0.413382,-19.360643,-0.380626,-0.202148,-1.893555,-1.791992,-17.822348,-16.714539,3.918490,-0.127385,-0.331959,-1.042988
36014.000000,-36.998749,-15.275277,3.887667,-0.059082,1.859375,-0.616211,-16.907164,-16.975616,3.965575,-0.119690,-0.322659,-1.037417
36015.000000,-0.352407,-13.567960,1.997423,0.606445,-1.447266,-1.265137,-16.450665,-17.349133,3.935226,-0.109342,-0.312291,-1.034817
36017.000000,-22.852406,-11.006985,3.704740,-1.118652,0.247559,-1.096680,-16.235971,-17.386627,3.884952,-0.096880,-0.302310,-1.035847
36017.000000,-22.852406,-11.006985,3.704740,-1.118652,0.247559,-1.096680,-16.444057,-16.714739,3.735148,-0.090826,-0.291715,-1.039011
36018.000000,-9.742651,-31.738693,4.009618,1.282715,-1.267090,-1.006836,-16.963791,-15.986097,3.498156,-0.089903,-0.280925,-1.041424
36019.000000,-9.742651,-31.738693,4.009618,1.282715,-1.267090,-1.006836,-16.793974,-16.407299,3.332287,-0.084473,-0.275644,-1.041769
36020.000000,-12.425578,-18.324059,1.570593,1.090820,-0.208008,-1.757813,-15.850222,-17.824379,3.297161,-0.071294,-0.276289,-1.042184
36021.000000,-12.425578,-18.324059,1.570593,1.090820,-0.208008,-1.757813,-14.733224,-19.278315,3.261078,-0.049946,-0.279599,-1.047637
