I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
0.002193,0.028450,0.021158,-0.003227,0.005512,-0.998308,0.997501,0.999922,1.000000,9.999220,-0.000302,-0.000158,0.000000,-0.179516,-0.322435,-0.570562
-0.000969,0.022391,0.009503,-0.003235,0.005481,-0.998258,0.998489,0.999971,1.000000,9.999715,-0.000302,-0.000158,0.000000,-0.179419,-0.322532,-0.570528
-0.011896,0.016751,0.001550,-0.003242,0.005457,-0.998215,0.998489,0.999971,1.000000,9.999715,-0.000302,-0.000158,0.000000,-0.179321,-0.322629,-0.570494
-0.028906,0.019855,-0.000945,-0.003246,0.005439,-0.998181,0.998489,0.999971,1.000000,9.999715,-0.000302,-0.000158,0.000000,-0.179224,-0.322725,-0.570460
-0.046623,0.032999,0.000086,-0.003250,0.005425,-0.998157,1.000479,0.999997,1.000000,9.999971,-0.000302,-0.000158,0.000000,-0.179132,-0.322754,-0.570548
-0.058480,0.050166,-0.000624,-0.003254,0.005415,-0.998148,1.000479,0.999997,1.000000,9.999971,-0.000302,-0.000158,0.000000,-0.179039,-0.322783,-0.570635
-0.060490,0.065812,-0.005644,-0.003257,0.005407,-0.998155,0.999986,1.000000,1.000000,10.000000,-0.000302,-0.000158,0.000000,-0.178942,-0.322869,-0.570540
-0.054095,0.079332,-0.009657,-0.003259,0.005404,-0.998179,0.999986,1.000000,1.000000,10.000000,-0.000302,-0.000158,0.000000,-0.178845,-0.322955,-0.570445
-0.043796,0.091302,-0.005242,-0.003261,0.005404,-0.998215,0.999477,0.999997,1.000000,9.999966,-0.000302,-0.000158,0.000000,-0.178866,-0.322704,-0.570350
-0.032101,0.099258,0.007706,-0.003264,0.005398,-0.998261,0.999477,0.999997,1.000000,9.999966,-0.000301,-0.000158,0.000000,-0.178887,-0.322453,-0.570256
-0.019343,0.101011,0.024009,-0.003271,0.005379,-0.998312,0.999477,0.999997,1.000000,9.999966,-0.000301,-0.000158,0.000000,-0.178909,-0.322202,-0.570161
-0.007357,0.098033,0.039871,-0.003283,0.005356,-0.998358,0.996516,0.999848,1.000000,9.998482,-0.000301,-0.000158,0.000000,-0.178992,-0.322465,-0.570186
-0.000080,0.092106,0.052080,-0.003300,0.005338,-0.998389,0.996516,0.999848,1.000000,9.998482,-0.000301,-0.000158,0.000000,-0.179076,-0.322728,-0.570212
-0.000522,0.082373,0.056269,-0.003321,0.005328,-0.998404,0.997989,0.999949,1.000000,9.999495,-0.000301,-0.000158,0.000000,-0.179220,-0.322712,-0.570238
-0.009184,0.066836,0.050551,-0.003342,0.005316,-0.998412,0.997989,0.999949,1.000000,9.999495,-0.000301,-0.000158,0.000000,-0.179363,-0.322696,-0.570265
-0.022855,0.046095,0.037874,-0.003361,0.005302,-0.998417,0.998482,0.999971,1.000000,9.999712,-0.000301,-0.000158,0.000000,-0.179214,-0.322497,-0.570231
