I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14
11.000000,127.000000,131.000000,140.000000,126.000000,129.000000,128.000000,15.000000,123.000000,127.000000,0.000000,0.000000,0.000000,1.491104,1.504003
21.000000,124.000000,124.000000,135.000000,121.000000,128.000000,127.000000,15.000000,124.000000,125.000000,0.000000,0.000000,-0.002157,1.499394,1.515576
31.000000,127.000000,131.000000,140.000000,126.000000,129.000000,128.000000,15.000000,123.000000,126.000000,0.000000,0.000000,0.001874,1.506804,1.529662
41.000000,126.000000,131.000000,142.000000,128.000000,127.000000,126.000000,15.000000,122.000000,126.000000,0.000000,0.000000,0.002580,1.514098,1.542989
51.000000,127.000000,128.000000,141.000000,127.000000,129.000000,128.000000,15.000000,125.000000,126.000000,0.000000,0.000000,0.007093,1.522138,1.556531
61.000000,126.000000,134.000000,142.000000,128.000000,127.000000,126.000000,15.000000,118.000000,126.000000,0.000000,0.000000,0.006133,1.531344,1.568944
71.000000,126.000000,131.000000,137.000000,123.000000,128.000000,127.000000,15.000000,124.000000,126.000000,0.000000,0.000000,0.004862,1.540721,1.581098
81.000000,126.000000,129.000000,142.000000,128.000000,123.000000,122.000000,15.000000,126.000000,126.000000,0.000000,0.000000,0.003740,1.548716,1.592818
91.000000,125.000000,127.000000,138.000000,124.000000,132.000000,131.000000,15.000000,121.000000,126.000000,0.000000,0.000000,-0.001144,1.555878,1.604989
101.000000,126.000000,129.000000,139.000000,125.000000,130.000000,129.000000,15.000000,123.000000,126.000000,0.000000,0.000000,-0.000660,1.561952,1.617869
111.000000,127.000000,135.000000,139.000000,125.000000,127.000000,126.000000,15.000000,123.000000,126.000000,0.000000,0.000000,0.002874,1.569251,1.631917
121.000000,124.000000,129.000000,141.000000,127.000000,126.000000,125.000000,15.000000,118.000000,126.000000,0.000000,0.000000,-0.003870,1.577840,1.646393
131.000000,124.000000,130.000000,138.000000,124.000000,127.000000,126.000000,15.000000,119.000000,125.000000,0.000000,0.000000,-0.008405,1.587021,1.660522
141.000000,125.000000,129.000000,140.000000,126.000000,126.000000,125.000000,15.000000,121.000000,125.000000,0.000000,0.000000,-0.008823,1.594944,1.673759
151.000000,127.000000,131.000000,140.000000,126.000000,128.000000,127.000000,15.000000,127.000000,126.000000,0.000000,0.000000,-0.003818,1.601534,1.686242
161.000000,124.000000,129.000000,141.000000,127.000000,125.000000,124.000000,15.000000,119.000000,125.000000,0.000000,0.000000,-0.006855,1.608224,1.697840
171.000000,126.000000,130.000000,140.000000,126.000000,127.000000,126.000000,15.000000,124.000000,125.000000,0.000000,0.000000,-0.005005,1.615533,1.708555
181.000000,127.000000,132.000000,140.000000,126.000000,124.000000,123.000000,15.000000,128.000000,126.000000,0.000000,0.000000,-0.001939,1.623249,1.719314
191.000000,125.000000,134.000000,135.000000,121.000000,125.000000,124.000000,15.000000,121.000000,125.000000,0.000000,0.000000,-0.002764,1.630456,1.730035
201.000000,124.000000,130.000000,138.000000,124.000000,125.000000,124.000000,15.000000,121.000000,125.000000,0.000000,0.000000,-0.004944,1.636076,1.739809
