I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
0.000000,114.000000,1.831533,5.340815,9.227518,9.349425,-1.308920,-0.005329,0.000000,0.435751,2.586896,0.606000
0.000000,115.000000,0.411125,172.553223,5.519792,6.094237,-0.853193,-0.008986,0.000000,0.887821,2.537174,0.608000
0.000000,115.000000,0.443021,-137.282272,8.282908,7.954608,-1.113645,-0.013758,0.000000,0.622597,2.556816,0.611000
-2.000000,119.000000,-12.474735,-247.415710,12.877231,12.138838,-1.699437,-0.021042,0.000000,0.029521,2.371028,0.611000
-10.000000,119.000000,-57.089447,-55.807785,15.885060,15.323127,-2.145238,-0.030236,0.000000,-0.425473,2.342327,0.614000
-11.000000,123.000000,-59.773415,77.183098,16.539101,16.356705,-2.289939,-0.040050,0.000000,-0.579988,2.088930,0.614000
-12.000000,137.000000,-62.307907,-48.166828,20.019314,19.469923,-2.725789,-0.051732,0.000000,-1.027521,1.877268,0.617000
-12.000000,136.000000,-61.148800,-128.445496,24.385431,23.648106,-3.310735,-0.065921,0.000000,-1.626655,1.638856,0.619000
-10.000000,138.000000,-48.273445,-47.787151,26.024025,25.667637,-3.593469,-0.081321,0.000000,-1.924790,1.352522,0.620000
-17.000000,134.000000,-91.345207,-77.090492,31.057590,30.249098,-4.234874,-0.099471,0.000000,-2.584344,1.069018,0.624000
-11.000000,130.000000,-56.648804,-102.694099,33.763729,33.236534,-4.653115,-0.119412,0.000000,-3.022527,0.821511,0.626000
-9.000000,127.000000,-40.837799,60.058872,32.563503,32.664459,-4.573024,-0.139011,0.000000,-2.962035,0.521297,0.629000
-14.000000,120.000000,-70.372818,117.143944,32.724655,32.715626,-4.580188,-0.158641,0.000000,-2.988828,0.360579,0.631000
-16.000000,117.000000,-81.051254,120.726784,33.346100,33.251530,-4.655214,-0.178591,0.000000,-3.083806,0.240646,0.632000
-11.000000,110.000000,-49.229652,117.331627,32.004383,32.191456,-4.506804,-0.197906,0.000000,-2.954710,0.084619,0.634000
-10.000000,103.000000,-43.510300,45.332848,32.018330,32.044300,-4.486202,-0.217133,0.000000,-2.953335,-0.118195,0.637000
-13.000000,94.000000,-62.629658,-263.579254,38.834709,37.816147,-5.294261,-0.239823,0.000000,-3.784083,-0.745348,0.639000
-13.000000,86.000000,-53.681416,-75.554565,40.188492,39.832642,-5.576570,-0.263722,0.000000,-4.090292,-1.273117,0.639000
-16.000000,85.000000,-78.519630,184.063568,38.693466,38.864342,-5.441008,-0.287041,0.000000,-3.978049,-1.456899,0.642000
-10.000000,81.000000,-45.726742,33.600174,38.644402,38.677391,-5.414835,-0.310247,0.000000,-3.975082,-1.581675,0.645000
-6.000000,80.000000,-26.113140,164.613419,34.828804,35.406094,-4.956853,-0.331491,0.000000,-3.538344,-1.471622,0.648000
-10.000000,73.000000,-59.430950,151.924835,33.991398,34.203602,-4.788504,-0.352013,0.000000,-3.390517,-1.355339,0.649000
-10.000000,64.000000,-58.233749,-43.998863,36.472591,36.132244,-5.058514,-0.373692,0.000000,-3.682207,-1.479087,0.650000
-9.000000,63.000000,-54.986347,66.249855,36.017994,36.035133,-5.044919,-0.395313,0.000000,-3.690232,-1.445256,0.651000
-4.000000,57.000000,-23.719868,-130.013458,37.740471,37.484669,-5.247854,-0.417804,0.000000,-3.915658,-1.548775,0.652000
-12.000000,55.000000,-74.021027,-63.389980,40.868580,40.360992,-5.650539,-0.442021,0.000000,-4.342560,-1.673586,0.652000
-7.000000,48.000000,-36.148159,18.418037,39.761963,39.851818,-5.579255,-0.465932,0.000000,-4.295187,-1.706383,0.653000
-19.000000,51.000000,-112.454628,6.601076,44.083885,43.449074,-6.082870,-0.492001,0.000000,-4.824872,-1.849522,0.652000
