I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
76302.000000,371.400024,128.903885,242.496140,0.000000,0.030486,0.000000,-0.030486,-12.194359,-0.021340,0.000000,-12.215699,3137.784180,128.993637,1.000000,15.000000
76312.000000,371.400024,127.587265,243.812759,0.000000,0.008202,-0.131662,-0.008202,-3.280879,-0.027082,0.070242,-3.237719,3146.762207,127.492889,1.000000,15.000000
76322.000000,371.400024,125.491341,245.908691,0.195050,-0.017919,-0.209592,0.212969,85.187614,-0.015617,0.355202,85.527199,3235.527100,125.364578,1.000000,15.000000
76332.000000,372.600006,126.583221,246.016785,0.195050,-0.002677,0.109188,0.197727,79.090683,0.122792,0.793708,80.007187,3230.007080,126.657196,1.000000,15.000000
76342.000000,372.600006,126.024094,246.575912,0.196854,-0.026058,-0.055914,0.222911,89.164574,0.278830,1.239319,90.682724,3240.682617,125.993111,1.000000,15.000000
76352.000000,372.600006,127.398773,245.201233,0.196854,0.000461,0.137468,0.196393,78.557266,0.416305,1.644271,80.617844,3230.617920,127.493950,1.000000,15.000000
76362.000000,372.600006,128.435059,244.164948,0.196275,0.031362,0.103629,0.164913,65.965347,0.531744,1.803794,68.300888,3218.300781,128.495102,1.000000,15.000000
76372.000000,372.600006,126.709702,245.890305,0.196275,-0.001817,-0.172535,0.198092,79.236832,0.670409,1.760725,81.667969,3231.667969,126.591034,1.000000,15.000000
76382.000000,372.600006,129.811096,242.788910,0.196874,0.060794,0.310139,0.136080,54.432137,0.765665,1.625657,56.823456,3206.823486,129.992661,1.000000,15.000000
76392.000000,372.600006,129.002487,243.597519,0.196874,0.037234,-0.080861,0.159640,63.856022,0.877413,1.279201,66.012634,3216.012695,128.920044,1.000000,15.000000
76402.000000,372.600006,128.088211,244.511795,0.194996,0.009727,-0.091428,0.185269,74.107437,1.007101,1.000351,76.114891,3226.114990,128.013336,1.000000,15.000000
76412.000000,372.600006,130.353180,242.246826,0.194996,0.057101,0.226496,0.137895,55.158188,1.103628,0.843965,57.105778,3207.105713,130.479340,1.000000,15.000000
76422.000000,372.600006,134.867798,237.732208,0.193668,0.122811,0.451462,0.070857,28.342899,1.153228,0.280238,29.776365,3179.776367,135.097321,1.000000,15.000000
76432.000000,372.600006,132.598038,240.001968,0.193668,0.070671,-0.226976,0.122997,49.198608,1.239326,-0.622994,49.814941,3199.814941,132.394455,1.000000,15.000000
76442.000000,372.600006,134.367188,238.232819,0.191415,0.104711,0.176916,0.086704,34.681656,1.300019,-1.409487,34.572189,3184.572266,134.429016,1.000000,15.000000
76452.000000,372.600006,136.551971,236.048035,0.191415,0.130232,0.218478,0.061183,24.473375,1.342847,-2.231986,23.584238,3173.584229,136.618179,1.000000,15.000000
76462.000000,372.600006,139.642654,232.957352,0.187571,0.149410,0.309068,0.038161,15.264278,1.369560,-3.279329,13.354509,3163.354492,139.746735,1.000000,15.000000
76472.000000,372.600006,141.374588,231.225418,0.187571,0.169817,0.173193,0.017754,7.101470,1.381987,-4.457421,4.026037,3154.026123,141.388428,1.000000,15.000000
76482.000000,372.600006,146.185501,226.414505,0.182703,0.238538,0.481091,-0.055835,-22.334045,1.342903,-5.884618,-26.875759,3123.124268,146.366669,1.000000,15.000000
76492.000000,374.400024,151.439407,222.960617,0.182703,0.305940,0.525391,-0.123238,-49.295033,1.256636,-7.829053,-55.867447,3094.132568,151.606354,1.000000,15.000000
76502.000000,372.600006,156.705048,215.894958,0.174556,0.361592,0.526564,-0.187036,-74.814316,1.125711,-10.328983,-84.017593,3065.982422,156.833450,1.000000,15.000000
76512.000000,374.400024,156.470123,217.929901,0.174556,0.315609,-0.023492,-0.141052,-56.420929,1.026975,-12.909439,-68.303391,3081.696533,156.246002,1.000000,15.000000
76522.000000,374.400024,164.148041,210.251984,0.168458,0.403577,0.767791,-0.235119,-94.047699,0.862391,-15.289824,-108.475136,3041.524902,164.411224,1.000000,15.000000
76532.000000,372.600006,172.194794,200.405212,0.168458,0.480862,0.804676,-0.312404,-124.961731,0.643708,-17.967390,-142.285416,3007.714600,172.428238,1.000000,15.000000
76542.000000,372.600006,174.479874,198.120132,0.151863,0.439219,0.228508,-0.287356,-114.942314,0.461896,-20.872837,-135.353256,3014.646729,174.333008,1.000000,15.000000
76552.000000,374.400024,178.451477,195.948547,0.151863,0.460584,0.397159,-0.308721,-123.488403,0.245791,-23.378157,-146.620773,3003.379150,178.427002,1.000000,15.000000
76562.000000,374.400024,182.755157,191.644867,0.145232,0.456237,0.430369,-0.311006,-124.402237,0.028087,-25.452501,-149.826660,3000.173340,182.737579,1.000000,15.000000
76572.000000,374.400024,190.083466,184.316559,0.145232,0.488397,0.732830,-0.343166,-137.266266,-0.212129,-27.281408,-164.759796,2985.240234,190.244446,1.000000,15.000000
76582.000000,374.400024,193.478561,180.921463,0.132795,0.466984,0.339510,-0.334189,-133.675629,-0.446061,-28.860352,-162.982040,2987.018066,193.391907,1.000000,15.000000
76592.000000,374.400024,198.215424,176.184601,0.132795,0.474251,0.473687,-0.341456,-136.582520,-0.685081,-30.074383,-167.341980,2982.657959,198.219330,1.000000,15.000000
76602.000000,374.400024,203.652710,170.747314,0.123370,0.494425,0.543728,-0.371055,-148.422058,-0.944819,-31.008278,-180.375153,2969.624756,203.693146,1.000000,15.000000
76612.000000,374.400024,211.977676,162.422348,0.123370,0.549225,0.832497,-0.425855,-170.342178,-1.242918,-31.967630,-203.552734,2946.447266,212.174438,1.000000,15.000000
76622.000000,374.400024,210.561386,163.838638,0.109583,0.432609,-0.141630,-0.323026,-129.210449,-1.469036,-32.662266,-163.341751,2986.658203,210.159302,1.000000,15.000000
76632.000000,374.400024,220.316940,154.083084,0.109583,0.530156,0.975555,-0.420573,-168.229248,-1.763438,-32.820244,-202.812927,2947.187012,220.632935,1.000000,15.000000
76642.000000,374.400024,226.929779,147.470245,0.100290,0.558755,0.661284,-0.458466,-183.386200,-2.084363,-33.091599,-218.562164,2931.437744,227.006104,1.000000,15.000000
76652.000000,374.400024,228.345413,146.054611,0.100290,0.469386,0.141564,-0.369096,-147.638535,-2.342731,-33.330803,-183.312073,2966.687988,228.102600,1.000000,15.000000
76662.000000,374.400024,234.969681,139.430344,0.091715,0.529078,0.662427,-0.437363,-174.945145,-2.648885,-33.048672,-210.642700,2939.357422,235.082031,1.000000,15.000000
76672.000000,374.400024,241.036072,133.363953,0.091715,0.534669,0.606640,-0.442954,-177.181732,-2.958953,-32.701202,-212.841888,2937.158203,241.081207,1.000000,15.000000
76682.000000,374.400024,244.187897,130.212128,0.079911,0.482142,0.315182,-0.402231,-160.892456,-3.240515,-32.243313,-196.376282,2953.623779,244.060150,1.000000,15.000000
76692.000000,374.400024,248.567123,125.832901,0.079911,0.483260,0.437923,-0.403349,-161.339447,-3.522859,-31.322102,-196.184402,2953.815674,248.541382,1.000000,15.000000
76702.000000,374.400024,256.069061,118.330963,0.072519,0.527176,0.750193,-0.454657,-181.862823,-3.841119,-30.283825,-215.987778,2934.012207,256.224426,1.000000,15.000000
76712.000000,374.400024,262.432556,111.967468,0.072519,0.542751,0.636351,-0.470232,-188.092758,-4.170281,-29.497375,-221.760422,2928.239502,262.496094,1.000000,15.000000
76722.000000,374.400024,268.500275,105.899750,0.060304,0.566755,0.606772,-0.506451,-202.580353,-4.524797,-28.923048,-236.028198,2913.971680,268.537537,1.000000,15.000000
76732.000000,374.400024,271.644379,102.755646,0.060304,0.536783,0.314409,-0.476478,-190.591385,-4.858332,-28.334984,-223.784698,2926.215332,271.497498,1.000000,15.000000
