I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
58704.000000,537.574768,557.411438,547.493103,0.200140,0.010000,-0.114884,0.041349,-0.993601,-7.026851,-2.079449,10.027684
58714.000000,536.557800,555.401794,545.979797,-0.151330,0.010000,-0.094172,0.045962,-0.934851,-7.050452,-2.073197,10.018017
58724.000000,533.581726,557.384644,545.483154,-0.049663,0.010000,-0.065869,0.044429,-0.884800,-7.049499,-2.078351,10.020480
58734.000000,531.642151,558.422607,545.032349,-0.045079,0.010000,-0.110771,0.025775,-0.935054,-7.007441,-2.090690,10.035678
58744.000000,537.589539,557.426758,547.508179,0.247580,0.010000,-0.151985,0.020884,-1.013658,-7.007367,-2.102088,10.047504
58754.000000,538.528564,557.372131,547.950317,0.044215,0.010000,-0.125010,0.031745,-0.989195,-7.053799,-2.099228,10.044909
58764.000000,533.558105,557.359924,545.458984,-0.249130,0.010000,-0.116074,0.039626,-0.974209,-7.059407,-2.114210,10.051438
58774.000000,534.526184,554.360168,544.443176,-0.101584,0.010000,-0.118602,0.044346,-0.974569,-7.074259,-2.132996,10.053822
58784.000000,538.480957,556.331116,547.406006,0.296283,0.010000,-0.118226,0.044569,-0.983624,-7.078586,-2.152776,10.061806
58794.000000,532.513184,558.296021,545.404602,-0.200140,0.010000,-0.113962,0.035331,-0.991545,-7.089175,-2.168336,10.068034
58804.000000,537.452820,561.251526,549.352173,0.394762,0.010000,-0.139990,0.041032,-0.976454,-7.101955,-2.178709,10.069942
58814.000000,536.432251,559.238098,547.835205,-0.151700,0.010000,-0.131791,0.037105,-0.980426,-7.122587,-2.192329,10.076911
58824.000000,535.415894,557.229126,546.322510,-0.151271,0.010000,-0.132397,0.028714,-0.987378,-7.139248,-2.207200,10.080146
58834.000000,537.390137,557.220032,547.305054,0.098258,0.010000,-0.140349,0.032093,-1.007187,-7.145266,-2.211831,10.081695
58844.000000,536.376648,563.145935,549.761292,0.245619,0.010000,-0.135548,0.040747,-1.004386,-7.161633,-2.219550,10.083979
58854.000000,536.348572,556.176575,546.262573,-0.349867,0.010000,-0.133990,0.052210,-0.970361,-7.186169,-2.217250,10.081530
58864.000000,535.343079,562.110229,548.726685,0.246412,0.010000,-0.131517,0.055378,-0.969284,-7.195601,-2.225445,10.082896
58874.000000,535.339722,559.132507,547.236084,-0.149065,0.010000,-0.134751,0.053143,-0.977985,-7.197090,-2.229937,10.086697
58884.000000,536.325317,557.143799,546.734558,-0.050151,0.010000,-0.124593,0.041723,-0.970962,-7.204487,-2.221679,10.088072
58894.000000,535.349731,557.160278,546.255005,-0.047952,0.010000,-0.158495,0.028984,-1.002346,-7.193233,-2.214773,10.090034
58904.000000,533.316650,552.151306,542.734009,-0.352102,0.010000,-0.143206,0.049572,-0.981167,-7.243031,-2.191147,10.073694
58914.000000,537.284546,557.110596,547.197571,0.446355,0.010000,-0.145353,0.043150,-0.996662,-7.242621,-2.184974,10.076553
58924.000000,538.268311,561.067871,549.668091,0.247055,0.010000,-0.141945,0.034986,-0.998823,-7.252858,-2.171958,10.074530
58934.000000,535.335327,560.119446,547.727417,-0.194067,0.010000,-0.175323,0.015385,-1.050812,-7.219585,-2.167834,10.081491
58944.000000,537.305542,555.149597,546.227539,-0.149989,0.010000,-0.164218,0.019084,-1.042271,-7.234982,-2.151698,10.080348
58954.000000,539.280273,557.124084,548.202148,0.197458,0.010000,-0.129268,0.019802,-0.996847,-7.246118,-2.136368,10.079327
58964.000000,534.339600,556.149353,545.244507,-0.295764,0.010000,-0.151238,0.016772,-0.960025,-7.238832,-2.115201,10.068895
58974.000000,537.289246,558.106750,547.697998,0.245351,0.010000,-0.131970,0.033300,-0.924124,-7.261225,-2.108467,10.066279
58984.000000,540.263367,559.098206,549.680786,0.198281,0.010000,-0.115340,0.036378,-0.930757,-7.261557,-2.106914,10.069694
58994.000000,534.305054,555.122070,544.713562,-0.496721,0.010000,-0.096666,0.030988,-0.913384,-7.273051,-2.097523,10.059184
59004.000000,537.289429,555.132996,546.211182,0.149757,0.010000,-0.101003,0.024964,-0.938844,-7.264757,-2.095735,10.055888
59014.000000,531.353394,559.110596,545.231995,-0.097919,0.010000,-0.166959,0.012001,-1.017913,-7.255638,-2.092757,10.058752
59024.000000,537.272766,557.098328,547.185547,0.195360,0.010000,-0.175901,0.014485,-1.029210,-7.280903,-2.087994,10.062451
59034.000000,533.289307,554.105408,543.697388,-0.348818,0.010000,-0.149123,0.019436,-1.022443,-7.296957,-2.085814,10.069711
59044.000000,537.244263,560.042419,548.643311,0.494593,0.010000,-0.094918,0.033996,-0.991384,-7.304678,-2.087841,10.075016
59054.000000,537.246094,558.061890,547.653992,-0.098932,0.010000,-0.038705,0.049258,-0.924606,-7.301703,-2.093003,10.080266
59064.000000,536.331055,557.149902,546.740479,-0.091350,0.010000,-0.082069,0.027185,-0.973127,-7.232205,-2.112568,10.103233
59074.000000,537.329529,558.148621,547.739075,0.099856,0.010000,-0.161424,0.023292,-1.076190,-7.224177,-2.119627,10.110168
59084.000000,539.290344,555.151855,547.221069,-0.051796,0.010000,-0.168045,0.027481,-1.067923,-7.243532,-2.116321,10.113029
59094.000000,536.283997,557.101013,546.692505,-0.052857,0.010000,-0.092397,0.045472,-0.986773,-7.270799,-2.115768,10.111419
59104.000000,538.276428,556.119812,547.198120,0.050557,0.010000,-0.088464,0.045010,-0.965559,-7.260724,-2.122238,10.112305
59114.000000,534.328247,561.094238,547.711243,0.051314,0.010000,-0.146086,0.027790,-0.999214,-7.246253,-2.122575,10.114822
59124.000000,536.295959,558.104736,547.200317,-0.051093,0.010000,-0.116688,0.033405,-0.990488,-7.259507,-2.120055,10.120112
59134.000000,537.334656,561.128113,549.231384,0.203109,0.010000,-0.181403,0.011413,-1.062096,-7.219299,-2.121540,10.137588
59144.000000,539.279907,557.123718,548.201782,-0.102961,0.010000,-0.179087,0.024490,-1.048811,-7.258148,-2.095913,10.122507
59154.000000,538.265564,559.082458,548.674011,0.047225,0.010000,-0.138944,0.045780,-0.964049,-7.281234,-2.082418,10.113268
59164.000000,539.263733,555.124390,547.194092,-0.147992,0.010000,-0.121838,0.052242,-0.952910,-7.274800,-2.084921,10.113747
59174.000000,535.314453,562.080139,548.697266,0.150317,0.010000,-0.125272,0.042624,-1.032092,-7.257100,-2.100164,10.123867
59184.000000,541.269714,555.148499,548.209106,-0.048816,0.010000,-0.125590,0.035672,-1.040486,-7.251379,-2.098728,10.117220
59194.000000,535.282166,559.072449,547.177307,-0.103182,0.010000,-0.091363,0.053111,-0.946560,-7.288810,-2.083897,10.085791
59204.000000,536.280273,554.123291,545.201782,-0.197554,0.010000,-0.096504,0.046661,-0.950531,-7.281929,-2.087905,10.073955
59214.000000,535.278137,563.033264,549.155701,0.395393,0.010000,-0.122615,0.049119,-0.951705,-7.293166,-2.080529,10.049368
59224.000000,537.215820,555.057007,546.136414,-0.301927,0.010000,-0.055665,0.071382,-0.891955,-7.330543,-2.079924,10.032720
59234.000000,533.325134,563.064514,548.194824,0.205839,0.010000,-0.076127,0.046497,-0.939367,-7.261554,-2.103911,10.047884
59244.000000,536.332947,559.134521,547.733765,-0.046104,0.010000,-0.106135,0.034516,-0.977528,-7.234227,-2.100221,10.044105
59254.000000,536.331848,561.116150,548.723999,0.099021,0.010000,-0.131220,0.045215,-0.983924,-7.239335,-2.085674,10.024397
59264.000000,535.352966,555.180847,545.266907,-0.345707,0.010000,-0.138944,0.043202,-0.995280,-7.229470,-2.083308,10.023575
59274.000000,536.387817,556.217346,546.302612,0.103569,0.010000,-0.134507,0.032804,-1.034888,-7.189547,-2.094430,10.042451
59284.000000,534.428589,556.242004,545.335327,-0.096726,0.010000,-0.131181,0.025296,-1.048568,-7.171515,-2.086942,10.043414
59294.000000,542.389221,558.254333,550.321777,0.498646,0.010000,-0.099778,0.011306,-0.965811,-7.153833,-2.065381,10.046099
59304.000000,534.542419,555.368713,544.955566,-0.536621,0.010000,-0.154113,-0.002260,-1.051602,-7.078169,-2.072405,10.063960
59314.000000,535.527710,558.337219,546.932495,0.197691,0.010000,-0.175040,0.010176,-1.117133,-7.088147,-2.057132,10.051217
59324.000000,535.523010,562.299133,548.911072,0.197858,0.010000,-0.161323,0.024693,-1.084422,-7.093057,-2.054210,10.050983
59334.000000,538.485474,557.327515,547.906494,-0.100458,0.010000,-0.105943,0.040251,-1.002548,-7.102179,-2.059917,10.056428
59344.000000,536.514343,548.414856,542.464600,-0.544190,0.010000,-0.096396,0.044854,-0.981941,-7.087416,-2.074721,10.057385
59354.000000,534.526733,560.310974,547.418823,0.495422,0.010000,-0.103601,0.042517,-1.007152,-7.087255,-2.087476,10.051472
59364.000000,538.495483,556.346130,547.420776,0.000197,0.010000,-0.115212,0.033280,-1.009276,-7.080474,-2.104945,10.050331
59374.000000,537.505798,559.323425,548.414612,0.099385,0.010000,-0.136751,0.027909,-1.028466,-7.074068,-2.120526,10.043329
59384.000000,536.457397,558.272705,547.365051,-0.104958,0.010000,-0.109177,0.046463,-0.998041,-7.119553,-2.131175,10.027846
59394.000000,539.422485,559.254211,549.338379,0.197333,0.010000,-0.108818,0.047929,-0.968525,-7.123031,-2.147186,10.025077
59404.000000,536.434692,562.215332,549.325012,-0.001335,0.010000,-0.114387,0.042709,-0.967484,-7.130101,-2.160799,10.021291
59414.000000,535.426331,557.240051,546.333191,-0.299185,0.010000,-0.150488,0.028112,-1.018029,-7.142412,-2.167415,10.020167
59424.000000,543.329102,557.209778,550.269409,0.393623,0.010000,-0.151891,0.031111,-1.027944,-7.167881,-2.165226,10.016891
59434.000000,534.383911,557.186890,545.785400,-0.448400,0.010000,-0.161338,0.033571,-1.048360,-7.187077,-2.163492,10.014279
59444.000000,535.350586,555.178345,545.264465,-0.052094,0.010000,-0.151992,0.036117,-1.032656,-7.208483,-2.162001,10.015956
59454.000000,535.324951,561.099915,548.212402,0.294793,0.010000,-0.128802,0.042008,-0.998323,-7.232220,-2.154817,10.009398
59464.000000,534.328369,559.111755,546.720093,-0.149226,0.010000,-0.135444,0.043099,-0.987271,-7.236113,-2.156689,10.013024
59474.000000,535.308289,561.082336,548.195313,0.147521,0.010000,-0.147628,0.035145,-1.005728,-7.246881,-2.152957,10.011550
