I0,I1,I2,I3,I4,I5,I6,I7,AB_I0_filt_mm,AB_I1_filt_mm,AB_h_pred_mm,AB_q0,AB_q1,AB_z_meas_mm,AB_fused_h_mm,AB_fused_vz_mps,AB_valid,AB_hold_cnt,AB_predict_only,AB_hard_relock
8192.000000,8192.000000,1300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8192.000000,8192.000000,1300.000000,0.000000,0.000000,1300.000000,1300.000000,0.000000,0,0,0,0
107.907265,110.904686,109.405975,0.000000,0.000000,0.000000,0.000000,0.000000,107.907265,110.904686,1300.000000,1.000000,1.000000,109.405975,109.405975,0.000000,1,0,0,0
106.881767,111.876236,109.378998,0.000000,0.000000,0.000000,0.000000,0.000000,107.907265,111.876236,109.405975,0.987511,0.979414,109.883582,109.491945,0.001433,1,0,0,0
106.866066,116.853546,111.859802,0.000000,0.000000,0.000000,0.000000,0.000000,106.881767,111.876236,109.506273,0.978129,0.980250,109.381706,109.483851,0.001059,1,0,0,0
107.855103,112.848396,110.351746,0.000000,0.000000,0.000000,0.000000,0.000000,106.881767,112.848396,109.494442,0.978228,0.972050,109.855632,109.559456,0.002143,1,0,0,0
106.850594,115.838036,111.344315,0.000000,0.000000,0.000000,0.000000,0.000000,106.866066,115.838036,109.580883,0.977377,0.947857,111.283268,109.887312,0.007250,1,0,0,0
103.851524,113.837250,108.844391,0.000000,0.000000,0.000000,0.000000,0.000000,106.850594,113.837250,109.959811,0.974090,0.967688,110.332405,110.026878,0.008368,1,0,0,0
108.843346,117.830414,113.336884,0.000000,0.000000,0.000000,0.000000,0.000000,106.850594,115.838036,110.110554,0.972834,0.952271,111.296316,110.323991,0.011925,1,0,0,0
110.839630,114.833847,112.836739,0.000000,0.000000,0.000000,0.000000,0.000000,108.843346,114.833847,110.443240,0.986668,0.963412,111.802876,110.687975,0.016004,1,0,0,0
105.846092,118.827217,112.336655,0.000000,0.000000,0.000000,0.000000,0.000000,108.843346,117.830414,110.848013,0.983294,0.941813,113.240056,111.278581,0.023180,1,0,0,0
108.841873,118.827362,113.834618,0.000000,0.000000,0.000000,0.000000,0.000000,108.841873,118.827217,111.510380,0.977762,0.939026,113.733649,111.910569,0.029850,1,0,0,0
109.840683,117.829094,113.834885,0.000000,0.000000,0.000000,0.000000,0.000000,108.841873,118.827217,112.209066,0.971940,0.944849,113.763980,112.488951,0.034514,1,0,0,0
