t_ms,tof1_mm,tof2_mm,tof3_mm,tof4_mm,roll_deg,pitch_deg,acc_z_dyn_mps2,log_vz_mps,log_height_mm,opt_height_mm,opt_vz_mps,ref_mm,valid_cnt,accept_cnt,flags
9001,113.054352,120.204231,108.695679,118.828201,0.127255,-1.818789,-0.042533,-0.002454,115.874725,115.195616,0.000000,115.941277,4,4,
9010,113.054352,120.204231,108.679840,121.845688,0.126327,-1.835197,-0.241874,-0.002235,115.873177,115.350469,0.000492,116.629291,4,4,
9020,111.034241,121.194519,104.663544,118.828201,0.105469,-1.840134,-0.351920,-0.005795,115.477066,115.076530,-0.000305,114.931221,4,4,
9030,111.034241,121.194519,104.663544,121.845688,0.082492,-1.837119,-0.324916,-0.007087,115.283485,115.003903,-0.000504,116.114380,4,4,
9040,111.941414,121.137291,104.746094,122.912262,0.067231,-1.839415,-0.142196,-0.007032,115.218307,115.045383,-0.000371,116.539353,4,4,
9050,112.966209,119.126251,105.725731,123.936813,0.059425,-1.838912,-0.074951,-0.006418,115.212532,115.127005,-0.000127,116.046230,4,4,
9060,111.941414,119.127594,107.755005,123.936813,0.058150,-1.841908,-0.018282,-0.005402,115.255035,115.238015,0.000194,115.534504,4,4,
9070,108.926544,119.127594,107.755005,123.925682,0.069650,-1.832373,-0.271506,-0.005953,115.143135,115.174558,0.000007,114.027069,4,4,
9080,108.926544,120.136330,106.749947,123.878227,0.086555,-1.811504,-0.461334,-0.006275,115.049789,115.122724,-0.000142,114.531437,4,4,
9090,112.003555,121.133301,106.749947,123.925682,0.068380,-1.762849,-0.927367,-0.004411,115.182732,115.291275,0.000344,116.568428,4,4,
9100,113.034775,121.999672,108.896652,125.851936,0.064749,-1.715384,0.533452,-0.000055,115.595985,115.724961,0.001573,117.517224,4,4,
9110,113.077957,122.999939,110.894562,125.851936,0.062281,-1.719433,1.185025,0.004873,116.112930,116.233698,0.002982,118.038948,4,4,
9120,113.077957,121.999672,110.894562,125.814285,0.039917,-1.728786,0.370204,0.008235,116.514656,116.599336,0.003941,117.538815,4,4,
9130,113.077957,122.999939,110.894562,121.914391,0.030660,-1.767200,0.265383,0.009435,116.723030,116.757115,0.004280,117.496174,4,4,
9140,111.034584,124.030083,109.856331,121.914391,0.035268,-1.784974,-1.709720,0.009223,116.795135,116.781077,0.004226,116.474487,4,4,
9150,110.960197,125.003693,109.803741,122.867210,0.073052,-1.782162,-1.286770,0.009726,116.940186,116.889546,0.004415,116.913703,4,4,
9160,110.960197,125.113022,109.803741,123.770149,0.116033,-1.751629,-2.872871,0.010428,117.111061,117.028693,0.004686,117.365173,4,4,
9170,112.119102,125.113022,109.803741,123.770149,0.176498,-1.697508,-0.580834,0.011350,117.312187,117.201058,0.005045,117.944626,4,4,
9180,113.272789,124.144348,110.701027,124.621628,0.270657,-1.622656,-5.781410,0.012800,117.577919,117.439703,0.005583,118.708568,4,4,
9190,114.747757,124.144348,110.701027,126.163307,0.352187,-1.516290,-1.759100,0.015158,117.953583,117.787012,0.006415,119.446052,4,4,
9200,115.500313,125.206284,108.707344,126.163307,0.501270,-1.382931,2.432443,0.016742,118.271431,118.067973,0.007035,120.353298,4,4,
9210,116.124817,126.279282,108.643272,126.163307,0.616697,-1.260297,7.388869,0.018488,118.622147,118.381162,0.007729,121.144062,4,4,
9220,116.124817,126.279282,108.643272,128.487442,0.752420,-1.169675,3.160117,0.020611,119.029976,118.750935,0.008564,121.202049,4,4,
9230,118.438477,124.415459,110.518204,130.912048,0.844956,-1.050275,-1.246660,0.024113,119.603775,119.286667,0.009850,121.426968,4,4,
9240,121.018211,124.415459,112.518959,131.182953,0.980141,-0.964536,-2.604545,0.028826,120.339752,119.975602,0.011537,122.716835,4,4,
9250,121.314781,129.589478,114.414848,131.612335,1.089253,-0.889877,-2.038265,0.035744,121.354416,120.930538,0.013936,125.452130,4,4,
9260,121.559883,130.730255,116.336403,131.612335,1.229043,-0.836188,-2.437335,0.042138,122.383286,121.875999,0.016239,126.145069,4,4,
9270,124.964577,130.730255,118.185928,132.363602,1.334929,-0.844487,-0.884026,0.049448,123.572151,122.964881,0.018886,127.847416,4,4,
9280,124.964577,134.030304,123.012642,134.936630,1.382063,-0.910878,1.851779,0.059352,125.106575,124.387605,0.022412,129.497441,4,4,
9290,124.964577,134.889343,123.012642,135.850250,1.430253,-0.899242,3.303990,0.066920,126.494774,125.632612,0.025328,129.926960,4,4,
9300,125.036316,137.084747,123.788528,136.936798,1.490013,-0.832380,2.392991,0.073626,127.868065,126.851850,0.028088,130.986557,4,4,
9310,129.198196,139.981918,123.788528,138.682922,1.486001,-0.736033,-1.923412,0.081835,129.466293,128.299318,0.031421,133.940559,4,4,
9320,129.198196,143.945770,125.906693,144.426483,1.526131,-0.653898,-4.233556,0.092196,131.372574,130.046028,0.035514,136.571983,4,4,
9330,129.305450,143.945770,133.036942,144.579819,1.524698,-0.570916,-2.660470,0.102474,133.373703,131.873876,0.039722,138.491356,4,4,
9340,133.551544,148.849228,133.937515,145.191544,1.577514,-0.515016,-3.514916,0.113712,135.578430,133.901631,0.044381,139.564529,4,4,
9350,135.690613,148.849228,135.019592,148.334610,1.568165,-0.449177,-3.222646,0.123615,137.755310,135.877700,0.048759,142.012611,4,4,
9360,140.751831,148.861298,137.157532,155.128235,1.599320,-0.366282,-3.780645,0.135846,140.275711,138.199597,0.053999,144.806565,4,4,
9370,141.891479,153.723160,139.108887,155.986328,1.584975,-0.265225,-2.204019,0.147182,142.824432,140.531428,0.059119,147.807320,4,4,
9380,147.035950,156.587952,148.292099,155.986328,1.553413,-0.183193,-3.167049,0.162205,145.873703,143.371119,0.065543,152.139213,4,4,
9390,150.984436,158.450073,151.434418,159.893234,1.532516,-0.097429,-2.900929,0.177307,149.081482,146.344690,0.072167,154.942246,4,4,
9400,153.059113,162.321915,151.434418,160.784500,1.457713,-0.043331,-2.697423,0.189007,152.083038,149.095477,0.077964,156.921807,4,4,
9410,158.100937,165.029526,154.564240,160.839172,1.397535,-0.008387,-1.044686,0.200071,155.134872,151.900743,0.083752,159.470055,4,4,
9420,159.012177,165.154144,149.016998,161.892334,1.322194,0.012404,-1.931132,0.203393,157.484406,153.975643,0.087287,160.452256,4,4,
9430,163.899323,169.898071,161.070618,167.983627,1.293322,0.023118,-0.859461,0.215574,160.797272,157.110720,0.093750,165.941475,4,4,
9440,165.927444,172.844269,158.304749,175.014282,1.147663,0.031133,-1.567479,0.225355,163.980057,160.073833,0.099538,169.385856,4,4,
9450,169.700485,177.422974,161.070618,179.229462,1.016979,0.047745,-1.848712,0.236175,167.369690,163.250580,0.105770,173.561730,4,4,
9460,171.532928,181.626999,164.523026,179.411652,0.892725,0.055905,-2.823787,0.244898,170.647400,166.327103,0.111538,175.472290,4,4,
9470,176.363861,183.235382,166.827515,182.592407,0.804731,0.030871,-2.440655,0.253024,173.949600,169.438010,0.117240,179.478134,4,4,
9480,177.041672,185.137726,170.721497,186.929169,0.724837,-0.014995,-2.183255,0.259703,177.181107,172.505294,0.122654,181.089699,4,4,
9490,179.208786,196.039032,171.896118,188.754883,0.646538,-0.082949,-0.808413,0.267463,180.592987,175.763582,0.128459,183.981834,4,4,
9500,187.850204,196.074387,174.936951,195.280014,0.618403,-0.182022,-1.242923,0.277722,184.344818,179.440728,0.135295,191.565109,4,4,
9510,188.695694,198.083649,177.865570,197.124878,0.529499,-0.272034,-0.425599,0.284223,187.804596,182.744300,0.140868,192.910286,4,4,
9520,191.275635,198.110641,181.895859,200.702988,0.474385,-0.364543,0.760467,0.288845,191.132111,185.944817,0.145987,194.693138,4,4,
9530,192.462875,201.107361,184.871582,203.515747,0.350310,-0.433122,1.398653,0.291720,194.322433,189.036540,0.150650,196.785118,4,4,
9540,200.014679,204.006409,187.978165,205.966141,0.297065,-0.505805,0.933680,0.296303,197.720901,192.367133,0.155862,202.010544,4,4,
9550,201.851761,205.003250,189.972946,211.126602,0.240092,-0.598555,-1.004681,0.299003,200.967377,195.561594,0.160535,203.427505,4,4,
9560,201.851761,210.025345,197.948837,213.314377,0.240803,-0.704499,-0.058977,0.302479,204.322449,198.916198,0.165533,205.938553,4,4,
9570,203.659241,210.142899,200.822403,214.429642,0.264616,-0.838671,-0.049711,0.302297,207.328079,201.931909,0.169420,206.901070,4,4,
9580,207.284958,215.323700,202.627060,218.539948,0.292119,-0.976420,1.443263,0.303445,210.471619,205.106124,0.173649,211.304329,4,4,
9590,208.409775,216.512787,208.419983,224.646698,0.346083,-1.123592,1.263770,0.305177,213.687881,208.378271,0.178036,212.466385,4,4,
9600,212.184891,222.748093,212.160324,226.788025,0.406434,-1.271083,1.891690,0.308410,217.079193,211.837590,0.182833,217.466492,4,4,
9610,215.060577,225.991470,212.889481,230.721848,0.510461,-1.419338,2.114690,0.310248,220.356308,215.158439,0.187098,220.526024,4,4,
9620,219.091019,227.297333,217.146439,231.784546,0.640238,-1.584513,0.990041,0.310918,223.529053,218.401367,0.191017,223.194176,4,4,
9630,220.040604,232.018524,217.548492,236.756134,0.780516,-1.744705,1.455528,0.310793,226.625183,221.549226,0.194554,226.029564,4,4,
9640,224.038391,232.653442,223.268539,236.756134,0.955131,-1.895142,-0.142841,0.309704,229.618683,224.638340,0.197821,228.345916,4,4,
9650,227.093781,233.418030,223.727768,239.703461,1.133122,-2.000055,0.694296,0.306351,232.363663,227.491906,0.200322,230.255905,4,4,
9660,227.093781,238.769516,227.854691,242.162582,1.347193,-2.087931,-1.101160,0.303579,235.136169,230.387005,0.202870,233.312104,4,4,
9670,231.206955,238.769516,229.404633,242.411621,1.521103,-2.137113,0.451456,0.298354,237.623291,233.026294,0.204615,234.988236,4,4,
9680,233.565750,240.153488,231.064209,243.650192,1.715020,-2.164351,-0.468933,0.291624,239.900162,235.483679,0.205790,236.859619,4,4,
9690,238.789032,245.949112,234.445984,246.930328,1.862296,-2.189071,0.615631,0.289197,242.561600,238.354438,0.208112,242.369072,4,4,
9700,240.952927,246.725342,235.713882,249.429596,2.023641,-2.201471,0.180221,0.284935,245.006027,241.001048,0.209728,243.839135,4,4,
9710,243.149567,249.342163,238.163025,254.957123,2.153046,-2.199694,0.135640,0.282161,247.564178,243.761419,0.211623,246.245865,4,4,
9720,243.149567,250.171310,240.949677,254.957123,2.282361,-2.183518,0.297824,0.276241,249.764175,246.162562,0.212437,246.660438,4,4,
9730,242.688629,252.491638,242.755020,1300.000000,2.386892,-2.155577,0.659983,0.263519,251.190750,247.806742,0.211065,242.755020,3,3,
9740,242.688629,252.600555,242.755020,1300.000000,2.456565,-2.113136,2.761475,0.248283,252.226181,249.113321,0.208767,242.755020,3,3,
9750,247.826370,255.724304,243.616852,266.188812,2.537935,-2.087580,0.911173,0.245525,254.419388,251.605956,0.209924,251.775337,4,4,
9760,250.959656,256.642944,244.452087,266.188812,2.569113,-2.055519,2.163031,0.241066,256.406433,253.866023,0.210384,253.801300,4,4,
9770,250.959656,255.724304,248.371307,264.043701,2.607226,-2.055224,0.588691,0.233182,257.989258,255.716043,0.209659,253.341980,4,4,
9780,250.092255,258.727966,248.434906,264.043701,2.608608,-2.053602,1.755360,0.223620,259.317108,257.308809,0.208219,254.410110,4,4,
9790,250.092255,257.818542,250.367737,268.016418,2.627759,-2.069784,0.720070,0.213952,260.538177,258.805544,0.206546,254.093140,4,4,
9800,251.076309,258.835236,250.367737,271.026672,2.628733,-2.087334,1.990787,0.204502,261.685455,260.188812,0.204597,254.955773,4,4,
9810,253.094482,258.835236,251.236938,269.022858,2.644154,-2.106810,2.124221,0.193475,262.572662,261.372473,0.202134,255.964859,4,4,
9820,255.987091,258.873932,251.220520,269.093048,2.624448,-2.144840,2.214300,0.182391,263.343567,262.449129,0.199434,257.430512,4,4,
9830,256.061920,258.929047,251.236938,269.093048,2.622803,-2.191437,1.626688,0.170120,263.878998,263.294598,0.196152,257.495483,4,4,
9840,255.987091,263.877136,254.100754,269.093048,2.600588,-2.262699,1.268521,0.160875,264.609528,264.345250,0.193549,259.932114,4,4,
9850,253.805405,263.022095,254.100754,270.139038,2.587284,-2.342792,1.500127,0.149452,265.018799,265.061013,0.190064,258.561424,4,4,
9860,253.805405,263.960480,253.019226,268.459625,2.571418,-2.432837,1.325652,0.136673,265.171539,265.518997,0.185943,258.882943,4,4,
9870,257.535217,263.150574,251.835938,272.588593,2.546418,-2.533627,1.422725,0.126589,265.479462,266.143923,0.182415,260.342895,4,4,
9880,259.190674,263.150574,251.835938,270.722260,2.534150,-2.651049,0.304605,0.116040,265.637695,266.605300,0.178522,261.170624,4,4,
9890,259.190674,261.325989,251.835938,272.588593,2.504982,-2.774733,0.115416,0.105317,265.672241,266.938561,0.174373,260.258331,4,4,
