I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
30898.000000,110.338951,122.892143,105.906990,125.418854,0.153102,-2.414227,0.324856,-0.002908,116.553986
30908.000000,110.343971,125.863129,107.919769,125.418854,0.160162,-2.396155,0.131525,-0.001300,116.693794
30918.000000,109.371727,125.863129,107.919769,125.389389,0.171603,-2.385695,-0.044157,-0.000454,116.769554
30928.000000,110.437920,124.894783,107.900597,125.354820,0.182253,-2.394490,-0.122427,0.000269,116.840988
30938.000000,108.444374,123.870720,106.928024,124.349327,0.192987,-2.403579,-0.078068,-0.001478,116.660187
30948.000000,109.441048,122.935066,107.900597,124.349327,0.197028,-2.410436,-0.047321,-0.002390,116.549652
30958.000000,108.444374,122.935066,108.858284,124.349327,0.206787,-2.432000,-0.136925,-0.003102,116.451035
30968.000000,109.441048,122.972107,109.717453,126.387932,0.226239,-2.489265,-0.283152,-0.001804,116.556320
30978.000000,109.367355,123.060860,109.750633,126.387932,0.208198,-2.484075,-0.427006,-0.000702,116.653900
30988.000000,112.368736,123.060860,109.717453,124.408134,0.205921,-2.477908,0.062685,0.000710,116.795181
30998.000000,112.368736,125.004356,107.775581,122.433319,0.193710,-2.482824,-0.189923,0.000917,116.824036
31008.000000,113.343781,125.004356,106.852242,123.484840,0.151152,-2.472581,-0.296929,0.001639,116.909019
31018.000000,113.343781,125.858124,107.775581,123.484840,0.114707,-2.455230,0.652653,0.002989,117.067192
31028.000000,113.283424,125.858124,107.073372,129.515182,0.072777,-2.386682,0.542476,0.006428,117.458138
31038.000000,113.283424,125.858124,112.921997,129.515182,0.068448,-2.282251,-0.797603,0.011772,118.083481
31048.000000,113.283424,125.724319,107.073372,129.402298,0.099496,-2.158004,-1.954176,0.013063,118.336746
31058.000000,117.401588,124.523125,110.404556,125.228073,0.157895,-2.008417,-3.418122,0.014924,118.662819
31068.000000,111.603485,124.450195,110.404556,125.228073,0.190902,-1.848836,-4.293389,0.013254,118.636688
31078.000000,111.112999,124.450195,110.404556,125.477562,0.265100,-1.686563,-5.150562,0.011551,118.590431
31088.000000,111.112999,124.178764,112.547089,128.224976,0.321668,-1.531857,-3.389625,0.012100,118.763565
31098.000000,109.991096,127.261581,109.633202,128.224976,0.411082,-1.385991,-2.772008,0.011902,118.863747
31108.000000,112.248337,129.136002,111.796272,129.932510,0.490521,-1.266738,-1.663636,0.015209,119.330040
31118.000000,112.248337,129.136002,111.796272,132.682816,0.559988,-1.160996,-2.378075,0.018810,119.860191
31128.000000,118.473480,129.136002,116.832420,137.221451,0.637672,-1.048361,-3.223187,0.028663,121.082848
31138.000000,120.960144,134.054535,118.815536,137.461731,0.697965,-0.918451,-5.266171,0.040640,122.627113
