I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
66.000000,2.000000,-3.000000,2.000000,3.000000,2.220000,2.910000,0.000000,0.000000,0.000000
66.000000,2.000000,-3.000000,2.000000,3.000000,1.940000,3.060000,0.000000,0.000000,0.000000
66.000000,2.000000,-3.000000,2.000000,3.000000,1.940000,3.470000,0.000000,0.000000,0.000000
66.000000,2.000000,-4.000000,2.000000,5.000000,1.960000,4.720000,0.000000,0.000000,0.000000
67.000000,2.000000,-4.000000,2.000000,5.000000,1.980000,5.090000,0.000000,0.000000,0.000000
68.000000,1.000000,-4.000000,1.000000,5.000000,1.490000,5.310000,0.000000,0.000000,0.000000
71.000000,1.000000,-5.000000,1.000000,6.000000,1.370000,5.790000,0.000000,0.000000,0.000000
71.000000,1.000000,-6.000000,1.000000,7.000000,0.960000,6.570000,0.000000,0.000000,0.000000
71.000000,1.000000,-7.000000,1.000000,9.000000,0.950000,8.110000,0.000000,0.000000,0.000000
71.000000,1.000000,-7.000000,1.000000,9.000000,0.960000,8.960000,0.000000,0.000000,0.000000
70.000000,1.000000,-6.000000,1.000000,7.000000,0.980000,8.050000,0.000000,0.000000,0.000000
70.000000,1.000000,-5.000000,1.000000,6.000000,0.990000,6.520000,0.000000,0.000000,0.000000
71.000000,0.000000,-5.000000,0.000000,6.000000,0.330000,6.160000,0.000000,0.000000,0.000000
70.000000,1.000000,-5.000000,1.000000,6.000000,0.930000,5.930000,0.000000,0.000000,0.000000
68.000000,1.000000,-6.000000,1.000000,7.000000,0.990000,6.440000,0.000000,0.000000,0.000000
69.000000,1.000000,-6.000000,1.000000,7.000000,1.000000,7.000000,0.000000,0.000000,0.000000
70.000000,1.000000,-6.000000,1.000000,7.000000,1.000000,7.040000,0.000000,0.000000,0.000000
71.000000,1.000000,-6.000000,1.000000,7.000000,0.730000,7.030000,0.000000,0.000000,0.000000
72.000000,1.000000,-6.000000,1.000000,8.000000,0.990000,7.410000,0.000000,0.000000,0.000000
71.000000,1.000000,-5.000000,1.000000,6.000000,1.010000,6.790000,0.000000,0.000000,0.000000
70.000000,1.000000,-6.000000,1.000000,7.000000,1.010000,6.980000,0.000000,0.000000,0.000000
69.000000,1.000000,-6.000000,1.000000,7.000000,1.010000,6.730000,0.000000,0.000000,0.000000
69.000000,1.000000,-6.000000,1.000000,7.000000,1.000000,6.830000,0.000000,0.000000,0.000000
70.000000,1.000000,-6.000000,1.000000,7.000000,1.070000,6.500000,0.000000,0.000000,0.000000
70.000000,2.000000,-5.000000,2.000000,6.000000,1.760000,6.000000,0.000000,0.000000,0.000000
69.000000,2.000000,-5.000000,2.000000,6.000000,2.040000,5.700000,0.000000,0.000000,0.000000
69.000000,2.000000,-5.000000,2.000000,6.000000,1.960000,5.970000,0.000000,0.000000,0.000000
67.000000,2.000000,-5.000000,2.000000,6.000000,2.030000,6.000000,0.000000,0.000000,0.000000
66.000000,1.000000,-6.000000,1.000000,7.000000,1.520000,6.410000,0.000000,0.000000,0.000000
67.000000,2.000000,-5.000000,2.000000,6.000000,1.560000,6.020000,0.000000,0.000000,0.000000
68.000000,2.000000,-4.000000,2.000000,5.000000,2.000000,4.970000,0.000000,0.000000,0.000000
