I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14_KF3_VZ_OPT,I15_KF3_H_M,I16_KF3_ACC_BIAS,I17_KF3_QUALITY,I18_KF2_VZ,I19_LS15_VZ_REFONLY
66.000000,2.000000,-3.000000,2.000000,3.000000,2.220000,2.910000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000,0.000000,0.000000,0.000000,0.000000
66.000000,2.000000,-3.000000,2.000000,3.000000,1.940000,3.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000,0.000000,0.000000,0.000000,0.000000
66.000000,2.000000,-3.000000,2.000000,3.000000,1.940000,3.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000,0.000000,0.000000,0.000000,0.000000
66.000000,2.000000,-4.000000,2.000000,5.000000,1.960000,4.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000,0.000000,0.000000,0.000000,0.000000
67.000000,2.000000,-4.000000,2.000000,5.000000,1.980000,5.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000,0.000000,0.000000,0.000000,0.000000
68.000000,1.000000,-4.000000,1.000000,5.000000,1.490000,5.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000,0.000000,0.000000,0.000000,0.000000
71.000000,1.000000,-5.000000,1.000000,6.000000,1.370000,5.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000,0.000000,0.000000,0.000000,0.000000
71.000000,1.000000,-6.000000,1.000000,7.000000,0.960000,6.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000,0.000000,0.000000,0.000000,0.000000
71.000000,1.000000,-7.000000,1.000000,9.000000,0.950000,8.110000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000,0.000000,0.000000,0.000000,0.000000
71.000000,1.000000,-7.000000,1.000000,9.000000,0.960000,8.960000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000,0.000000,0.000000,0.000000,0.000000
