I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
29688.000000,126.940956,124.633629,112.311951,138.994812,1.233872,0.127814,-0.074507,0.061732,131.488602
29698.000000,124.924843,124.633629,117.291756,138.994812,1.254425,0.131983,-0.705959,0.063216,131.655167
29708.000000,133.992386,125.651299,117.291756,139.939270,1.273898,0.122504,-1.823721,0.067821,132.070648
29718.000000,125.029572,123.782761,115.225159,139.939270,1.309653,0.108228,-0.993411,0.074372,132.236069
29728.000000,125.029572,125.714722,115.225159,137.845398,1.378973,0.063971,-0.363412,0.081015,132.451935
29738.000000,124.114166,123.946884,115.154373,136.901505,1.396465,0.073278,0.076513,0.085559,132.627029
29748.000000,124.114166,124.127953,115.997803,137.676041,1.501887,0.046394,-0.092417,0.088052,132.854309
29758.000000,125.398743,124.127953,113.982224,137.676041,1.635003,0.025409,-0.390533,0.089285,133.072189
29768.000000,129.232147,129.339096,116.400101,140.370590,1.726488,0.008149,-1.244301,0.092271,133.575684
29778.000000,125.398743,129.339096,116.226624,140.370590,1.802046,-0.041636,-1.061273,0.096911,133.991302
29788.000000,127.569153,127.652641,116.226624,139.288055,1.870472,-0.115818,-1.236257,0.102811,134.410767
29798.000000,125.516106,127.652641,113.037552,139.288055,1.904469,-0.204696,-1.018800,0.109284,134.759232
29808.000000,127.569153,128.981735,112.790977,139.288055,1.920244,-0.263563,-1.183187,0.116595,135.211868
29818.000000,125.516106,129.134079,112.790977,139.443542,1.919472,-0.320740,-2.096348,0.124813,135.662933
29828.000000,136.344788,130.069992,116.724030,139.443542,1.903097,-0.346299,-0.590975,0.136178,136.488800
29838.000000,127.337532,133.137634,119.705849,141.496811,1.903096,-0.357011,-0.312965,0.145338,137.307220
29848.000000,129.522964,133.137634,122.408569,142.508286,2.066103,-0.393374,0.838790,0.151557,138.244308
29858.000000,129.522964,134.149124,119.705849,147.290421,2.332228,-0.465744,0.750644,0.153108,139.211624
29868.000000,135.804947,138.866470,120.492477,147.950424,2.550296,-0.529864,-1.021860,0.153044,140.368561
29878.000000,138.029312,143.612518,120.492477,150.672119,2.775429,-0.592778,1.124813,0.154417,141.652481
29888.000000,141.384369,144.233734,130.051407,153.377640,2.904012,-0.636363,-0.718057,0.154127,143.126434
29898.000000,143.258087,145.833054,130.794159,155.215927,2.910212,-0.629731,0.575919,0.154947,144.607605
29908.000000,143.339111,148.730408,135.785233,158.194489,2.851359,-0.611723,-0.623065,0.155326,146.183426
29918.000000,144.396469,149.828659,135.785233,165.312805,2.822109,-0.615815,-2.606302,0.158733,147.816696
29928.000000,151.348511,153.719467,135.900513,166.259460,2.856802,-0.601115,-3.215543,0.169618,149.642441
29938.000000,153.281921,154.687744,139.880936,167.193451,2.876218,-0.589899,-2.446141,0.186866,151.606186
29948.000000,158.378616,157.727890,141.896408,170.171967,2.873476,-0.570081,-1.225444,0.206132,153.852203
29958.000000,163.391571,163.694305,145.900604,170.171967,2.828912,-0.505775,2.353745,0.222336,156.396011
29968.000000,166.361435,164.561615,148.044754,179.161636,2.717723,-0.413672,0.886129,0.229112,159.122986
29978.000000,166.403259,169.303497,153.324799,184.234650,2.562070,-0.341115,2.623428,0.230770,161.956284
29988.000000,176.225723,175.006485,154.657822,189.401932,2.369214,-0.322825,0.423142,0.227744,165.019012
29998.000000,177.985046,182.718536,163.187485,192.691940,2.220983,-0.348108,-2.139389,0.227340,168.215302
30008.000000,184.749237,189.540833,163.979355,193.959061,2.149388,-0.375779,-4.017428,0.236235,171.573318
30018.000000,185.619125,190.474075,172.262726,201.100266,2.110121,-0.415344,-6.343811,0.256814,175.066895
30028.000000,192.514725,191.464310,176.276474,204.205627,2.042298,-0.455091,-5.205762,0.287840,178.826492
30038.000000,194.374847,197.412415,181.334900,213.353134,1.954235,-0.504514,-3.716855,0.325911,183.020706
30048.000000,199.193939,206.341965,186.414261,218.546753,1.858257,-0.555991,-1.609201,0.364977,187.716232
30058.000000,202.000778,213.224609,192.558197,221.756287,1.761956,-0.639075,-0.817078,0.398908,192.764618
30068.000000,209.766785,214.263733,193.502502,227.998901,1.732728,-0.726579,-0.754884,0.426646,198.007446
30078.000000,221.616608,223.275269,200.496796,234.138245,1.769339,-0.829047,-0.051765,0.451031,203.791443
30088.000000,224.542389,224.436096,205.313889,240.242508,1.805377,-0.934248,0.297221,0.469427,209.567825
30098.000000,226.463623,229.595688,207.030365,242.186096,1.800603,-1.022819,0.739155,0.482139,215.279083
30108.000000,237.342865,238.678391,209.128082,249.339111,1.731593,-1.100690,0.229921,0.492181,221.383347
30118.000000,241.991058,247.662140,223.035904,256.528625,1.674867,-1.168888,-0.609417,0.501194,227.620346
30128.000000,243.150818,249.656143,225.042099,262.688141,1.662638,-1.193713,-0.295463,0.509783,233.655640
30138.000000,255.885010,251.664429,233.026184,266.731323,1.638505,-1.207818,-0.075859,0.518562,239.824387
30148.000000,255.935043,258.642120,234.046799,271.781830,1.595436,-1.239907,-0.133018,0.525994,245.896271
30158.000000,257.785767,267.611755,246.068665,278.880371,1.528645,-1.275378,0.294852,0.532911,252.060211
30168.000000,263.647522,271.555817,247.130966,284.021759,1.472682,-1.309453,0.274558,0.537784,258.127136
30178.000000,267.526642,276.512177,251.175583,288.144562,1.422415,-1.359937,-0.902982,0.541795,264.102936
