I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
47324.000000,0.000000,125.982094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
47558.000000,0.000000,125.357841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
47791.000000,0.000000,126.037872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
48024.000000,0.000000,126.438797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
48257.000000,0.000000,128.117828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
48490.000000,0.000000,127.500687,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
48723.000000,0.000000,127.561241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
48957.000000,0.000000,127.018875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
49190.000000,0.000000,127.063705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
49423.000000,0.000000,126.035759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
49656.000000,0.000000,126.736084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
49889.000000,0.000000,126.679039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
50122.000000,0.000000,127.674248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
50356.000000,0.000000,127.039711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
50589.000000,0.000000,126.049294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
50822.000000,0.000000,126.331406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
51055.000000,0.000000,126.711594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
51288.000000,0.000000,126.714851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
51521.000000,0.000000,126.592972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
51755.000000,0.000000,126.287430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
51988.000000,0.000000,126.411835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
52221.000000,0.000000,126.641716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
52454.000000,0.000000,126.353592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
52687.000000,0.000000,125.902374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
52921.000000,0.000000,125.862137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
53154.000000,0.000000,126.383202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
53387.000000,0.000000,126.389824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
