I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14
2000.000000,0.000000,8192.000000,8192.000000,8192.000000,8192.000000,1300.000000,0.000000,0.000000,-0.016098,-0.002510,-1.015782,-0.430653,0.075370,0.067469
2095.000000,0.000000,118.475403,123.149223,120.815178,139.294022,125.082993,0.000000,-0.024381,-0.028455,0.022473,-1.008434,-0.979338,0.033403,-0.318980
2199.000000,0.000000,118.117958,122.251099,117.864853,139.141434,124.497864,0.000000,-0.017673,-0.024838,-0.021937,-1.013897,-0.998822,-0.014413,0.256839
2303.000000,0.000000,119.821114,122.281334,117.579178,139.136688,126.954979,0.000000,0.004164,-0.007976,-0.018528,-1.016966,-0.965019,0.134476,-0.141242
2407.000000,0.000000,116.880455,122.220749,118.563248,137.996414,126.007088,0.000000,-0.005809,-0.018714,0.027160,-1.014294,-1.014050,0.092460,-0.398496
2423.000000,0.000000,121.925095,122.237015,118.725182,142.033463,126.034500,0.000000,-0.003088,-0.018207,0.010015,-1.014481,-1.012491,0.064320,-0.304546
2439.000000,0.000000,123.916565,119.239174,117.730591,141.041672,125.749031,0.000000,-0.003866,-0.018811,-0.010719,-1.017521,-1.016765,0.066714,-0.352208
2455.000000,0.000000,120.924629,121.251823,119.709854,142.033554,125.638283,0.000000,-0.003011,-0.020694,-0.002567,-1.013889,-1.019234,0.072641,-0.369076
2471.000000,0.000000,117.924332,125.244949,120.717079,146.033905,125.490768,0.000000,-0.002508,-0.013071,-0.001793,-1.014388,-1.016088,0.070141,-0.312085
2487.000000,0.000000,120.930328,125.249809,122.710960,138.028748,125.772621,0.000000,0.000511,-0.012898,-0.007545,-1.017171,-1.016716,0.075782,-0.374382
2503.000000,0.000000,117.934174,126.255302,119.705711,139.026138,126.025917,0.000000,0.001907,-0.021828,0.000590,-1.014664,-1.017096,0.076031,-0.358914
2518.000000,0.000000,119.929230,121.250320,117.711922,139.030014,125.768280,0.000000,-0.000766,-0.016845,-0.003496,-1.016278,-1.017046,0.073940,-0.328843
2534.000000,0.000000,121.933945,121.258850,123.703003,139.024612,125.982925,0.000000,0.001089,-0.013132,-0.002476,-1.015310,-1.017943,0.078554,-0.389186
2550.000000,0.000000,120.935524,122.254539,120.707054,144.022583,126.015129,0.000000,0.000820,-0.017060,0.001006,-1.014398,-1.014876,0.076126,-0.351158
2566.000000,0.000000,116.936546,127.250748,118.710449,143.023270,126.111389,0.000000,0.001065,-0.016022,-0.009223,-1.015863,-1.015692,0.077606,-0.348841
2582.000000,0.000000,118.941086,123.265167,119.696220,144.017136,126.294434,0.000000,0.001829,-0.016406,-0.000551,-1.014700,-1.018373,0.082859,-0.398940
2597.000000,0.000000,115.939194,123.257561,123.703384,140.020325,126.213531,0.000000,0.000530,-0.016846,0.002533,-1.013749,-1.015050,0.078140,-0.348730
2613.000000,0.000000,117.941322,119.258224,121.703712,138.019073,126.232216,0.000000,0.000331,-0.015928,-0.009380,-1.014832,-1.015833,0.081151,-0.372584
2629.000000,0.000000,120.945374,120.268967,120.692749,143.012650,125.965866,0.000000,-0.001519,-0.017751,-0.001713,-1.014550,-1.017688,0.085047,-0.400137
2645.000000,0.000000,120.941811,124.260345,111.702339,144.015808,125.742065,0.000000,-0.002428,-0.015377,0.000989,-1.014481,-1.015153,0.080434,-0.352678
2661.000000,0.000000,120.942680,120.262352,121.699379,144.014648,125.765800,0.000000,-0.001115,-0.015231,-0.006000,-1.015006,-1.016229,0.084041,-0.397261
2676.000000,0.000000,122.946846,122.268761,121.692528,135.012573,125.721748,0.000000,-0.000907,-0.020072,-0.000840,-1.014295,-1.016712,0.085450,-0.397866
2692.000000,0.000000,120.945297,124.264412,120.696808,142.013336,125.709946,0.000000,-0.000421,-0.015722,-0.003909,-1.014480,-1.016206,0.084223,-0.367632
2708.000000,0.000000,119.949539,125.271408,116.692047,140.009155,125.581001,0.000000,-0.001153,-0.013903,-0.004425,-1.014907,-1.017496,0.088605,-0.414663
2724.000000,0.000000,118.950760,124.272156,111.690369,140.008102,125.623024,0.000000,-0.000706,-0.018651,0.000013,-1.014134,-1.016723,0.087478,-0.393431
2740.000000,0.000000,125.948875,120.269844,119.692131,142.007843,125.490005,0.000000,-0.001255,-0.016846,-0.006899,-1.015480,-1.016567,0.088113,-0.383722
2756.000000,0.000000,115.954826,121.279556,122.681572,140.004791,125.518364,0.000000,-0.000741,-0.015745,-0.002521,-1.015276,-1.018646,0.092224,-0.426795
2765.000000,0.000000,120.954422,122.278282,122.681740,141.003845,125.575760,0.000000,-0.000106,-0.016706,0.001468,-1.015144,-1.017168,0.090878,-0.405109
2766.000000,0.000000,120.954422,122.278282,122.681740,141.003845,125.575760,0.000000,-0.000106,-0.016755,0.001424,-1.015178,-1.016970,0.090626,-0.401917
2767.000000,0.000000,120.954422,122.278282,122.681740,141.003845,125.575760,0.000000,-0.000106,-0.016794,0.001296,-1.015203,-1.016785,0.090373,-0.398779
2768.000000,0.000000,120.954422,122.278282,122.681740,141.003845,125.575760,0.000000,-0.000106,-0.016828,0.001087,-1.015224,-1.016621,0.090132,-0.395754
2769.000000,0.000000,120.954422,122.278282,122.681740,141.003845,125.575760,0.000000,-0.000106,-0.016851,0.000805,-1.015243,-1.016479,0.089913,-0.392891
2772.000000,0.000000,120.954422,122.279243,122.681740,139.005249,125.579216,0.000000,-0.000067,-0.016855,0.000449,-1.015258,-1.016353,0.089722,-0.390240
2773.000000,0.000000,120.954422,122.279243,122.681740,139.005249,125.579216,0.000000,-0.000067,-0.016770,-0.001021,-1.015281,-1.016035,0.089377,-0.384226
2774.000000,0.000000,120.954422,122.279243,122.681740,139.005249,125.579216,0.000000,-0.000067,-0.016721,-0.001615,-1.015286,-1.015954,0.089345,-0.383021
2775.000000,0.000000,120.954422,122.279243,122.681740,139.005249,125.579216,0.000000,-0.000067,-0.016667,-0.002247,-1.015298,-1.015892,0.089350,-0.382248
