I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
145626.000000,0.000000,121.693512,0.000000,0.001989,0.005875,39.000000,3816.000000,-0.250663,1.038105,-8.473525
145627.000000,0.000000,121.693512,0.000000,0.001989,-0.020818,39.000000,3816.000000,-0.250594,1.038042,-8.473521
145628.000000,0.000000,121.693512,0.000000,0.001989,-0.023698,39.000000,3816.000000,-0.250594,1.038031,-8.473520
145629.000000,0.000000,121.693512,0.000000,0.001989,-0.020908,39.000000,3816.000000,-0.250606,1.038024,-8.473519
145630.000000,0.000000,121.693512,0.000000,0.001989,-0.016288,39.000000,3816.000000,-0.250631,1.038019,-8.473518
145631.000000,0.000000,121.693512,0.000000,0.001989,-0.012728,39.000000,3816.000000,-0.250667,1.038011,-8.473518
145632.000000,0.000000,121.693512,0.000000,0.001989,-0.011074,39.000000,3816.000000,-0.250709,1.037999,-8.473519
145633.000000,0.000000,121.693512,0.000000,0.001989,-0.011690,39.000000,3816.000000,-0.250750,1.037985,-8.473519
145636.000000,0.000000,121.702606,0.000000,0.001948,-0.014541,39.000000,3816.000000,-0.250787,1.037974,-8.473519
145637.000000,0.000000,121.702606,0.000000,0.001948,-0.021766,39.000000,3816.000000,-0.250871,1.038003,-8.473518
145638.000000,0.000000,121.702606,0.000000,0.001948,-0.017871,39.000000,3816.000000,-0.250896,1.038039,-8.473518
145639.000000,0.000000,121.702606,0.000000,0.001948,-0.012145,39.000000,3816.000000,-0.250922,1.038084,-8.473517
145640.000000,0.000000,121.702606,0.000000,0.001948,-0.005253,39.000000,3816.000000,-0.250947,1.038129,-8.473517
145641.000000,0.000000,121.702606,0.000000,0.001948,0.001605,39.000000,3816.000000,-0.250971,1.038168,-8.473516
145642.000000,0.000000,121.702606,0.000000,0.001948,0.004367,39.000000,3816.000000,-0.250993,1.038200,-8.473516
145643.000000,0.000000,121.702606,0.000000,0.001948,0.000772,39.000000,3816.000000,-0.251010,1.038223,-8.473516
145646.000000,0.000000,121.717712,0.000000,0.002248,-0.005987,39.000000,3816.000000,-0.251023,1.038236,-8.473516
145647.000000,0.000000,121.717712,0.000000,0.002248,-0.024553,39.000000,3816.000000,-0.251041,1.038263,-8.473514
145648.000000,0.000000,121.717712,0.000000,0.002248,-0.029233,39.000000,3816.000000,-0.251050,1.038280,-8.473514
145649.000000,0.000000,121.717712,0.000000,0.002248,-0.030283,39.000000,3816.000000,-0.251062,1.038300,-8.473514
145650.000000,0.000000,121.717712,0.000000,0.002248,-0.028700,39.000000,3816.000000,-0.251073,1.038323,-8.473513
145651.000000,0.000000,121.717712,0.000000,0.002248,-0.027464,39.000000,3816.000000,-0.251082,1.038345,-8.473512
145652.000000,0.000000,121.717712,0.000000,0.002248,-0.027360,39.000000,3816.000000,-0.251086,1.038365,-8.473511
145653.000000,0.000000,121.717712,0.000000,0.002248,-0.026441,39.000000,3816.000000,-0.251086,1.038382,-8.473510
145656.000000,0.000000,121.731575,0.000000,0.002322,-0.023888,39.000000,3816.000000,-0.251079,1.038395,-8.473509
145657.000000,0.000000,121.731575,0.000000,0.002322,-0.009153,39.000000,3816.000000,-0.251037,1.038403,-8.473507
145658.000000,0.000000,121.731575,0.000000,0.002322,-0.001662,39.000000,3816.000000,-0.251028,1.038387,-8.473506
145659.000000,0.000000,121.731575,0.000000,0.002322,0.005362,39.000000,3816.000000,-0.251022,1.038361,-8.473505
145660.000000,0.000000,121.731575,0.000000,0.002322,0.009834,39.000000,3816.000000,-0.251019,1.038326,-8.473504
145661.000000,0.000000,121.731575,0.000000,0.002322,0.009892,39.000000,3816.000000,-0.251016,1.038285,-8.473504
145662.000000,0.000000,121.731575,0.000000,0.002322,0.004824,39.000000,3816.000000,-0.251010,1.038239,-8.473504
145663.000000,0.000000,121.731575,0.000000,0.002322,-0.006725,39.000000,3816.000000,-0.250999,1.038193,-8.473504
145666.000000,0.000000,121.744362,0.000000,0.002256,-0.024736,39.000000,3816.000000,-0.250982,1.038151,-8.473503
145667.000000,0.000000,121.744362,0.000000,0.002256,-0.060924,39.000000,3816.000000,-0.250906,1.038080,-8.473500
145668.000000,0.000000,121.744362,0.000000,0.002256,-0.058845,39.000000,3816.000000,-0.250877,1.038083,-8.473498
145669.000000,0.000000,121.744362,0.000000,0.002256,-0.046437,39.000000,3816.000000,-0.250845,1.038098,-8.473497
145670.000000,0.000000,121.744362,0.000000,0.002256,-0.026081,39.000000,3816.000000,-0.250811,1.038119,-8.473495
145671.000000,0.000000,121.744362,0.000000,0.002256,-0.004337,39.000000,3816.000000,-0.250776,1.038141,-8.473495
