I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
15050.000000,0.000000,121.677238,1.000000,121.726318,1.000000,1.000000,67.952255,4.000000,15.000000,121.658997,121.623833,0.000000,-0.002008,-0.002804,0.000000,0.000119,1.000000,0.000215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132.836823,119.847031,114.141853,139.149597,129.000000,119.000000,112.000000,139.000000,0.573078,-0.004129,0.000000,0.000000,0.000000
15060.000000,0.000000,121.671181,1.000000,121.476212,1.000000,1.000000,72.950943,4.000000,15.000000,121.649857,121.585899,0.000000,-0.002181,-0.002168,0.000000,-0.000128,1.000000,-0.000230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,129.837097,116.847649,119.140533,139.149597,127.000000,116.000000,120.000000,142.000000,0.573473,-0.004035,0.000000,0.000000,0.000000
15070.000000,0.000000,121.659012,1.000000,120.976151,1.000000,1.000000,71.950729,4.000000,15.000000,121.616173,121.481773,0.000000,-0.003178,-0.002596,0.000000,-0.000588,1.000000,-0.001058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,127.837883,119.847031,117.140221,138.149490,125.000000,122.000000,118.000000,137.000000,0.573965,-0.003750,0.000000,0.000000,0.000000
15080.000000,0.000000,121.647980,1.000000,121.475777,1.000000,1.000000,69.953064,4.000000,15.000000,121.609154,121.453613,0.000000,-0.003042,-0.004923,0.000000,0.000026,1.000000,0.000046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,127.837883,119.847855,117.140221,140.147156,130.000000,119.000000,114.000000,141.000000,0.574113,-0.003533,0.000000,0.000000,0.000000
15090.000000,0.000000,121.648979,1.000000,122.476112,1.000000,1.000000,68.953583,4.000000,15.000000,121.652504,121.570602,0.000000,-0.001061,-0.003619,0.000000,0.001053,1.000000,0.001895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.839233,121.847321,116.140732,140.147156,130.000000,121.000000,117.000000,144.000000,0.574156,-0.003093,0.000000,0.000000,0.000000
15100.000000,0.000000,121.656105,1.000000,122.226013,1.000000,1.000000,65.955261,4.000000,15.000000,121.681183,121.653236,0.000000,0.000168,-0.002450,0.000000,0.000666,1.000000,0.001199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.839798,121.846802,114.141357,141.146103,130.000000,121.000000,115.000000,142.000000,0.574134,-0.002671,0.000000,0.000000,0.000000
15110.000000,0.000000,121.667679,1.000000,122.226120,1.000000,1.000000,65.955261,4.000000,15.000000,121.708427,121.734879,0.000000,0.001191,-0.002454,0.000000,0.000571,1.000000,0.001028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.840240,121.846802,114.141357,141.146103,130.000000,119.000000,114.000000,140.000000,0.574315,-0.002729,0.000000,0.000000,0.000000
15120.000000,0.000000,121.676888,1.000000,121.726135,1.000000,1.000000,67.954727,4.000000,15.000000,121.709312,121.743904,0.000000,0.001120,-0.001797,0.000000,-0.000021,1.000000,-0.000037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.840240,121.846321,114.141357,139.146637,126.000000,121.000000,117.000000,140.000000,0.573825,-0.002642,0.000000,0.000000,0.000000
15130.000000,0.000000,121.667656,1.000000,120.226028,1.000000,1.000000,66.955078,4.000000,15.000000,121.635147,121.541039,0.000000,-0.001663,-0.000422,0.000000,-0.001529,1.000000,-0.002752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,127.839844,119.847229,113.141060,139.145981,127.000000,115.000000,113.000000,139.000000,0.573498,-0.002353,0.000000,0.000000,0.000000
15140.000000,0.000000,121.642120,1.000000,119.976654,1.000000,1.000000,66.955307,4.000000,15.000000,121.552223,121.307716,0.000000,-0.004403,-0.002363,0.000000,-0.001548,1.000000,-0.002786,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,126.840042,121.846321,112.142769,138.147461,124.000000,122.000000,113.000000,139.000000,0.573288,-0.002626,0.000000,0.000000,0.000000
15150.000000,0.000000,121.590981,1.000000,118.726471,1.000000,1.000000,66.955307,4.000000,15.000000,121.410934,120.908485,0.000000,-0.008845,-0.000141,0.000000,-0.002537,1.000000,-0.004567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,127.839844,115.845810,112.142769,138.147461,131.000000,114.000000,113.000000,141.000000,0.573253,-0.002670,0.000000,0.000000,0.000000
15160.000000,0.000000,121.551872,1.000000,121.475998,1.000000,1.000000,64.955307,4.000000,15.000000,121.414185,120.911865,0.000000,-0.007416,0.000809,0.000000,0.000656,1.000000,0.001181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.838486,121.845284,112.142769,140.147461,130.000000,121.000000,117.000000,143.000000,0.573012,-0.002775,0.000000,0.000000,0.000000
15170.000000,0.000000,121.516571,1.000000,120.976227,1.000000,1.000000,64.954239,4.000000,15.000000,121.392288,120.857101,0.000000,-0.006957,-0.000903,0.000000,0.000139,1.000000,0.000249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.838486,119.845108,112.142761,140.148529,129.000000,119.000000,111.000000,141.000000,0.572719,-0.002905,0.000000,0.000000,0.000000
15180.000000,0.000000,121.498299,1.000000,122.225876,1.000000,1.000000,68.954285,4.000000,15.000000,121.433968,120.988899,0.000000,-0.004172,-0.001589,0.000000,0.001438,1.000000,0.002589,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.837067,120.845108,116.142815,140.148529,130.000000,120.000000,118.000000,139.000000,0.572440,-0.003305,0.000000,0.000000,0.000000
15190.000000,0.000000,121.487297,1.000000,121.726219,1.000000,1.000000,68.953629,4.000000,15.000000,121.448578,121.056244,0.000000,-0.002652,-0.000439,0.000000,0.000779,1.000000,0.001402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.836914,120.845108,115.143242,139.149612,130.000000,122.000000,116.000000,140.000000,0.572346,-0.003317,0.000000,0.000000,0.000000
15200.000000,0.000000,121.487335,1.000000,122.226166,1.000000,1.000000,70.953400,4.000000,15.000000,121.487457,121.197220,0.000000,-0.000424,0.001874,0.000000,0.001196,1.000000,0.002154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.836914,120.845108,117.143013,139.149612,129.000000,119.000000,119.000000,141.000000,0.572438,-0.003585,0.000000,0.000000,0.000000
15210.000000,0.000000,121.495537,1.000000,122.226227,1.000000,1.000000,69.953461,4.000000,15.000000,121.524399,121.337639,0.000000,0.001448,0.001482,0.000000,0.001033,1.000000,0.001860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.836487,119.845474,117.143188,140.149734,130.000000,119.000000,118.000000,141.000000,0.572187,-0.003480,0.000000,0.000000,0.000000
15220.000000,0.000000,121.509682,1.000000,122.226044,1.000000,1.000000,70.952927,4.000000,15.000000,121.559479,121.474464,0.000000,0.002980,0.002033,0.000000,0.000874,1.000000,0.001573,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,129.836792,119.844986,118.142654,140.149734,129.000000,118.000000,120.000000,138.000000,0.572131,-0.003715,0.000000,0.000000,0.000000
15230.000000,0.000000,121.525307,1.000000,121.976196,1.000000,1.000000,70.953094,4.000000,15.000000,121.580315,121.570343,0.000000,0.003745,-0.001474,0.000000,0.000472,1.000000,0.000849,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.836487,119.844986,117.143188,139.150101,131.000000,119.000000,113.000000,140.000000,0.572345,-0.003738,0.000000,0.000000,0.000000
15240.000000,0.000000,121.525261,1.000000,120.476135,1.000000,1.000000,65.953201,4.000000,15.000000,121.525108,121.449364,0.000000,0.001603,-0.002933,0.000000,-0.001132,1.000000,-0.002037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,129.836197,119.845505,112.143005,139.149811,126.000000,120.000000,113.000000,140.000000,0.572410,-0.003575,0.000000,0.000000,0.000000
