I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
11651.000000,0.000000,121.493881,1.000000,120.230743,1.000000,1.000000,67.133621,4.000000,15.000000,121.436417,121.292961,0.000000,-0.003244,0.002526,0.000000,-0.001235,1.000000,-0.002223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,126.547432,118.373497,114.622833,140.449219,126.000000,117.000000,115.000000,141.000000,0.311618,0.076496,0.000000,0.000000,0.000000
11661.000000,0.000000,121.473366,1.000000,120.730927,1.000000,1.000000,67.135040,4.000000,15.000000,121.401138,121.186386,0.000000,-0.004106,0.002251,0.000000,-0.000530,1.000000,-0.000953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.546738,118.373497,114.624260,140.449219,128.000000,120.000000,116.000000,140.000000,0.311377,0.076948,0.000000,0.000000,0.000000
11670.000000,0.000000,121.449974,1.000000,120.730568,1.000000,1.000000,68.136002,4.000000,15.000000,121.367607,121.087257,0.000000,-0.004737,0.003115,0.000000,-0.000415,1.000000,-0.000747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,127.546700,118.371376,115.625107,140.449112,127.000000,118.000000,117.000000,141.000000,0.311415,0.076856,0.000000,0.000000,0.000000
11681.000000,0.000000,121.433006,1.000000,121.480537,1.000000,1.000000,68.136002,4.000000,15.000000,121.373253,121.101578,0.000000,-0.003810,0.006660,0.000000,0.000441,1.000000,0.000793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.546738,120.371193,115.625107,140.449112,130.000000,120.000000,116.000000,142.000000,0.311464,0.076350,0.000000,0.000000,0.000000
11690.000000,0.000000,121.423744,1.000000,121.730812,1.000000,1.000000,68.135330,4.000000,15.000000,121.391129,121.156906,0.000000,-0.002502,0.005726,0.000000,0.000667,1.000000,0.001201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,127.546700,120.372002,116.624931,141.449600,126.000000,121.000000,120.000000,143.000000,0.311487,0.076140,0.000000,0.000000,0.000000
11700.000000,0.000000,121.417519,1.000000,121.480515,1.000000,1.000000,66.134521,4.000000,15.000000,121.395599,121.180695,0.000000,-0.001804,0.002398,0.000000,0.000349,1.000000,0.000628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,126.545998,120.372002,115.624298,142.449783,126.000000,118.000000,116.000000,145.000000,0.311437,0.076001,0.000000,0.000000,0.000000
11710.000000,0.000000,121.408081,1.000000,120.980515,1.000000,1.000000,66.134155,4.000000,15.000000,121.374847,121.137161,0.000000,-0.002081,0.000078,0.000000,-0.000182,1.000000,-0.000328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,126.545998,118.372383,115.623940,142.449783,128.000000,117.000000,115.000000,138.000000,0.310952,0.076537,0.000000,0.000000,0.000000
11721.000000,0.000000,121.399132,1.000000,121.230698,1.000000,1.000000,67.133072,4.000000,15.000000,121.367638,121.132370,0.000000,-0.001816,-0.005477,0.000000,0.000114,1.000000,0.000206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.545624,118.372383,115.623940,141.450867,130.000000,119.000000,116.000000,142.000000,0.310568,0.076423,0.000000,0.000000,0.000000
11730.000000,0.000000,121.387878,1.000000,120.980423,1.000000,1.000000,69.134048,4.000000,15.000000,121.348274,121.095474,0.000000,-0.002006,-0.006053,0.000000,-0.000134,1.000000,-0.000241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.544556,119.370613,114.625298,138.451248,130.000000,121.000000,113.000000,139.000000,0.310385,0.076364,0.000000,0.000000,0.000000
11741.000000,0.000000,121.386108,1.000000,121.980621,1.000000,1.000000,67.135025,4.000000,15.000000,121.379890,121.202141,0.000000,-0.000320,-0.001822,0.000000,0.000905,1.000000,0.001629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.544556,121.369682,114.626648,140.451630,126.000000,121.000000,115.000000,141.000000,0.310013,0.076496,0.000000,0.000000,0.000000
