I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
9791.000000,0.000000,120.356834,1.000000,121.232285,1.000000,1.000000,68.945282,4.000000,15.000000,121.232285,120.356842,0.000000,0.024865,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.150467,120.165245,115.834351,139.849075,130.000000,120.000000,116.000000,140.000000,0.106756,-0.006507,0.000000,0.000000,0.000000
9800.000000,0.000000,120.661087,1.000000,121.732285,1.000000,1.000000,68.945190,4.000000,15.000000,121.732285,120.661095,0.000000,0.030425,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.150360,120.165245,115.834351,139.849167,131.000000,119.000000,112.000000,142.000000,0.106856,-0.006447,0.000000,0.000000,0.000000
9811.000000,0.000000,120.897995,1.000000,121.732101,1.000000,1.000000,67.944946,4.000000,15.000000,121.732101,120.898003,0.000000,0.023691,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.150360,119.165329,115.833832,140.848892,123.000000,118.000000,116.000000,141.000000,0.107024,-0.006616,0.000000,0.000000,0.000000
9820.000000,0.000000,120.806030,1.000000,120.482254,1.000000,1.000000,66.945007,4.000000,15.000000,120.482254,120.806038,0.000000,-0.009196,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,127.150490,118.165764,114.833893,140.848892,127.000000,117.000000,115.000000,138.000000,0.106950,-0.006659,0.000000,0.000000,0.000000
9830.000000,0.000000,120.734413,1.000000,120.482254,1.000000,1.000000,66.945007,4.000000,15.000000,120.482254,120.734413,0.000000,-0.007162,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,127.150490,118.165764,114.833893,140.848892,130.000000,121.000000,112.000000,143.000000,0.106729,-0.006575,0.000000,0.000000,0.000000
9841.000000,0.000000,120.899818,1.000000,121.482178,1.000000,1.000000,65.945084,4.000000,15.000000,121.482178,120.899826,0.000000,0.016541,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,127.150719,121.165283,114.833893,141.848816,127.000000,123.000000,117.000000,142.000000,0.106674,-0.006096,0.000000,0.000000,0.000000
9851.000000,0.000000,121.028633,1.000000,121.482162,1.000000,1.000000,62.945511,4.000000,15.000000,121.482162,121.028641,0.000000,0.012881,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.150238,121.165283,111.834320,141.848816,131.000000,119.000000,104.000000,140.000000,0.106546,-0.005535,0.000000,0.000000,0.000000
9861.000000,0.000000,121.018433,1.000000,120.982513,1.000000,1.000000,68.948120,4.000000,15.000000,120.982513,121.018440,0.000000,-0.001020,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.150970,119.163818,115.836685,139.848572,128.000000,118.000000,116.000000,140.000000,0.106171,-0.005221,0.000000,0.000000,0.000000
9871.000000,0.000000,120.789238,1.000000,119.982285,1.000000,1.000000,64.948090,4.000000,15.000000,119.982285,120.789246,0.000000,-0.022919,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.150970,119.162941,111.836662,139.848572,126.000000,119.000000,112.000000,142.000000,0.106119,-0.005311,0.000000,0.000000,0.000000
9880.000000,0.000000,120.666069,1.000000,120.232430,1.000000,1.000000,66.947891,4.000000,15.000000,120.232430,120.666069,0.000000,-0.012317,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.150970,118.162910,113.836876,139.848984,129.000000,116.000000,114.000000,140.000000,0.105964,-0.005318,0.000000,0.000000,0.000000
