I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33
25069.000000,0.000000,123.213356,1.000000,0.000000,0.000000,-0.000297,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,133.507233,119.459244,112.534615,141.485489,134.000000,119.000000,113.000000,141.000000,1.000000,1.000000,1.000000,1.000000,-0.009065,-0.416856,-0.444056,15.281269,-12.495499,-1.321875,-0.681264,0.000000
25079.000000,0.000000,123.196335,1.000000,0.000000,0.000000,-0.001153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,133.507599,119.459244,111.535141,141.485123,134.000000,121.000000,112.000000,141.000000,1.000000,1.000000,1.000000,1.000000,-0.008915,-0.416716,-0.444057,15.281269,-12.495499,-1.321875,-0.681264,0.000000
25089.000000,0.000000,123.170280,1.000000,0.000000,0.000000,-0.002265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,133.507233,119.459244,112.534615,141.485489,133.000000,111.000000,115.000000,143.000000,1.000000,1.000000,1.000000,1.000000,-0.009085,-0.416497,-0.444059,15.292589,-12.491134,0.023763,-0.292266,0.000000
25099.000000,0.000000,123.146126,1.000000,0.000000,0.000000,-0.002866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132.507645,121.459259,114.535011,141.485123,130.000000,126.000000,116.000000,140.000000,1.000000,1.000000,1.000000,1.000000,-0.008975,-0.416507,-0.444061,15.292589,-12.491134,0.023763,-0.292266,0.000000
25109.000000,0.000000,123.140236,1.000000,0.000000,0.000000,-0.002071,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132.507645,125.458145,115.534805,142.485184,139.000000,125.000000,117.000000,142.000000,1.000000,1.000000,1.000000,1.000000,-0.009290,-0.416315,-0.444063,15.301579,-12.488809,0.023763,-0.292266,0.000000
25119.000000,0.000000,123.142387,1.000000,0.000000,0.000000,-0.000969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,131.507721,125.458145,116.535461,140.485016,132.000000,123.000000,121.000000,139.000000,1.000000,1.000000,1.000000,1.000000,-0.009310,-0.416161,-0.444065,15.301579,-12.488809,0.023763,-0.292266,0.000000
25129.000000,0.000000,123.153236,1.000000,0.000000,0.000000,0.000388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,135.508286,123.457993,116.535461,139.485123,136.000000,121.000000,115.000000,139.000000,1.000000,1.000000,1.000000,1.000000,-0.009029,-0.415935,-0.444067,15.310568,-12.487031,-0.364421,0.282813,0.000000
25139.000000,0.000000,123.173164,1.000000,0.000000,0.000000,0.001942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,135.508286,123.457993,117.535950,139.485123,138.000000,126.000000,118.000000,141.000000,1.000000,1.000000,1.000000,1.000000,-0.009065,-0.415585,-0.444070,15.310568,-12.487031,-0.364421,0.282813,0.000000
25149.000000,0.000000,123.202354,1.000000,0.000000,0.000000,0.003635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,135.508286,122.458305,117.535385,141.484070,129.000000,122.000000,118.000000,144.000000,1.000000,1.000000,1.000000,1.000000,-0.008689,-0.415592,-0.444073,15.321872,-12.485929,1.465362,1.050108,0.000000
25159.000000,0.000000,123.232544,1.000000,0.000000,0.000000,0.004880,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,131.510223,123.459305,117.535385,142.482574,132.000000,123.000000,116.000000,142.000000,1.000000,1.000000,1.000000,1.000000,-0.008030,-0.415637,-0.444077,15.321872,-12.485929,1.465362,1.050108,0.000000
25169.000000,0.000000,123.257607,1.000000,0.000000,0.000000,0.005402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,131.510223,123.459305,115.534424,142.482574,133.000000,127.000000,116.000000,138.000000,1.000000,1.000000,1.000000,1.000000,-0.007986,-0.415570,-0.444080,15.338296,-12.489413,-0.742972,2.008858,0.000000
25179.000000,0.000000,123.281364,1.000000,0.000000,0.000000,0.005649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132.510330,123.459305,115.534424,142.482376,134.000000,119.000000,121.000000,142.000000,1.000000,1.000000,1.000000,1.000000,-0.008080,-0.415396,-0.444082,15.338296,-12.489413,-0.742972,2.008858,0.000000
25189.000000,0.000000,123.298363,1.000000,0.000000,0.000000,0.005333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132.510330,123.458450,115.535278,140.482025,130.000000,123.000000,116.000000,140.000000,1.000000,1.000000,1.000000,1.000000,-0.008116,-0.414998,-0.444083,15.349115,-12.492367,0.407726,-0.395541,0.000000
25199.000000,0.000000,123.312943,1.000000,0.000000,0.000000,0.004889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,131.510086,123.458450,115.535690,142.482376,132.000000,125.000000,116.000000,144.000000,1.000000,1.000000,1.000000,1.000000,-0.008509,-0.415145,-0.444085,15.349115,-12.492367,0.407726,-0.395541,0.000000
25209.000000,0.000000,123.328323,1.000000,0.000000,0.000000,0.004550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,131.510086,123.458450,115.535278,143.482162,132.000000,121.000000,115.000000,143.000000,1.000000,1.000000,1.000000,1.000000,-0.008317,-0.414923,-0.444087,15.356778,-12.490858,1.078911,0.854859,0.000000
25219.000000,0.000000,123.344139,1.000000,0.000000,0.000000,0.004251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,131.510086,122.458214,115.535545,144.481720,131.000000,122.000000,116.000000,144.000000,1.000000,1.000000,1.000000,1.000000,-0.008141,-0.414788,-0.444090,15.356778,-12.490858,1.078911,0.854859,0.000000
25229.000000,0.000000,123.354568,1.000000,0.000000,0.000000,0.003603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,131.510620,121.458122,115.535545,143.482162,134.000000,118.000000,120.000000,138.000000,1.000000,1.000000,1.000000,1.000000,-0.007978,-0.414424,-0.444092,15.367971,-12.488230,1.078911,0.854859,0.000000
25239.000000,0.000000,123.360893,1.000000,0.000000,0.000000,0.002799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132.511658,122.457672,115.535545,141.481171,133.000000,122.000000,115.000000,141.000000,1.000000,1.000000,1.000000,1.000000,-0.008108,-0.414269,-0.444094,15.367971,-12.488230,1.078911,0.854859,0.000000
25249.000000,0.000000,123.361351,1.000000,0.000000,0.000000,0.001776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132.511658,122.457672,114.536133,141.481171,132.000000,122.000000,112.000000,141.000000,1.000000,1.000000,1.000000,1.000000,-0.008216,-0.414449,-0.444097,15.378683,-12.493171,1.078911,0.854859,0.000000
25259.000000,0.000000,123.354698,1.000000,0.000000,0.000000,0.000530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,131.511322,122.457672,114.536133,141.481537,130.000000,120.000000,117.000000,141.000000,1.000000,1.000000,1.000000,1.000000,-0.008031,-0.414900,-0.444099,15.378683,-12.493171,1.078911,0.854859,0.000000
25269.000000,0.000000,123.337326,1.000000,0.000000,0.000000,-0.001093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,131.511322,122.457718,112.535095,141.481781,136.000000,122.000000,113.000000,144.000000,1.000000,1.000000,1.000000,1.000000,-0.007730,-0.414728,-0.444102,15.391206,-12.501290,-0.647517,0.468239,0.000000
25279.000000,0.000000,123.306686,1.000000,0.000000,0.000000,-0.003125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,129.511124,122.458748,112.535095,141.481781,129.000000,124.000000,112.000000,140.000000,1.000000,1.000000,1.000000,1.000000,-0.007711,-0.415285,-0.444105,15.391206,-12.501290,-0.647517,0.468239,0.000000
25289.000000,0.000000,123.277634,1.000000,0.000000,0.000000,-0.004466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132.511139,123.459946,112.535095,141.481659,133.000000,123.000000,115.000000,141.000000,1.000000,1.000000,1.000000,1.000000,-0.007495,-0.415503,-0.444107,15.404466,-12.513213,-0.647517,0.468239,0.000000
25299.000000,0.000000,123.252831,1.000000,0.000000,0.000000,-0.005137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.511002,124.459351,114.533798,141.481659,131.000000,125.000000,116.000000,142.000000,1.000000,1.000000,1.000000,1.000000,-0.007535,-0.415619,-0.444109,15.404466,-12.513213,-0.647517,0.468239,0.000000
25309.000000,0.000000,123.239746,1.000000,0.000000,0.000000,-0.004840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132.510757,123.459946,115.533699,142.481812,133.000000,122.000000,117.000000,147.000000,1.000000,1.000000,1.000000,1.000000,-0.007599,-0.415700,-0.444112,15.414769,-12.517583,-0.358986,-0.777634,0.000000
25319.000000,0.000000,123.241005,1.000000,0.000000,0.000000,-0.003678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132.510239,124.459663,116.533669,142.481812,133.000000,124.000000,118.000000,141.000000,1.000000,1.000000,1.000000,1.000000,-0.007874,-0.415782,-0.444113,15.414769,-12.517583,-0.358986,-0.777634,0.000000
25329.000000,0.000000,123.247345,1.000000,0.000000,0.000000,-0.002493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132.510239,122.460037,116.534554,142.482986,133.000000,122.000000,117.000000,142.000000,1.000000,1.000000,1.000000,1.000000,-0.008224,-0.415742,-0.444115,15.423355,-12.524224,-0.358986,-0.777634,0.000000
25339.000000,0.000000,123.257362,1.000000,0.000000,0.000000,-0.001368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132.509766,123.459206,116.534554,141.482544,132.000000,123.000000,114.000000,139.000000,1.000000,1.000000,1.000000,1.000000,-0.008117,-0.415664,-0.444117,15.423355,-12.524224,-0.358986,-0.777634,0.000000
25349.000000,0.000000,123.272751,1.000000,0.000000,0.000000,-0.000172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132.509766,123.459206,116.534554,142.482330,136.000000,125.000000,119.000000,142.000000,1.000000,1.000000,1.000000,1.000000,-0.007954,-0.415523,-0.444121,15.432838,-12.528071,-0.743666,0.089842,0.000000
25359.000000,0.000000,123.303009,1.000000,0.000000,0.000000,0.001680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,133.511307,125.459084,117.534538,142.482330,134.000000,125.000000,118.000000,145.000000,1.000000,1.000000,1.000000,1.000000,-0.007711,-0.415071,-0.444125,15.432838,-12.528071,-0.743666,0.089842,0.000000
25369.000000,0.000000,123.346703,1.000000,0.000000,0.000000,0.003882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,133.511765,125.459084,117.534538,143.480972,134.000000,122.000000,111.000000,143.000000,1.000000,1.000000,1.000000,1.000000,-0.007575,-0.414843,-0.444128,15.449880,-12.528033,-0.741431,0.087997,0.000000
25379.000000,0.000000,123.394318,1.000000,0.000000,0.000000,0.005699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,133.511307,122.459106,117.534538,144.481033,131.000000,121.000000,119.000000,144.000000,1.000000,1.000000,1.000000,1.000000,-0.007408,-0.415133,-0.444131,15.449880,-12.528033,-0.741431,0.087997,0.000000
25389.000000,0.000000,123.424950,1.000000,0.000000,0.000000,0.005886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,133.511765,121.459709,112.534081,143.480972,138.000000,119.000000,113.000000,140.000000,1.000000,1.000000,1.000000,1.000000,-0.007479,-0.415285,-0.444134,15.465241,-12.533404,-0.741431,0.087997,0.000000
25399.000000,0.000000,123.439919,1.000000,0.000000,0.000000,0.005005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132.511337,121.459709,115.533768,140.481415,133.000000,123.000000,116.000000,138.000000,1.000000,1.000000,1.000000,1.000000,-0.007427,-0.415420,-0.444136,15.465241,-12.533404,-0.741431,0.087997,0.000000
