t_s,target_mm,logged_h_mm,tof_obs_mm,tof_spread_mm,acc_up_mps2,logged_vz_mps,logged_throttle,logged_polluted,logged_gate_reason,A_trimmed_lpf_h_mm,A_trimmed_lpf_vz_mps,A_trimmed_lpf_accepted,A_trimmed_lpf_polluted,B_huber_ab_h_mm,B_huber_ab_vz_mps,B_huber_ab_accepted,B_huber_ab_polluted,C_physical_gate_ab_h_mm,C_physical_gate_ab_vz_mps,C_physical_gate_ab_accepted,C_physical_gate_ab_polluted,D_pollution_fsm_h_mm,D_pollution_fsm_vz_mps,D_pollution_fsm_accepted,D_pollution_fsm_polluted,E_recommended_mcu_h_mm,E_recommended_mcu_vz_mps,E_recommended_mcu_accepted,E_recommended_mcu_polluted,F_ported_c_logic_h_mm,F_ported_c_logic_vz_mps,F_ported_c_logic_accepted,F_ported_c_logic_polluted
3.451,0.0,121.672798,121.21401600000002,64.812432,-0.074101,0.0,0.0,0.0,0.0,121.21401600000002,0.0,1,0,121.21401600000002,0.0,1,0,121.21401600000002,0.0,1,0,121.21401600000002,0.0,1,0,121.21401600000002,0.0,1,0,121.21401600000002,0.0,1,0
3.461,0.0,121.626656,121.46418575000001,65.81311099999999,-0.075187,0.0,0.0,0.0,0.0,121.26935354870001,0.0012240665772438983,1,0,121.25812175490002,0.0005154633874999841,1,0,121.26284695800001,0.0005543117720000049,1,0,121.25290633256002,0.0003677096320000027,1,0,121.25812175490002,0.0003898146099999873,1,0,121.26935354870001,0.0,1,0
3.471,0.0,121.86702,122.71330624999999,65.80915199999998,-0.074056,0.0,0.0,0.0,0.0,121.58875588622756,0.008018482756466936,1,0,121.52330747299885,0.004024692488520221,1,0,121.55614406963424,0.004450724285560102,1,0,121.48850846593012,0.003146916935846356,1,0,121.52229260782299,0.0031777947132329174,1,0,121.58875588622756,0.007065179706109388,1,0
3.481,0.0,121.998924,122.46335025,68.80578699999998,-0.071554,0.0,0.0,0.0,0.0,121.78221615949403,0.010524135615390704,1,0,121.72414249988883,0.006110673266165503,1,0,121.77169017804904,0.006683919294532891,1,0,121.66957101613981,0.004876601123297885,1,0,121.71646991711363,0.00484445614103777,1,0,121.78221615949403,0.009781703199772247,1,0
3.491,0.0,122.322884,123.46347975,67.803361,-0.071797,0.0,0.0,0.0,0.0,122.15411166571396,0.016422525414851098,1,0,122.08569600977965,0.010111877850771639,1,0,122.16183598125194,0.011029239292205797,1,0,121.99606465785878,0.008192445969544004,1,0,122.06917725618433,0.00806483158871651,1,0,122.15411166571396,0.015844319049567443,1,0
3.501,0.0,122.409386,122.71395675000001,67.803361,-0.071767,0.0,0.0,0.0,0.0,122.27794939835803,0.015529153439173018,1,0,122.27957384632,0.011176887303985696,1,0,122.35846343819583,0.012019639490598385,1,0,122.17797065624411,0.009257498275934034,1,0,122.24949447571322,0.0089690434302194,1,0,122.27794939835803,0.015078846321890106,1,0
3.511,0.0,122.310837,121.96388225000001,66.797448,-0.07205,0.0,0.0,0.0,0.0,122.20847774514124,0.01055739172927245,1,0,122.3121388627367,0.009839401028765278,1,0,122.3735899453222,0.01032136616206475,1,0,122.21961247090772,0.008426351814823003,1,0,122.26964102387073,0.007980679671764364,1,0,122.20847774514124,0.01020669254633252,1,0
3.521,0.0,122.178902,121.71440875,67.798203,-0.072233,0.0,0.0,0.0,0.0,122.099189683416,0.005804644753395128,1,0,122.28313181865343,0.007849548718658717,1,0,122.32234319826131,0.00794591593152955,1,0,122.20776125429455,0.007037420076925834,1,0,122.23327069838284,0.006487103029412682,1,0,122.099189683416,0.00553152022972151,1,0
3.531,0.0,121.965576,121.2145005,68.80053000000001,-0.069194,0.0,0.0,0.0,0.0,121.90349643604438,0.0001919227020838422,1,0,122.15332790009643,0.0047657358290482755,1,0,122.16259920878676,0.004409723291460607,1,0,122.10631650568715,0.00471912523404433,1,0,122.1014373076425,0.004122744977526379,1,0,121.90349643604438,-2.078667695317154e-05,1,0
3.541,0.0,121.799469,121.21463974999999,68.79959199999999,-0.066965,0.0,0.0,0.0,0.0,121.75112133709136,-0.003221067788457811,1,0,122.0220332118703,0.0021322368590811214,1,0,122.00686088549777,0.0014589220843037399,1,0,122.00187995942352,0.002677015530695498,1,0,121.97428948895032,0.0021076520615211985,1,0,121.75112133709136,-0.003386725852851838,1,0
