start_s,end_s,duration_s,pre_h_mm,min_logged_h_mm,min_tof_obs_mm,tof_spread_max_mm,acc_up_min_mps2,acc_up_max_mps2,vz_min_mps,pos_out_max_mps,vel_out_max,throttle_max,current_polluted_rows,gate_reasons,post_h_mm
43.307,43.877,0.5800000000000003,1250.0005489999999,578.249451,390.64415925,230.2136309999999,-2.509294,3.348603,0.0,0.0,-152.155014,4062.0,57,1|2,445.574249
133.677,133.976,0.3090000000000066,1281.5098875,999.857727,727.1664836666665,533.948069,0.112784,5.949033,-1.106842,0.0,670.341064,4913.0,30,0|1|2,940.156433
141.696,142.096,0.4100000000000057,1362.4381105,1036.246094,572.200182,128.68189499999994,-4.244205,5.374258,-1.11437,0.0,691.087158,4893.0,35,0|1|2,1349.533813
143.325,143.835,0.5200000000000193,1370.2888795,794.248535,588.19268975,208.741221,-0.756684,4.450175,-0.36772,0.0,151.832062,4354.0,52,0|1,673.178589
151.445,151.654,0.2190000000000032,1386.1464234999999,683.616211,463.25873725,201.36864699999995,1.241119,7.691617,-1.490549,0.330961,1156.12146,5357.0,0,0|2,491.309357
162.633,162.793,0.1699999999999966,1399.3488160000002,1055.399658,745.2703946666667,318.8497719999999,-1.609553,2.471976,-1.461805,-0.177532,789.39502,5003.0,0,0|2,940.293274
162.973,163.113,0.14999999999998637,926.332611,767.787048,547.78085525,242.415228,-0.766887,2.290519,-0.454412,0.0,219.294678,4559.0,15,0|1,734.937561
191.07,191.23,0.1699999999999966,1336.4241944999999,850.925049,668.9099293333334,231.427952,-1.197742,6.19093,-1.477103,0.108255,1007.074585,5212.0,0,0|2,698.253357
199.839,200.019,0.19000000000000683,963.7691955,759.744507,574.2148436666666,225.81698999999998,-0.919807,1.867202,0.0,0.0,-100.169487,4103.0,18,1|2,639.936951
248.394,248.644,0.26,1376.513123,936.971069,717.918772,271.723484,0.057231,5.095954,-1.373808,0.045875,834.853943,5035.0,0,0|2,829.655457
250.134,250.774,0.6500000000000148,1399.932251,674.246826,477.29682299999996,172.95472200000006,-1.326476,4.529507,-0.261025,0.0,91.797821,4291.0,63,0|1|2,540.585571
254.013,254.353,0.3500000000000034,1195.0806885,797.239441,592.2650012500001,253.15540499999997,-1.81161,3.457908,-0.558116,0.0,305.51889,4508.0,35,0|1,676.897217
262.982,263.512,0.5399999999999727,1367.2588504999999,763.928833,538.0805455,332.948588,-0.408689,5.644947,-0.856736,0.0,526.752136,4728.0,49,0|1|2,667.579956
281.8,281.97,0.18000000000001593,1184.963013,973.82428,776.106272,291.68329200000005,0.22028,4.800565,-0.777324,0.0,481.413818,4686.0,14,0|1|2,881.498535
