I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23
2013.000000,0.000000,1400.000000,8192.000000,8192.000000,8192.000000,8192.000000,8192.000000,8192.000000,8192.000000,8192.000000,-0.831837,-1.648077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2101.000000,0.000000,123.025391,133.000000,118.000000,118.000000,141.000000,126.190689,116.552208,118.394653,141.805740,-0.985720,-0.149556,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,69.548920,0.000000,1.310272,0.000000
2187.000000,0.000000,121.420731,127.000000,118.000000,121.000000,140.000000,126.136101,117.654633,117.333542,140.855103,-1.002342,0.018771,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,69.438446,0.000000,0.188995,0.000000
2275.000000,0.000000,120.720062,125.000000,119.000000,121.000000,139.000000,124.245346,117.412216,118.579865,139.743729,-0.995575,-0.044860,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,71.796143,0.000000,-0.835999,0.000000
2344.000000,0.000000,120.828697,127.000000,121.000000,119.000000,139.000000,126.542549,118.652321,116.387390,139.454468,-0.995645,-0.043533,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,69.892929,0.000000,0.403603,0.000000
2364.000000,0.000000,120.738480,131.000000,117.000000,118.000000,140.000000,127.554855,118.724533,117.273148,136.444122,-1.002832,0.027128,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,73.789032,0.000000,0.165855,0.000000
2385.000000,0.000000,120.817101,126.000000,117.000000,119.000000,136.000000,128.557343,116.853134,117.167572,136.442810,-1.000666,0.006972,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,73.684769,0.000000,-0.660004,0.000000
2405.000000,0.000000,119.494156,128.000000,122.000000,117.000000,140.000000,127.541183,121.838463,109.151649,140.454071,-0.999408,-0.005183,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,61.657578,0.000000,2.664131,0.000000
2425.000000,0.000000,119.733406,130.000000,120.000000,115.000000,142.000000,129.538300,119.810097,108.187744,142.459137,-0.996670,-0.032791,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,58.688614,0.000000,2.347229,0.000000
2445.000000,0.000000,118.761612,126.000000,116.000000,114.000000,137.000000,125.553619,115.804596,116.193329,137.444016,-0.991066,-0.088218,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,71.709320,0.000000,1.507179,0.000000
2466.000000,0.000000,120.474701,127.000000,120.000000,119.000000,145.000000,126.547951,119.840416,119.150116,145.446167,-0.995150,-0.046996,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,66.663956,0.000000,2.624878,0.000000
2487.000000,0.000000,120.951340,131.000000,121.000000,113.000000,138.000000,130.527130,122.874146,113.119431,139.466003,-0.996039,-0.038041,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,66.613434,0.000000,-0.878288,0.000000
2507.000000,0.000000,121.233475,132.000000,118.000000,116.000000,136.000000,131.526886,117.879112,116.118622,142.470444,-0.997491,-0.024946,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,66.608185,0.000000,0.304161,0.000000
2528.000000,0.000000,120.760315,128.000000,119.000000,115.000000,137.000000,127.553795,118.887032,115.110954,140.443909,-0.998336,-0.016877,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,67.627045,0.000000,-0.301559,0.000000
