I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16
2013.000000,0.000000,1400.000000,8192.000000,8192.000000,8192.000000,8192.000000,8192.000000,8192.000000,8192.000000,8192.000000,-0.938380,0.000000,0.000000,0.000000,0.000000,0.000000
2102.000000,0.000000,122.565979,130.000000,120.000000,113.000000,141.000000,128.239105,120.814400,112.901390,140.423904,-0.932897,0.000000,0.000000,0.000000,0.000000,0.000000
2190.000000,0.000000,120.656319,130.000000,118.000000,117.000000,140.000000,127.568108,119.474510,115.499382,139.417419,-0.995372,0.000000,0.000000,0.000000,0.000000,0.000000
2278.000000,0.000000,121.103226,125.000000,122.000000,119.000000,143.000000,126.033630,120.004204,115.981644,142.888092,-1.002847,0.000000,0.000000,0.000000,0.000000,0.000000
2349.000000,0.000000,121.378319,127.000000,121.000000,116.000000,143.000000,127.870354,122.877617,114.109665,142.115082,-0.998127,0.000000,0.000000,0.000000,0.000000,0.000000
2369.000000,0.000000,120.731857,129.000000,118.000000,117.000000,141.000000,124.881821,118.877754,114.110367,140.104721,-0.988859,0.000000,0.000000,0.000000,0.000000,0.000000
2390.000000,0.000000,122.262299,132.000000,122.000000,116.000000,142.000000,132.820236,122.899277,115.093452,141.148804,-0.989704,0.000000,0.000000,0.000000,0.000000,0.000000
2411.000000,0.000000,121.469749,124.000000,123.000000,118.000000,140.000000,124.747482,123.918556,117.066887,139.253311,-0.993892,0.000000,0.000000,0.000000,0.000000,0.000000
2433.000000,0.000000,121.244736,127.000000,121.000000,114.000000,144.000000,127.710602,121.919113,113.069580,143.276352,-0.994015,0.000000,0.000000,0.000000,0.000000,0.000000
2454.000000,0.000000,120.568176,125.000000,118.000000,113.000000,138.000000,125.754547,118.895058,112.098137,141.232468,-1.004730,0.000000,0.000000,0.000000,0.000000,0.000000
2475.000000,0.000000,120.128242,131.000000,117.000000,116.000000,139.000000,125.791840,117.879082,115.109383,140.195007,-1.007572,0.000000,0.000000,0.000000,0.000000,0.000000
2495.000000,0.000000,120.272095,126.000000,114.000000,117.000000,140.000000,125.774010,114.897354,116.096878,140.212952,-1.006696,0.000000,0.000000,0.000000,0.000000,0.000000
2515.000000,0.000000,120.917480,125.000000,120.000000,115.000000,140.000000,132.699158,120.919670,114.069138,139.287888,-1.004423,0.000000,0.000000,0.000000,0.000000,0.000000
2536.000000,0.000000,120.754776,131.000000,116.000000,117.000000,139.000000,132.665298,116.939003,116.049889,138.321793,-0.999932,0.000000,0.000000,0.000000,0.000000,0.000000
2556.000000,0.000000,122.060692,127.000000,122.000000,116.000000,140.000000,127.711922,125.932053,115.056198,139.283264,-1.000252,0.000000,0.000000,0.000000,0.000000,0.000000
2577.000000,0.000000,121.201256,127.000000,120.000000,116.000000,142.000000,127.755791,113.921875,117.066597,141.236084,-1.001188,0.000000,0.000000,0.000000,0.000000,0.000000
