I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23
3451.000000,0.000000,121.672798,133.000000,122.000000,114.000000,140.000000,131.264008,119.416954,112.548767,140.696335,-0.997725,-0.074101,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,64.812439,0.000000,0.151390,0.000000
3461.000000,0.000000,121.626656,126.000000,116.000000,118.000000,140.000000,131.264008,119.416954,113.549446,140.696335,-0.997525,-0.075187,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,65.813110,0.000000,0.370987,0.000000
3471.000000,0.000000,121.867020,135.000000,122.000000,115.000000,139.000000,132.264297,123.417198,113.545441,140.696289,-0.997541,-0.074056,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,65.809158,0.000000,1.296143,0.000000
3481.000000,0.000000,121.998924,131.000000,120.000000,118.000000,141.000000,130.261719,121.423317,116.542076,140.696289,-0.997707,-0.071554,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,68.805786,0.000000,-0.457893,0.000000
3491.000000,0.000000,122.322884,134.000000,116.000000,119.000000,142.000000,133.259811,121.423317,116.542076,141.698715,-0.997617,-0.071797,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,67.803360,0.000000,0.886589,0.000000
3501.000000,0.000000,122.409386,128.000000,124.000000,117.000000,140.000000,130.261719,121.423317,116.542076,141.698715,-0.997577,-0.071767,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,67.803360,0.000000,-1.034950,0.000000
3511.000000,0.000000,122.310837,127.000000,119.000000,118.000000,143.000000,127.260223,120.427986,116.537384,142.699936,-0.997510,-0.072050,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,66.797455,0.000000,-0.826241,0.000000
3521.000000,0.000000,122.178902,131.000000,121.000000,114.000000,140.000000,127.260223,122.427963,115.538826,140.700623,-0.997431,-0.072233,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,67.798203,0.000000,-0.160660,0.000000
3531.000000,0.000000,121.965576,127.000000,119.000000,119.000000,138.000000,126.265564,120.428200,116.537384,140.696854,-0.997653,-0.069194,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,68.800537,0.000000,-0.379730,0.000000
3541.000000,0.000000,121.799469,127.000000,119.000000,118.000000,145.000000,126.266273,120.428986,116.536446,140.696854,-0.997782,-0.066965,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,68.799591,0.000000,0.194344,0.000000
3551.000000,0.000000,121.891174,128.000000,121.000000,113.000000,144.000000,126.266273,120.428986,116.536446,144.694550,-0.997638,-0.067476,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,64.801895,0.000000,1.153419,0.000000
3561.000000,0.000000,121.962410,132.000000,115.000000,117.000000,141.000000,127.265739,120.428986,115.533562,144.694550,-0.997635,-0.066783,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,63.799011,0.000000,-0.075394,0.000000
3571.000000,0.000000,122.018036,127.000000,120.000000,116.000000,144.000000,127.265739,121.433197,114.532143,144.694550,-0.997547,-0.067023,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,62.797592,0.000000,-0.056862,0.000000
3581.000000,0.000000,121.950676,131.000000,118.000000,116.000000,139.000000,130.261368,119.434677,114.532143,141.695908,-0.997725,-0.064581,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,65.796234,0.000000,-0.544899,0.000000
3591.000000,0.000000,121.622002,127.000000,119.000000,115.000000,137.000000,126.263222,120.436249,114.530891,139.698914,-0.998014,-0.061182,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,67.791977,0.000000,-1.184296,0.000000
3601.000000,0.000000,121.200035,127.000000,118.000000,112.000000,138.000000,126.261795,119.437363,113.529259,138.699081,-0.997852,-0.062397,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,67.790176,0.000000,-0.452759,0.000000
3611.000000,0.000000,120.871346,127.000000,117.000000,117.000000,138.000000,126.261795,119.437363,113.529259,138.697906,-0.997757,-0.062978,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,67.791351,0.000000,0.383072,0.000000
3621.000000,0.000000,120.615440,130.000000,121.000000,115.000000,139.000000,126.263039,119.437363,113.528305,138.699081,-0.997596,-0.064077,0.000000,0.000000,0.000000,0.000000,1.000000,15.000000,4.000000,67.789230,0.000000,0.303467,0.000000
