I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24
10314.000000,-0.065855,-0.464403,0.030765,0.045353,-0.043069,-0.997773,2.426875,2.017924,0.279784,93.514275,118.674698,102.414299,103.761345,-0.001294,105.143234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10315.000000,-0.062572,-0.472804,0.027902,0.045335,-0.042985,-0.997774,2.426891,2.017920,0.279770,93.514275,118.674698,102.414299,103.761345,-0.001384,105.143234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10316.000000,-0.061221,-0.480261,0.025277,0.045322,-0.042936,-0.997796,2.426907,2.017908,0.279756,93.514275,118.674698,102.414299,103.761345,-0.001472,105.143234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10317.000000,-0.061129,-0.485210,0.025865,0.045315,-0.042876,-0.997825,2.426921,2.017890,0.279741,93.514275,118.674698,102.414299,103.761345,-0.001558,105.143234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10318.000000,-0.061938,-0.486280,0.029630,0.045324,-0.042830,-0.997853,2.426932,2.017871,0.279726,93.514275,118.674698,102.414299,103.761345,-0.001643,105.143234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10322.000000,-0.063027,-0.484318,0.034011,0.045326,-0.042787,-0.997890,2.426941,2.017855,0.279711,98.506714,113.682205,103.412842,109.752174,-0.001582,105.525719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10323.000000,-0.088128,-0.459182,0.038722,0.045340,-0.042764,-0.998047,2.426912,2.017843,0.279654,98.506714,113.682205,103.412842,109.752174,-0.001350,105.525719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10324.000000,-0.091603,-0.449416,0.037559,0.045342,-0.042791,-0.998090,2.426892,2.017863,0.279640,98.506714,113.682205,103.412842,109.752174,-0.001295,105.525719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10325.000000,-0.093009,-0.441805,0.039048,0.045362,-0.042843,-0.998111,2.426872,2.017890,0.279627,98.506714,113.682205,103.412842,109.752174,-0.001241,105.525719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10326.000000,-0.091510,-0.436461,0.042808,0.045373,-0.042887,-0.998120,2.426856,2.017923,0.279615,98.506714,113.682205,103.412842,109.752174,-0.001188,105.525719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
