I0,I1,I2,I3,I4,I5,I6,I7,I8
751.000,650.000,666.000,693.000,731.000,659.000,677.000,687.000,688.000
751.000,650.000,666.000,693.000,731.000,659.000,677.000,687.000,688.000
751.000,650.000,666.000,693.000,731.000,659.000,677.000,687.000,688.000
755.000,659.000,672.000,688.000,735.000,668.000,683.000,682.000,692.000
755.000,659.000,672.000,688.000,735.000,668.000,683.000,682.000,692.000
755.000,645.000,668.000,690.000,735.000,654.000,679.000,684.000,688.000
755.000,645.000,668.000,690.000,735.000,654.000,679.000,684.000,688.000
755.000,645.000,668.000,690.000,735.000,654.000,679.000,684.000,688.000
756.000,652.000,666.000,694.000,736.000,661.000,677.000,688.000,690.000
756.000,652.000,666.000,694.000,736.000,661.000,677.000,688.000,690.000
752.000,659.000,662.000,688.000,732.000,668.000,673.000,682.000,688.000
752.000,659.000,662.000,688.000,732.000,668.000,673.000,682.000,688.000
752.000,659.000,662.000,688.000,732.000,668.000,673.000,682.000,688.000
751.000,655.000,664.000,693.000,731.000,664.000,675.000,687.000,689.000
751.000,655.000,664.000,693.000,731.000,664.000,675.000,687.000,689.000
758.000,647.000,667.000,689.000,738.000,656.000,678.000,683.000,688.000
758.000,647.000,667.000,689.000,738.000,656.000,678.000,683.000,688.000
758.000,647.000,667.000,689.000,738.000,656.000,678.000,683.000,688.000
760.000,655.000,669.000,693.000,740.000,664.000,680.000,687.000,692.000
760.000,655.000,669.000,693.000,740.000,664.000,680.000,687.000,692.000
750.000,663.000,666.000,690.000,730.000,672.000,677.000,684.000,690.000
750.000,663.000,666.000,690.000,730.000,672.000,677.000,684.000,690.000
750.000,663.000,666.000,690.000,730.000,672.000,677.000,684.000,690.000
749.000,659.000,669.000,693.000,729.000,668.000,680.000,687.000,691.000
749.000,659.000,669.000,693.000,729.000,668.000,680.000,687.000,691.000
752.000,647.000,673.000,694.000,732.000,656.000,684.000,688.000,690.000
752.000,647.000,673.000,694.000,732.000,656.000,684.000,688.000,690.000
752.000,647.000,673.000,694.000,732.000,656.000,684.000,688.000,690.000
749.000,655.000,675.000,694.000,729.000,664.000,686.000,688.000,691.000
749.000,655.000,675.000,694.000,729.000,664.000,686.000,688.000,691.000
758.000,653.000,676.000,694.000,738.000,662.000,687.000,688.000,693.000
758.000,653.000,676.000,694.000,738.000,662.000,687.000,688.000,693.000
758.000,653.000,676.000,694.000,738.000,662.000,687.000,688.000,693.000
747.000,656.000,670.000,686.000,727.000,665.000,681.000,680.000,688.000
747.000,656.000,670.000,686.000,727.000,665.000,681.000,680.000,688.000
752.000,654.000,673.000,691.000,732.000,663.000,684.000,685.000,691.000
752.000,654.000,673.000,691.000,732.000,663.000,684.000,685.000,691.000
752.000,654.000,673.000,691.000,732.000,663.000,684.000,685.000,691.000
744.000,655.000,668.000,698.000,724.000,664.000,679.000,692.000,689.000
744.000,655.000,668.000,698.000,724.000,664.000,679.000,692.000,689.000
754.000,651.000,674.000,685.000,734.000,660.000,685.000,679.000,689.000
754.000,651.000,674.000,685.000,734.000,660.000,685.000,679.000,689.000
754.000,651.000,674.000,685.000,734.000,660.000,685.000,679.000,689.000
755.000,657.000,674.000,692.000,735.000,666.000,685.000,686.000,693.000
