I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
23550.000000,-0.018760,1.400953,0.002976,0.494031,0.012798,995.963257,1.000000,-6.309031,-1.770034
23551.000000,-0.007645,1.400945,0.012790,0.494031,0.022415,995.963257,1.000000,-6.309459,-1.772187
23552.000000,0.003794,1.400949,0.022419,0.494031,0.031851,995.963257,1.000000,-6.309629,-1.774251
23553.000000,0.012708,1.400962,0.031863,0.494031,0.041107,995.963257,1.000000,-6.309731,-1.776192
23554.000000,0.019088,1.400981,0.041126,0.494031,0.050184,995.963257,1.000000,-6.309919,-1.778108
23555.000000,0.028263,1.401009,0.050212,0.494031,0.059089,995.963257,1.000000,-6.310315,-1.780057
23556.000000,0.037825,1.401047,0.059126,0.494031,0.067825,995.963257,1.000000,-6.311007,-1.782050
23557.000000,0.040724,1.401088,0.067865,0.494031,0.076389,995.963257,1.000000,-6.312035,-1.784077
23559.000000,0.042977,1.401171,0.067942,-0.350061,0.059582,992.462646,1.000000,-6.314804,-1.788456
23560.000000,0.048256,1.401219,0.059630,-0.350061,0.051436,992.462646,1.000000,-6.316197,-1.790768
23561.000000,0.052523,1.401272,0.051489,-0.350061,0.043458,992.462646,1.000000,-6.317361,-1.793001
23562.000000,0.053029,1.401325,0.043511,-0.350061,0.035640,992.462646,1.000000,-6.318203,-1.795077
23563.000000,0.048413,1.401373,0.035688,-0.350061,0.027973,992.462646,1.000000,-6.318710,-1.797012
23564.000000,0.042490,1.401416,0.028015,-0.350061,0.020454,992.462646,1.000000,-6.318861,-1.798862
23565.000000,0.039221,1.401455,0.020493,-0.350061,0.013082,992.462646,1.000000,-6.318698,-1.800627
23566.000000,0.034807,1.401490,0.013117,-0.350061,0.005853,992.462646,1.000000,-6.318364,-1.802269
23567.000000,0.025929,1.401516,0.005879,-0.350061,-0.001240,992.462646,1.000000,-6.318057,-1.803823
23570.000000,0.010246,1.401558,0.000729,0.047443,0.001664,992.937073,1.000000,-6.318830,-1.808534
23571.000000,0.002489,1.401560,0.001666,0.047443,0.002582,992.937073,1.000000,-6.319998,-1.810042
23572.000000,-0.007224,1.401553,0.002574,0.047443,0.003472,992.937073,1.000000,-6.321579,-1.811546
23573.000000,-0.015170,1.401538,0.003457,0.047443,0.004336,992.937073,1.000000,-6.323380,-1.813111
23574.000000,-0.021501,1.401516,0.004315,0.047443,0.005177,992.937073,1.000000,-6.325153,-1.814701
23575.000000,-0.028189,1.401488,0.005149,0.047443,0.005995,992.937073,1.000000,-6.326694,-1.816204
23576.000000,-0.037310,1.401451,0.005958,0.047443,0.006787,992.937073,1.000000,-6.327835,-1.817560
23577.000000,-0.049031,1.401402,0.006738,0.047443,0.007552,992.937073,1.000000,-6.328499,-1.818806
23579.000000,-0.075609,1.401265,0.000255,-0.350513,-0.006760,989.431946,1.000000,-6.328686,-1.821064
23580.000000,-0.092525,1.401172,-0.006853,-0.350513,-0.013726,989.431946,1.000000,-6.328618,-1.822056
23581.000000,-0.109708,1.401063,-0.013836,-0.350513,-0.020569,989.431946,1.000000,-6.328705,-1.823026
23582.000000,-0.122999,1.400940,-0.020692,-0.350513,-0.027288,989.431946,1.000000,-6.329056,-1.824054
23583.000000,-0.130701,1.400809,-0.027419,-0.350513,-0.033881,989.431946,1.000000,-6.329721,-1.825150
23584.000000,-0.134616,1.400674,-0.034016,-0.350513,-0.040346,989.431946,1.000000,-6.330688,-1.826289
23585.000000,-0.136595,1.400538,-0.040482,-0.350513,-0.046683,989.431946,1.000000,-6.331864,-1.827461
23586.000000,-0.137142,1.400401,-0.046820,-0.350513,-0.052894,989.431946,1.000000,-6.333092,-1.828674
23587.000000,-0.137119,1.400264,-0.053031,-0.350513,-0.058981,989.431946,1.000000,-6.334216,-1.829906
23590.000000,-0.134351,1.399857,-0.039409,0.445313,-0.029715,993.885071,1.000000,-6.336020,-1.833223
23591.000000,-0.134804,1.399722,-0.029850,0.445313,-0.020346,993.885071,1.000000,-6.336067,-1.834158
23592.000000,-0.136190,1.399586,-0.020483,0.445313,-0.011167,993.885071,1.000000,-6.335929,-1.834978
23593.000000,-0.137841,1.399448,-0.011305,0.445313,-0.002172,993.885071,1.000000,-6.335706,-1.835725
23594.000000,-0.138127,1.399310,-0.002310,0.445313,0.006642,993.885071,1.000000,-6.335524,-1.836473
23595.000000,-0.135757,1.399174,0.006506,0.445313,0.015283,993.885071,1.000000,-6.335502,-1.837243
23650.000000,0.022213,1.396296,-0.026321,0.599475,-0.013805,995.899902,1.000000,-6.307746,-1.860756
23651.000000,0.023314,1.396320,-0.013782,0.599475,-0.001517,995.899902,1.000000,-6.306944,-1.861478
23652.000000,0.025166,1.396345,-0.001492,0.599475,0.010528,995.899902,1.000000,-6.305906,-1.862305
23653.000000,0.028746,1.396374,0.010556,0.599475,0.022335,995.899902,1.000000,-6.304564,-1.863148
23654.000000,0.028990,1.396403,0.022364,0.599475,0.033906,995.899902,1.000000,-6.302889,-1.863935
23655.000000,0.027124,1.396430,0.033933,0.599475,0.045244,995.899902,1.000000,-6.300881,-1.864645
23656.000000,0.027635,1.396457,0.045272,0.599475,0.056356,995.899902,1.000000,-6.298637,-1.865307
23657.000000,0.031032,1.396488,0.056387,0.599475,0.067248,995.899902,1.000000,-6.296368,-1.865907
23659.000000,0.065750,1.396596,0.058112,-0.394922,0.049051,991.950684,1.000000,-6.292228,-1.867202
23660.000000,0.097685,1.396694,0.049149,-0.394922,0.040267,991.950684,1.000000,-6.290133,-1.868146
23661.000000,0.130569,1.396824,0.040398,-0.394922,0.031692,991.950684,1.000000,-6.288041,-1.869341
23662.000000,0.162234,1.396986,0.031854,-0.394922,0.023318,991.950684,1.000000,-6.286188,-1.870713
23663.000000,0.186938,1.397173,0.023505,-0.394922,0.015137,991.950684,1.000000,-6.284656,-1.872188
23664.000000,0.202436,1.397376,0.015339,-0.394922,0.007134,991.950684,1.000000,-6.283401,-1.873678
23665.000000,0.211489,1.397587,0.007345,-0.394922,-0.000700,991.950684,1.000000,-6.282388,-1.875063
23666.000000,0.215760,1.397803,-0.000484,-0.394922,-0.008373,991.950684,1.000000,-6.281594,-1.876250
23667.000000,0.214641,1.398018,-0.008158,-0.394922,-0.015894,991.950684,1.000000,-6.280921,-1.877220
23670.000000,0.201259,1.398634,-0.010634,0.101660,-0.008389,992.967285,1.000000,-6.279078,-1.879243
23671.000000,0.194371,1.398829,-0.008194,0.101660,-0.005997,992.967285,1.000000,-6.278840,-1.879813
23672.000000,0.185041,1.399014,-0.005812,0.101660,-0.003663,992.967285,1.000000,-6.278910,-1.880452
23673.000000,0.177953,1.399192,-0.003485,0.101660,-0.001382,992.967285,1.000000,-6.279324,-1.881171
23674.000000,0.174071,1.399366,-0.001208,0.101660,0.000850,992.967285,1.000000,-6.280048,-1.881965
23675.000000,0.169023,1.399535,0.001019,0.101660,0.003032,992.967285,1.000000,-6.280931,-1.882854
23676.000000,0.160190,1.399695,0.003192,0.101660,0.005161,992.967285,1.000000,-6.281754,-1.883837
23677.000000,0.148674,1.399844,0.005310,0.101660,0.007237,992.967285,1.000000,-6.282339,-1.884860
23679.000000,0.121129,1.400100,0.005345,-0.100049,0.003237,991.966797,1.000000,-6.282628,-1.886703
23680.000000,0.103610,1.400204,0.003341,-0.100049,0.001273,991.966797,1.000000,-6.282352,-1.887442
23681.000000,0.085494,1.400290,0.001359,-0.100049,-0.000669,991.966797,1.000000,-6.281778,-1.888067
23682.000000,0.070698,1.400360,-0.000599,-0.100049,-0.002588,991.966797,1.000000,-6.280915,-1.888581
23683.000000,0.057538,1.400418,-0.002530,-0.100049,-0.004481,991.966797,1.000000,-6.279864,-1.889001
23684.000000,0.040449,1.400458,-0.004440,-0.100049,-0.006352,991.966797,1.000000,-6.278808,-1.889388
23685.000000,0.021768,1.400480,-0.006331,-0.100049,-0.008205,991.966797,1.000000,-6.277947,-1.889822
23686.000000,0.007799,1.400488,-0.008197,-0.100049,-0.010034,991.966797,1.000000,-6.277400,-1.890349
23687.000000,-0.000845,1.400487,-0.010035,-0.100049,-0.011835,991.966797,1.000000,-6.277203,-1.891009
23690.000000,0.001915,1.400483,-0.017247,-0.148401,-0.019870,990.482788,1.000000,-6.277448,-1.894104
23691.000000,0.007856,1.400491,-0.019862,-0.148401,-0.022433,990.482788,1.000000,-6.277021,-1.895442
23692.000000,0.012720,1.400504,-0.022420,-0.148401,-0.024940,990.482788,1.000000,-6.276309,-1.896778
23693.000000,0.011447,1.400515,-0.024929,-0.148401,-0.027398,990.482788,1.000000,-6.275372,-1.898016
23694.000000,0.006181,1.400521,-0.027392,-0.148401,-0.029812,990.482788,1.000000,-6.274279,-1.899107
23695.000000,0.000990,1.400522,-0.029811,-0.148401,-0.032183,990.482788,1.000000,-6.273169,-1.900038
23696.000000,-0.004699,1.400517,-0.032188,-0.148401,-0.034512,990.482788,1.000000,-6.272225,-1.900833
23697.000000,-0.014679,1.400503,-0.034526,-0.148401,-0.036804,990.482788,1.000000,-6.271619,-1.901536
23699.000000,-0.033539,1.400443,-0.038105,-0.098883,-0.039320,989.493958,1.000000,-6.271698,-1.902930
23700.000000,-0.035918,1.400407,-0.039356,-0.098883,-0.040547,989.493958,1.000000,-6.272312,-1.903792
23701.000000,-0.035308,1.400372,-0.040582,-0.098883,-0.041748,989.493958,1.000000,-6.273251,-1.904819
23702.000000,-0.035203,1.400337,-0.041783,-0.098883,-0.042925,989.493958,1.000000,-6.274451,-1.905947
23703.000000,-0.035194,1.400301,-0.042961,-0.098883,-0.044079,989.493958,1.000000,-6.275786,-1.907092
23704.000000,-0.031957,1.400270,-0.044111,-0.098883,-0.045206,989.493958,1.000000,-6.277080,-1.908235
23705.000000,-0.029020,1.400241,-0.045235,-0.098883,-0.046308,989.493958,1.000000,-6.278148,-1.909360
23706.000000,-0.030149,1.400210,-0.046339,-0.098883,-0.047389,989.493958,1.000000,-6.278873,-1.910411
23707.000000,-0.033721,1.400177,-0.047423,-0.098883,-0.048452,989.493958,1.000000,-6.279230,-1.911370
23710.000000,-0.084839,1.399989,-0.033029,0.345697,-0.025454,992.950928,1.000000,-6.280128,-1.913867
23711.000000,-0.106760,1.399882,-0.025561,0.345697,-0.018136,992.950928,1.000000,-6.281207,-1.914573
23712.000000,-0.125458,1.399757,-0.018261,0.345697,-0.010982,992.950928,1.000000,-6.282622,-1.915319
23713.000000,-0.139870,1.399617,-0.011122,0.345697,-0.003986,992.950928,1.000000,-6.284276,-1.916171
23714.000000,-0.149824,1.399467,-0.004136,0.345697,0.002861,992.950928,1.000000,-6.286064,-1.917147
23715.000000,-0.153947,1.399313,0.002707,0.345697,0.009567,992.950928,1.000000,-6.287777,-1.918232
23716.000000,-0.152373,1.399161,0.009415,0.345697,0.016140,992.950928,1.000000,-6.289153,-1.919402
23717.000000,-0.147440,1.399013,0.015993,0.345697,0.022587,992.950928,1.000000,-6.290030,-1.920630
23719.000000,-0.144024,1.398726,0.019811,-0.101941,0.017376,991.931519,1.000000,-6.290361,-1.923084
23720.000000,-0.141454,1.398584,0.017235,-0.101941,0.014851,991.931519,1.000000,-6.289974,-1.924184
23721.000000,-0.133166,1.398451,0.014718,-0.101941,0.012385,991.931519,1.000000,-6.289246,-1.925243
23722.000000,-0.122399,1.398328,0.012263,-0.101941,0.009978,991.931519,1.000000,-6.288235,-1.926313
23723.000000,-0.113332,1.398215,0.009865,-0.101941,0.007629,991.931519,1.000000,-6.287130,-1.927445
23724.000000,-0.107155,1.398108,0.007522,-0.101941,0.005333,991.931519,1.000000,-6.286145,-1.928637
23725.000000,-0.100741,1.398007,0.005232,-0.101941,0.003088,991.931519,1.000000,-6.285421,-1.929880
23726.000000,-0.092143,1.397915,0.002996,-0.101941,0.000898,991.931519,1.000000,-6.285038,-1.931176
23727.000000,-0.083125,1.397832,0.000814,-0.101941,-0.001241,991.931519,1.000000,-6.285041,-1.932477
23730.000000,-0.051889,1.397632,-0.009244,-0.198425,-0.013028,989.947266,1.000000,-6.286551,-1.935839
23731.000000,-0.025423,1.397607,-0.013054,-0.198425,-0.016761,989.947266,1.000000,-6.287022,-1.936714
23732.000000,-0.001918,1.397605,-0.016763,-0.198425,-0.020396,989.947266,1.000000,-6.287321,-1.937535
23733.000000,0.016475,1.397621,-0.020380,-0.198425,-0.023941,989.947266,1.000000,-6.287424,-1.938270
23734.000000,0.035669,1.397657,-0.023905,-0.198425,-0.027395,989.947266,1.000000,-6.287351,-1.938886
23735.000000,0.057534,1.397714,-0.027338,-0.198425,-0.030760,989.947266,1.000000,-6.287170,-1.939439
23736.000000,0.075834,1.397790,-0.030684,-0.198425,-0.034039,989.947266,1.000000,-6.286990,-1.940022
23737.000000,0.084734,1.397875,-0.033954,-0.198425,-0.037243,989.947266,1.000000,-6.286922,-1.940672
23739.000000,0.108559,1.398076,-0.027375,0.446204,-0.017904,994.409302,1.000000,-6.287076,-1.942148
23740.000000,0.128923,1.398205,-0.017775,0.446204,-0.008495,994.409302,1.000000,-6.286942,-1.943058
23741.000000,0.144819,1.398350,-0.008350,0.446204,0.000741,994.409302,1.000000,-6.286623,-1.944060
23742.000000,0.155022,1.398505,0.000896,0.446204,0.009802,994.409302,1.000000,-6.286228,-1.945038
23743.000000,0.164053,1.398669,0.009966,0.446204,0.018691,994.409302,1.000000,-6.285736,-1.945899
23744.000000,0.175429,1.398844,0.018866,0.446204,0.027413,994.409302,1.000000,-6.285110,-1.946583
23745.000000,0.184375,1.399029,0.027597,0.446204,0.035969,994.409302,1.000000,-6.284411,-1.947041
23746.000000,0.188338,1.399217,0.036158,0.446204,0.044359,994.409302,1.000000,-6.283777,-1.947239
23747.000000,0.191682,1.399409,0.044550,0.446204,0.052583,994.409302,1.000000,-6.283279,-1.947193
23750.000000,0.181209,1.399973,0.047132,-0.099036,0.044208,993.418945,1.000000,-6.282948,-1.946482
23751.000000,0.169855,1.400142,0.044378,-0.099036,0.041510,993.418945,1.000000,-6.283461,-1.946248
23752.000000,0.155679,1.400298,0.041666,-0.099036,0.038852,993.418945,1.000000,-6.284297,-1.946093
23753.000000,0.139114,1.400437,0.038991,-0.099036,0.036230,993.418945,1.000000,-6.285400,-1.946040
23754.000000,0.121041,1.400558,0.036351,-0.099036,0.033643,993.418945,1.000000,-6.286629,-1.946053
23755.000000,0.104505,1.400663,0.033748,-0.099036,0.031092,993.418945,1.000000,-6.287750,-1.946068
23756.000000,0.091551,1.400754,0.031184,-0.099036,0.028579,993.418945,1.000000,-6.288544,-1.946035
23757.000000,0.079983,1.400834,0.028659,-0.099036,0.026106,993.418945,1.000000,-6.288897,-1.945933
23759.000000,0.053419,1.400955,0.020716,-0.249347,0.015314,990.925476,1.000000,-6.288373,-1.945408
23760.000000,0.043608,1.400998,0.015358,-0.249347,0.010064,990.925476,1.000000,-6.287672,-1.944919
23761.000000,0.037350,1.401036,0.010101,-0.249347,0.004912,990.925476,1.000000,-6.286835,-1.944367
23762.000000,0.029550,1.401065,0.004942,-0.249347,-0.000144,990.925476,1.000000,-6.286046,-1.943866
23763.000000,0.020799,1.401086,-0.000123,-0.249347,-0.005108,990.925476,1.000000,-6.285455,-1.943440
23764.000000,0.014042,1.401100,-0.005094,-0.249347,-0.009979,990.925476,1.000000,-6.285133,-1.943076
23765.000000,0.010062,1.401110,-0.009969,-0.249347,-0.014756,990.925476,1.000000,-6.285098,-1.942800
23766.000000,0.005946,1.401116,-0.014750,-0.249347,-0.019442,990.925476,1.000000,-6.285330,-1.942626
23767.000000,-0.002513,1.401114,-0.019445,-0.249347,-0.024043,990.925476,1.000000,-6.285717,-1.942485
23770.000000,-0.014513,1.401076,-0.017194,0.149823,-0.013854,992.423706,1.000000,-6.284809,-1.941687
23771.000000,-0.022019,1.401054,-0.013876,0.149823,-0.010602,992.423706,1.000000,-6.283076,-1.941233
23772.000000,-0.032812,1.401021,-0.010635,0.149823,-0.007426,992.423706,1.000000,-6.280872,-1.940583
23773.000000,-0.039812,1.400982,-0.007465,0.149823,-0.004320,992.423706,1.000000,-6.278399,-1.939772
23774.000000,-0.041963,1.400940,-0.004362,0.149823,-0.001278,992.423706,1.000000,-6.275870,-1.938909
23775.000000,-0.044889,1.400895,-0.001323,0.149823,0.001700,992.423706,1.000000,-6.273591,-1.938051
23776.000000,-0.049635,1.400845,0.001651,0.149823,0.004614,992.423706,1.000000,-6.271834,-1.937181
23777.000000,-0.050634,1.400795,0.004563,0.149823,0.007469,992.423706,1.000000,-6.270684,-1.936329
23779.000000,-0.044314,1.400703,0.011267,0.201917,0.015080,994.442871,1.000000,-6.269808,-1.935044
23780.000000,-0.045002,1.400658,0.015035,0.201917,0.018772,994.442871,1.000000,-6.269719,-1.934534
23781.000000,-0.046561,1.400611,0.018726,0.201917,0.022389,994.442871,1.000000,-6.269571,-1.933980
23782.000000,-0.044868,1.400566,0.022345,0.201917,0.025936,994.442871,1.000000,-6.269201,-1.933338
23783.000000,-0.045295,1.400521,0.025891,0.201917,0.029411,994.442871,1.000000,-6.268497,-1.932583
23784.000000,-0.051514,1.400469,0.029360,0.201917,0.032811,994.442871,1.000000,-6.267432,-1.931685
23785.000000,-0.059520,1.400410,0.032751,0.201917,0.036135,994.442871,1.000000,-6.266035,-1.930592
23786.000000,-0.063401,1.400346,0.036071,0.201917,0.039388,994.442871,1.000000,-6.264366,-1.929388
23787.000000,-0.063707,1.400283,0.039324,0.201917,0.042576,994.442871,1.000000,-6.262567,-1.928227
23790.000000,-0.053903,1.400105,0.034895,-0.147003,0.031257,992.972839,1.000000,-6.258281,-1.925634
23791.000000,-0.040570,1.400064,0.031216,-0.147003,0.027652,992.972839,1.000000,-6.257367,-1.925285
23792.000000,-0.029288,1.400035,0.027622,-0.147003,0.024130,992.972839,1.000000,-6.256681,-1.925157
23793.000000,-0.022884,1.400012,0.024107,-0.147003,0.020685,992.972839,1.000000,-6.256149,-1.925036
23794.000000,-0.016932,1.399995,0.020668,-0.147003,0.017314,992.972839,1.000000,-6.255596,-1.924807
23795.000000,-0.010712,1.399984,0.017304,-0.147003,0.014018,992.972839,1.000000,-6.254865,-1.924460
23796.000000,-0.007465,1.399977,0.014010,-0.147003,0.010790,992.972839,1.000000,-6.253895,-1.924011
23797.000000,-0.010169,1.399967,0.010780,-0.147003,0.007624,992.972839,1.000000,-6.252704,-1.923363
23799.000000,-0.012420,1.399940,0.011463,0.200861,0.015251,994.981445,1.000000,-6.249762,-1.921499
23800.000000,-0.009893,1.399931,0.015241,0.200861,0.018953,994.981445,1.000000,-6.248141,-1.920589
23801.000000,-0.009378,1.399921,0.018944,0.200861,0.022582,994.981445,1.000000,-6.246669,-1.919798
23802.000000,-0.008547,1.399913,0.022574,0.200861,0.026140,994.981445,1.000000,-6.245488,-1.919048
23803.000000,-0.005081,1.399907,0.026134,0.200861,0.029629,994.981445,1.000000,-6.244582,-1.918307
23804.000000,0.002849,1.399910,0.029632,0.200861,0.033056,994.981445,1.000000,-6.243894,-1.917650
23805.000000,0.014446,1.399925,0.033071,0.200861,0.036427,994.981445,1.000000,-6.243433,-1.917129
23806.000000,0.023748,1.399948,0.036450,0.200861,0.039739,994.981445,1.000000,-6.243196,-1.916715
23807.000000,0.029416,1.399978,0.039768,0.200861,0.042990,994.981445,1.000000,-6.243097,-1.916281
23810.000000,0.026126,1.400072,0.033599,-0.196472,0.028998,993.016724,1.000000,-6.242584,-1.914306
23811.000000,0.012548,1.400085,0.029010,-0.196472,0.024501,993.016724,1.000000,-6.242239,-1.913257
23812.000000,-0.000345,1.400084,0.024500,-0.196472,0.020081,993.016724,1.000000,-6.241812,-1.912004
23813.000000,-0.011486,1.400073,0.020069,-0.196472,0.015739,993.016724,1.000000,-6.241301,-1.910640
23814.000000,-0.022853,1.400050,0.015716,-0.196472,0.011472,993.016724,1.000000,-6.240767,-1.909314
23815.000000,-0.035835,1.400014,0.011436,-0.196472,0.007278,993.016724,1.000000,-6.240351,-1.908089
23840.000000,-0.051162,1.398412,-0.039033,0.297314,-0.032306,993.020020,1.000000,-6.245894,-1.895581
23841.000000,-0.053437,1.398358,-0.032359,0.297314,-0.025766,993.020020,1.000000,-6.245409,-1.895660
23842.000000,-0.055849,1.398302,-0.025822,0.297314,-0.019359,993.020020,1.000000,-6.245111,-1.895803
23843.000000,-0.055372,1.398247,-0.019414,0.297314,-0.013080,993.020020,1.000000,-6.244989,-1.896066
23844.000000,-0.052691,1.398194,-0.013132,0.297314,-0.006923,993.020020,1.000000,-6.245001,-1.896463
23845.000000,-0.051757,1.398143,-0.006975,0.297314,-0.000889,993.020020,1.000000,-6.245057,-1.896927
23846.000000,-0.050900,1.398092,-0.000940,0.297314,0.005025,993.020020,1.000000,-6.245039,-1.897319
23847.000000,-0.046427,1.398045,0.004978,0.297314,0.010825,993.020020,1.000000,-6.244819,-1.897601
23850.000000,-0.048560,1.397911,0.006347,-0.098926,0.004242,992.030762,1.000000,-6.242452,-1.897683
23851.000000,-0.050980,1.397860,0.004191,-0.098926,0.002129,992.030762,1.000000,-6.241261,-1.897323
23852.000000,-0.052361,1.397808,0.002076,-0.098926,0.000056,992.030762,1.000000,-6.240003,-1.896966
23853.000000,-0.053164,1.397755,0.000003,-0.098926,-0.001975,992.030762,1.000000,-6.238813,-1.896727
