I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
2013.000000,1400.000000,8192.000000,8192.000000,8192.000000,8192.000000,0.899773,-0.505787,0.286709,8192.000000,8192.000000,8192.000000,8192.000000,-0.869188,-1.387138,0.000000
2101.000000,121.679199,120.000000,120.000000,120.000000,147.000000,0.806848,-0.381558,-0.386128,118.090935,120.170456,117.814697,145.220047,-1.009340,-0.025319,0.000000
2187.000000,119.505402,116.000000,119.000000,118.000000,143.000000,0.956425,-0.405473,-0.361762,116.933723,120.858879,118.249649,138.575882,-1.007794,-0.043822,0.000000
2274.000000,119.233978,125.000000,116.000000,126.000000,141.000000,0.878390,-0.370058,-0.163019,123.663536,117.706467,114.067406,141.240784,-0.997104,-0.148200,0.000000
2343.000000,119.872971,120.000000,120.000000,121.000000,146.000000,0.869755,-0.467063,-0.445839,120.736404,119.838165,117.157486,143.137222,-0.997973,-0.139693,0.000000
2363.000000,121.365059,120.000000,115.000000,123.000000,143.000000,0.851190,-0.473782,-0.388596,121.704628,119.784821,120.180420,144.251083,-1.014515,0.023324,0.000000
2384.000000,119.852699,117.000000,117.000000,118.000000,141.000000,0.852523,-0.480436,-0.456172,118.697319,118.790886,116.174919,142.264526,-1.026246,0.139409,0.000000
2404.000000,118.765137,116.000000,115.000000,120.000000,142.000000,0.849049,-0.483191,-0.405063,116.688293,116.792374,115.173874,141.274200,-1.009052,-0.029754,0.000000
2425.000000,119.176262,119.000000,120.000000,117.000000,143.000000,0.859050,-0.479459,-0.448706,119.701782,121.797783,116.167290,142.259781,-0.989136,-0.224499,0.000000
2445.000000,119.804054,114.000000,124.000000,119.000000,146.000000,0.862782,-0.480281,-0.432522,114.713394,125.807251,118.156433,145.247986,-0.988043,-0.235201,0.000000
2466.000000,119.339935,120.000000,121.000000,118.000000,140.000000,0.861063,-0.482805,-0.429391,120.705193,122.806862,117.157555,139.256195,-0.993355,-0.183936,0.000000
2486.000000,119.051811,114.000000,120.000000,123.000000,144.000000,0.859802,-0.483918,-0.455214,114.705711,120.809288,121.155411,143.255966,-0.998531,-0.133300,0.000000
2507.000000,119.573372,119.000000,115.000000,121.000000,141.000000,0.857853,-0.485658,-0.420611,119.696754,116.805672,119.159462,143.264389,-1.000293,-0.114790,0.000000
2527.000000,118.362076,113.000000,113.000000,117.000000,140.000000,0.866772,-0.486874,-0.468599,113.709259,114.821632,115.145515,140.252579,-1.000672,-0.111602,0.000000
2547.000000,117.736214,112.000000,118.000000,118.000000,142.000000,0.863229,-0.487924,-0.428478,111.706154,119.817444,116.147736,140.257614,-1.001444,-0.104518,0.000000
2568.000000,118.160378,116.000000,120.000000,122.000000,142.000000,0.868986,-0.488186,-0.467741,116.709465,121.823090,120.138130,141.249542,-0.996336,-0.153945,0.000000
2588.000000,119.133606,115.000000,119.000000,119.000000,144.000000,0.868159,-0.489889,-0.447560,116.710426,120.827408,117.136520,143.250168,-0.996494,-0.152907,0.000000
2608.000000,120.591354,119.000000,121.000000,121.000000,144.000000,0.867311,-0.489113,-0.457698,121.705505,122.823029,119.140457,143.252838,-0.995689,-0.161166,0.000000
2628.000000,119.459602,120.000000,117.000000,117.000000,144.000000,0.868569,-0.490089,-0.471132,114.710007,118.827187,115.137383,143.251434,-0.998032,-0.137524,0.000000
2649.000000,118.972252,111.000000,117.000000,120.000000,143.000000,0.868947,-0.491380,-0.452035,111.708412,115.828392,118.136154,142.254517,-0.997485,-0.142780,0.000000
2669.000000,119.520699,113.000000,118.000000,123.000000,145.000000,0.872653,-0.490770,-0.485380,113.714188,119.833839,121.129425,144.246445,-0.999052,-0.127964,0.000000
2690.000000,119.836159,120.000000,121.000000,120.000000,144.000000,0.869300,-0.491976,-0.456494,120.706871,122.829826,118.133286,144.250900,-0.999477,-0.123513,0.000000
2710.000000,119.313850,113.000000,118.000000,115.000000,141.000000,0.873319,-0.493195,-0.488592,113.712334,119.835922,113.128448,143.249344,-0.998193,-0.135849,0.000000
2731.000000,119.320320,116.000000,117.000000,120.000000,142.000000,0.872405,-0.493653,-0.471038,116.710884,118.837959,118.125725,142.248535,-0.999445,-0.124045,0.000000
2751.000000,119.482185,116.000000,112.000000,121.000000,146.000000,0.874361,-0.493204,-0.484844,116.711792,115.837212,119.125732,144.249298,-0.998234,-0.135640,0.000000
2771.000000,120.438347,122.000000,117.000000,122.000000,141.000000,0.875797,-0.493707,-0.489436,119.715614,118.841789,120.121414,140.245575,-0.998127,-0.136636,0.000000
2792.000000,120.880348,123.000000,118.000000,121.000000,143.000000,0.875729,-0.493792,-0.481725,118.713608,121.840645,118.122444,142.246246,-0.997282,-0.145157,0.000000
2812.000000,120.509407,119.000000,118.000000,116.000000,144.000000,0.879031,-0.493715,-0.503578,115.719772,119.845680,118.117493,143.240204,-0.998850,-0.129640,0.000000
2832.000000,118.905212,123.000000,110.000000,117.000000,145.000000,0.877750,-0.495553,-0.483596,114.716721,111.847763,115.117546,144.243896,-0.998612,-0.131813,0.000000
2851.000000,120.476898,116.000000,118.000000,119.000000,143.000000,0.880474,-0.496703,-0.508408,123.715988,119.850670,122.111717,142.242111,-0.997979,-0.138347,0.000000
2861.000000,120.363174,119.000000,118.000000,119.000000,139.000000,0.880109,-0.497285,-0.508865,119.716507,119.851784,117.111328,142.241501,-0.998230,-0.136013,0.000000
2871.000000,120.274498,119.000000,119.000000,119.000000,145.000000,0.878912,-0.497646,-0.497212,119.714363,119.851906,117.111328,142.241501,-0.998864,-0.129711,0.000000
2881.000000,120.316254,118.000000,117.000000,119.000000,145.000000,0.879025,-0.497434,-0.492913,119.714363,119.851906,117.112602,144.244217,-0.998749,-0.130596,0.000000
2891.000000,120.293549,121.000000,117.000000,117.000000,142.000000,0.881085,-0.497145,-0.505027,119.714363,118.853310,117.112602,144.244217,-0.998157,-0.136228,0.000000
