cutoff_hz,alpha,total_score,x_rms_sum,y_rms_sum,03252307_pmwgyro_dec_x_rms,03252307_pmwgyro_dec_y_rms,03252337_pmwgyro_dec_x_rms,03252337_pmwgyro_dec_y_rms
1.00,0.006263,13.861347,6.729271,7.132076,4.268497,5.418667,2.460774,1.713408
1.25,0.007823,12.765446,6.193037,6.572409,3.983332,5.034105,2.209706,1.538304
1.50,0.009381,11.789767,5.720283,6.069484,3.707120,4.664163,2.013162,1.405321
1.75,0.010935,10.910109,5.297787,5.612323,3.442479,4.311306,1.855307,1.301017
2.00,0.012488,10.113701,4.918114,5.195586,3.191921,3.978217,1.726194,1.217369
2.25,0.014038,9.392862,4.576580,4.816282,2.957336,3.666993,1.619243,1.149289
2.50,0.015585,8.742103,4.269795,4.472308,2.739915,3.378958,1.529880,1.093350
2.75,0.017130,8.156856,3.995004,4.161853,2.540230,3.114726,1.454773,1.047127
3.00,0.018673,7.632962,3.749784,3.883178,2.358374,2.874351,1.391410,1.008827
3.25,0.020213,7.166482,3.531918,3.634564,2.194088,2.657486,1.337830,0.977077
3.50,0.021751,6.753649,3.339344,3.414305,2.046873,2.463508,1.292472,0.950797
3.75,0.023287,6.390857,3.170128,3.220730,1.916064,2.291612,1.254064,0.929118
4.00,0.024820,6.074650,3.022450,3.052201,1.800891,2.140874,1.221559,0.911326
4.25,0.026350,5.801704,2.894590,2.907114,1.700508,2.010280,1.194082,0.896834
4.50,0.027878,5.568798,2.784915,2.783883,1.614015,1.898735,1.170900,0.885147
4.75,0.029404,5.372778,2.691861,2.680917,1.540470,1.805068,1.151391,0.875849
5.00,0.030928,5.210530,2.613922,2.596609,1.478894,1.728021,1.135028,0.868587
5.25,0.032449,5.078963,2.549644,2.529319,1.428283,1.666257,1.121361,0.863062
5.50,0.033967,4.975006,2.497623,2.477383,1.387615,1.618367,1.110007,0.859016
5.75,0.035483,4.895637,2.456507,2.439130,1.355869,1.582898,1.100639,0.856232
6.00,0.036997,4.837915,2.425010,2.412905,1.332035,1.558382,1.092975,0.854523
6.25,0.038509,4.799024,2.401916,2.397108,1.315142,1.543382,1.086774,0.853726
6.50,0.040018,4.776322,2.386096,2.390226,1.304266,1.536521,1.081830,0.853705
6.75,0.041525,4.767375,2.376514,2.390862,1.298548,1.536520,1.077965,0.854342
7.00,0.043029,4.769981,2.372232,2.397749,1.297204,1.542215,1.075028,0.855534
7.25,0.044531,4.782181,2.372414,2.409767,1.299528,1.552574,1.072886,0.857193
7.50,0.046031,4.802262,2.376324,2.425938,1.304896,1.566692,1.071428,0.859246
7.75,0.047528,4.828739,2.383318,2.445421,1.312764,1.583794,1.070555,0.861626
8.00,0.049023,4.860344,2.392841,2.467503,1.322657,1.603224,1.070184,0.864279
8.25,0.050516,4.896002,2.404416,2.491586,1.334174,1.624430,1.070242,0.867156
8.50,0.052006,4.934808,2.417639,2.517169,1.346971,1.646954,1.070667,0.870216
