I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
221.000000,0.000000,0.000000,12.000000,0.000513,-0.004539,0.000000,0.000000,-3.927913,-6.510595,-0.738507,-1.974877,-0.599896
241.000000,0.000000,0.000000,11.000000,-0.000857,-0.001283,0.000000,0.000000,-3.694519,-7.795010,-0.751454,-1.997892,-0.599460
261.000000,0.000000,0.000000,12.000000,0.002195,-0.001636,0.000000,0.000000,-3.176760,-6.709612,-0.763760,-2.020763,-0.599043
281.000000,0.000000,0.000000,14.000000,0.002514,-0.001598,0.000000,0.000000,-2.848057,-7.754071,-0.776438,-2.043155,-0.598611
301.000000,0.000000,0.000000,12.000000,0.003741,-0.002177,0.000000,0.000000,-2.191942,-7.364307,-0.788141,-2.064079,-0.598219
321.000000,0.000000,0.000000,14.000000,0.006691,-0.002750,0.000000,0.000000,-1.820379,-7.726882,-0.801298,-2.087293,-0.597772
341.000000,0.000000,0.000000,12.000000,0.003766,-0.001247,0.000000,0.000000,-1.883425,-8.064754,-0.812253,-2.107900,-0.597381
361.000000,0.000000,0.000000,8.000000,0.002058,-0.004756,0.000000,0.000000,-1.501902,-7.297282,-0.823670,-2.129432,-0.596970
381.000000,0.000000,0.000000,9.000000,-0.000050,-0.001651,0.000000,0.000000,-0.745461,-8.081168,-0.835043,-2.151276,-0.596542
401.000000,0.000000,0.000000,12.000000,-0.000164,-0.001698,0.000000,0.000000,-0.215268,-7.225135,-0.846120,-2.171998,-0.596130
421.000000,0.000000,0.000000,9.000000,-0.000694,-0.005761,0.000000,0.000000,0.176208,-8.058805,-0.857735,-2.192873,-0.595691
441.000000,0.000000,0.000000,13.000000,0.000262,-0.004800,0.000000,0.000000,0.582574,-8.080575,-0.868787,-2.212989,-0.595287
461.000000,0.000000,0.000000,13.000000,-0.000032,-0.004892,0.000000,0.000000,0.935000,-8.100116,-0.879422,-2.232884,-0.594887
481.000000,0.000000,0.000000,13.000000,0.000266,-0.005130,0.000000,0.000000,1.007963,-8.317801,-0.889170,-2.251434,-0.594511
501.000000,0.000000,0.000000,11.000000,-0.000437,-0.004666,0.000000,0.000000,1.671286,-7.918148,-0.899965,-2.271961,-0.594091
521.000000,0.000000,0.000000,10.000000,0.000917,-0.004257,0.000000,0.000000,1.591002,-8.481519,-0.910036,-2.290182,-0.593707
541.000000,0.000000,0.000000,13.000000,-0.000337,-0.004915,0.000000,0.000000,2.121763,-7.509807,-0.920367,-2.310066,-0.593297
561.000000,0.000000,0.000000,10.000000,-0.001498,-0.003584,0.000000,0.000000,2.521384,-7.737830,-0.930141,-2.328175,-0.592896
581.000000,0.000000,0.000000,10.000000,0.000055,-0.003709,0.000000,0.000000,2.640666,-7.292221,-0.941315,-2.347655,-0.592462
601.000000,0.000000,0.000000,14.000000,0.000160,-0.001665,0.000000,0.000000,2.979118,-7.641201,-0.951010,-2.365587,-0.592053
621.000000,0.000000,0.000000,10.000000,-0.000043,0.001059,0.000000,0.000000,2.889391,-8.077764,-0.961290,-2.384291,-0.591639
641.000000,0.000000,0.000000,14.000000,0.001558,-0.003281,0.000000,0.000000,3.659705,-7.347701,-0.971092,-2.402208,-0.591245
661.000000,0.000000,0.000000,12.000000,-0.003199,-0.003028,0.000000,0.000000,3.697239,-8.139400,-0.980563,-2.420929,-0.590814
681.000000,0.000000,0.000000,10.000000,-0.003082,-0.001791,0.000000,0.000000,3.573008,-7.653124,-0.989766,-2.437859,-0.590434
701.000000,0.000000,0.000000,9.000000,-0.001173,-0.002863,0.000000,0.000000,3.895371,-8.248458,-0.999409,-2.455580,-0.590030
721.000000,0.000000,0.000000,12.000000,0.000977,-0.003071,0.000000,0.000000,4.235572,-8.174928,-1.008719,-2.472729,-0.589648
741.000000,0.000000,0.000000,8.000000,0.002170,-0.002354,0.000000,0.000000,4.397561,-8.006134,-1.018308,-2.490809,-0.589238
761.000000,0.000000,0.000000,13.000000,0.000898,-0.003118,0.000000,0.000000,4.173685,-8.072867,-1.027567,-2.507613,-0.588852
781.000000,0.000000,0.000000,14.000000,0.001561,-0.003796,0.000000,0.000000,4.872990,-7.831505,-1.036528,-2.523700,-0.588486
801.000000,0.000000,0.000000,8.000000,0.000622,-0.003422,0.000000,0.000000,4.859220,-7.965645,-1.045172,-2.540071,-0.588099
821.000000,0.000000,0.000000,12.000000,-0.001163,-0.003119,0.000000,0.000000,4.951921,-7.862539,-1.053944,-2.556566,-0.587716
